Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,34.92,35.4,34.1,35.12,26.41,13767900
2013-01-03,35.0,35.0,34.16,34.83,26.2,16739300
2013-01-04,34.62,34.89,34.25,34.39,25.86,21372100
2013-01-07,34.15,35.45,34.15,34.46,25.92,17897100
2013-01-08,34.29,34.64,33.36,33.71,25.35,17863300
2013-01-09,33.61,33.95,33.61,33.9,25.5,18800400
2013-01-10,33.66,34.0,33.33,34.0,25.57,15658100
2013-01-11,33.59,33.9,33.35,33.85,25.76,11191500
2013-01-14,34.01,34.25,33.8,34.09,25.94,11584900
2013-01-15,33.71,34.72,33.71,34.6,26.33,13040200
2013-01-16,34.47,35.54,34.45,35.54,27.05,16512700
2013-01-17,35.75,36.7,35.75,36.42,27.72,14424800
2013-01-18,36.43,37.32,36.04,37.32,28.4,17842200
2013-01-22,36.98,37.25,35.93,36.42,27.72,15809700
2013-01-23,36.91,37.84,36.5,37.8,28.77,10981600
2013-01-24,37.79,38.52,37.23,37.46,28.51,11327100
2013-01-25,37.52,37.84,36.64,37.6,28.61,8934600
2013-01-28,37.65,37.87,36.71,36.89,28.07,7140100
2013-01-29,36.71,37.46,36.25,37.31,28.39,8838500
2013-01-30,36.81,37.53,36.81,36.93,28.11,10841800
2013-01-31,36.84,36.93,36.27,36.69,27.92,10720700
2013-02-01,36.84,37.2,36.52,37.18,28.3,9527500
2013-02-04,36.64,37.3,36.55,37.28,28.37,6348000
2013-02-05,37.42,37.73,37.18,37.2,28.31,7284400
2013-02-06,36.96,37.28,36.86,37.14,28.26,5738900
2013-02-07,37.57,37.57,35.8,36.42,27.72,9872500
2013-02-08,36.37,36.42,35.83,36.25,27.59,13858700
2013-02-11,36.13,36.18,35.75,35.85,27.28,6032100
2013-02-12,35.77,35.9,35.2,35.42,26.96,7473800
2013-02-13,35.42,35.57,35.15,35.27,26.84,4859800
2013-02-14,35.05,36.73,35.01,36.57,27.83,7570100
2013-02-15,36.93,37.81,36.93,37.58,28.6,13296300
2013-02-19,37.54,38.33,37.11,38.19,29.06,8292700
2013-02-20,38.16,39.13,37.61,38.61,29.38,8096400
2013-02-21,38.49,39.03,38.19,38.78,29.51,7260900
2013-02-22,38.79,38.85,38.14,38.46,29.27,4490400
2013-02-25,38.54,38.61,37.37,37.37,28.44,4665600
2013-02-26,37.6,37.6,36.96,37.09,28.23,4463000
2013-02-27,36.97,36.98,36.4,36.73,27.95,12238400
2013-02-28,36.66,37.14,36.5,36.92,28.1,10321000
2013-03-01,36.8,38.07,36.55,37.81,28.77,8929400
2013-03-04,37.53,38.25,37.53,38.24,29.1,5420800
2013-03-05,38.45,38.57,37.29,37.51,28.55,6650400
2013-03-06,37.56,37.86,37.37,37.74,28.72,5489500
2013-03-07,37.65,38.01,37.44,37.49,28.53,4442500
2013-03-08,37.64,37.65,37.16,37.34,28.42,4114500
2013-03-11,37.25,38.15,37.08,37.67,28.67,4614400
2013-03-12,37.7,38.3,37.05,37.17,28.29,6523900
2013-03-13,37.2,37.59,37.04,37.17,28.29,3710600
2013-03-14,37.43,37.59,36.86,37.56,28.58,9859700
2013-03-15,37.44,38.54,37.28,38.5,29.3,12208300
2013-03-18,38.05,38.49,37.99,38.16,29.04,5178700
2013-03-19,38.25,38.4,37.84,38.36,29.19,5108400
2013-03-20,38.5,39.19,38.41,39.06,29.73,7072900
2013-03-21,38.82,38.97,38.48,38.49,29.29,4736100
2013-03-22,38.57,38.97,38.3,38.97,29.66,3323400
2013-03-25,39.12,39.52,38.93,39.32,29.92,6065000
2013-03-26,39.57,40.52,39.57,40.21,30.6,7249500
2013-03-27,40.22,40.29,39.66,40.15,30.56,4274800
2013-03-28,40.26,40.8,39.78,40.78,31.04,7263400
2013-04-01,39.96,41.14,39.96,41.12,31.29,5740000
2013-04-02,41.22,41.22,40.52,40.71,30.98,5510700
2013-04-03,40.75,41.45,40.35,40.57,30.88,4122100
2013-04-04,40.77,41.78,40.62,41.6,31.66,20687600
2013-04-05,41.31,41.5,41.09,41.31,31.44,14089800
2013-04-08,41.27,41.87,41.07,41.77,31.79,16449200
2013-04-09,41.96,43.56,41.8,42.55,32.38,8673900
2013-04-10,42.65,43.77,42.5,43.62,33.2,7809200
2013-04-11,43.42,43.71,43.11,43.2,33.18,6494100
2013-04-12,42.97,43.29,42.62,43.09,33.1,4199800
2013-04-15,42.87,43.03,41.41,41.44,31.83,7152500
2013-04-16,41.67,42.53,41.13,42.45,32.61,6998000
2013-04-17,42.14,42.43,41.42,42.24,32.44,5046200
2013-04-18,42.37,42.64,41.89,42.32,32.51,5009000
2013-04-19,42.51,42.58,42.2,42.39,32.56,6493200
2013-04-22,43.0,44.83,42.88,44.2,33.95,8531300
2013-04-23,44.61,46.32,44.4,45.14,34.67,9378100
2013-04-24,45.14,45.34,43.94,44.32,34.04,5541300
2013-04-25,44.75,44.79,43.76,44.24,33.98,5236900
2013-04-26,44.95,46.31,44.75,45.84,35.21,10096800
2013-04-29,45.83,45.93,45.05,45.23,34.74,6024700
2013-04-30,45.05,46.23,45.01,46.05,35.37,6798600
2013-05-01,45.74,46.09,45.55,45.55,34.99,6398100
2013-05-02,45.68,45.68,43.86,43.99,33.79,9649400
2013-05-03,44.31,44.77,43.83,44.68,34.32,4641200
2013-05-06,44.95,44.95,44.15,44.59,34.25,4085700
2013-05-07,44.5,45.0,44.42,44.91,34.49,3745600
2013-05-08,45.01,45.05,43.39,43.49,33.4,6973200
2013-05-09,43.34,44.45,43.25,44.24,33.98,5046900
2013-05-10,44.21,45.01,44.2,45.01,34.57,4455800
2013-05-13,44.79,44.79,44.17,44.54,34.21,3738400
2013-05-14,44.09,45.52,44.09,45.35,34.83,5760300
2013-05-15,45.72,46.93,45.48,46.03,35.35,6702500
2013-05-16,46.06,46.9,46.01,46.21,35.49,4605300
2013-05-17,46.03,47.34,45.85,47.17,36.23,5244800
2013-05-20,47.12,47.14,46.07,46.26,35.53,3537800
2013-05-21,46.19,46.96,46.17,46.54,35.75,4708800
2013-05-22,46.46,48.0,45.85,46.76,35.92,5203500
2013-05-23,46.12,46.95,46.02,46.59,35.78,3306200
2013-05-24,46.25,46.48,45.31,45.44,34.9,4511700
2013-05-28,45.89,46.04,44.7,45.39,34.86,6181800
2013-05-29,44.89,45.18,43.79,43.88,33.7,6908400
2013-05-30,44.07,45.12,44.07,44.55,34.22,4852200
2013-05-31,44.27,44.69,42.68,42.69,32.79,9308800
2013-06-03,42.88,43.58,42.75,43.36,33.3,7176800
2013-06-04,43.42,44.47,43.38,43.63,33.51,4528400
2013-06-05,43.49,43.9,42.69,43.04,33.06,4801300
2013-06-06,43.22,43.57,42.65,43.5,33.41,4261300
2013-06-07,43.72,44.27,43.5,44.0,33.8,5463200
2013-06-10,44.33,44.33,43.22,43.92,33.73,4702700
2013-06-11,43.31,44.05,43.05,43.59,33.48,3574800
2013-06-12,43.91,44.0,42.72,42.77,32.85,3742600
2013-06-13,42.42,43.2,40.1,43.15,33.14,6096500
2013-06-14,42.98,43.5,42.5,43.21,33.19,4078500
2013-06-17,43.4,43.5,42.68,43.01,33.04,3457700
2013-06-18,42.97,43.56,42.63,43.54,33.44,3644900
2013-06-19,43.56,43.83,43.01,43.04,33.06,3663300
2013-06-20,42.65,42.78,40.91,41.06,31.54,7474900
2013-06-21,41.66,42.71,41.2,42.62,32.74,9825700
2013-06-24,42.07,42.4,41.32,41.89,32.17,6042400
2013-06-25,42.15,42.77,41.61,42.63,32.74,4686900
2013-06-26,43.1,43.61,43.03,43.38,33.32,4733700
2013-06-27,43.56,43.98,42.74,43.13,33.13,5163900
2013-06-28,42.53,42.97,41.32,41.34,31.75,10753100
2013-07-01,41.4,41.93,41.07,41.61,31.96,4588200
2013-07-02,41.58,42.57,41.58,42.21,32.42,4365900
2013-07-03,41.88,42.31,41.61,42.23,32.44,2417500
2013-07-05,42.45,42.83,42.31,42.72,32.81,2743700
2013-07-08,42.9,43.69,42.82,43.68,33.55,3978300
2013-07-09,44.0,44.23,43.25,43.32,33.27,3805700
2013-07-10,43.36,44.12,43.36,43.91,33.73,3080100
2013-07-11,43.94,44.11,43.33,43.78,33.94,4061400
2013-07-12,43.93,45.11,43.8,45.05,34.92,5693900
2013-07-15,44.95,44.97,44.54,44.62,34.59,3265800
2013-07-16,44.54,44.77,43.7,43.81,33.96,3714500
2013-07-17,43.97,44.15,43.74,43.96,34.08,3645400
2013-07-18,43.96,44.56,43.81,44.32,34.35,3043700
2013-07-19,44.49,44.91,44.12,44.52,34.51,4317900
2013-07-22,44.3,45.1,43.8,44.97,34.86,3810500
2013-07-23,44.92,45.09,44.23,44.31,34.35,3535100
2013-07-24,44.28,44.37,43.39,43.64,33.83,3088100
2013-07-25,43.41,44.43,43.35,44.24,34.29,4088500
2013-07-26,45.01,45.12,44.17,44.79,34.72,4491100
2013-07-29,44.72,45.45,44.47,45.06,34.93,4326200
2013-07-30,45.08,45.23,44.2,44.7,34.65,3619700
2013-07-31,44.84,45.91,44.81,45.48,35.25,6020600
2013-08-01,45.14,45.9,45.04,45.25,35.08,3652400
2013-08-02,45.11,45.42,44.81,45.32,35.13,3190700
2013-08-05,45.05,45.37,44.48,44.71,34.66,2953500
2013-08-06,44.42,44.99,44.42,44.88,34.79,4980600
2013-08-07,44.7,44.86,44.22,44.57,34.55,3299400
2013-08-08,44.86,45.18,44.61,45.06,34.93,2892400
2013-08-09,44.9,45.0,44.47,44.71,34.66,3290800
