Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,15.82,16.16,15.6,15.71,9.71,10635000
2000-01-04,15.46,15.6,15.15,15.26,9.44,10734600
2000-01-05,15.07,15.4,15.07,15.23,9.42,11722500
2000-01-06,15.26,15.82,15.18,15.77,9.75,17479500
2000-01-07,15.49,16.27,15.49,15.94,9.85,15755900
2000-01-10,16.16,16.19,15.66,15.82,9.78,10442000
2000-01-11,15.43,15.8,15.43,15.6,9.65,9533100
2000-01-12,15.63,15.71,15.26,15.29,9.5,8329900
2000-01-13,15.29,15.43,15.12,15.15,9.41,10615800
2000-01-14,15.49,15.54,15.26,15.49,9.62,11217500
2000-01-18,15.18,15.49,14.87,15.15,9.41,11348600
2000-01-19,14.76,15.01,14.76,14.84,9.22,16849700
2000-01-20,14.67,14.76,14.22,14.39,8.94,15429100
2000-01-21,14.14,14.2,13.8,14.0,8.7,18903500
2000-01-24,13.75,13.86,13.47,13.47,8.37,20606500
2000-01-25,13.47,13.72,13.19,13.3,8.26,22725300
2000-01-26,13.38,13.47,13.21,13.33,8.28,14037300
2000-01-27,13.35,14.0,13.3,13.83,8.59,16105600
2000-01-28,14.0,14.45,13.94,14.31,8.89,13831100
2000-01-31,14.31,14.76,13.89,14.62,9.08,11452000
2000-02-01,14.53,14.76,14.31,14.76,9.17,8050600
2000-02-02,14.7,14.93,14.7,14.84,9.22,10301700
2000-02-03,14.81,15.01,14.79,14.93,9.27,8176100
2000-02-04,15.18,15.74,15.18,15.46,9.61,13315300
2000-02-07,15.49,15.52,14.98,15.18,9.43,5931600
2000-02-08,15.35,15.49,15.04,15.32,9.52,10834000
2000-02-09,15.57,16.38,15.52,16.19,10.06,14133800
2000-02-10,16.16,16.16,15.57,15.77,9.8,14272400
2000-02-11,15.8,15.8,15.26,15.26,9.48,6960800
2000-02-14,15.6,15.8,15.43,15.74,9.78,6156500
2000-02-15,15.8,15.88,15.52,15.77,9.8,8322400
2000-02-16,15.6,15.77,15.52,15.57,9.68,5104000
2000-02-17,15.68,15.82,15.32,15.37,9.55,9944300
2000-02-18,15.26,15.46,14.53,14.65,9.1,9892600
2000-02-22,15.01,15.04,14.73,14.98,9.31,8656100
2000-02-23,14.53,14.81,14.28,14.42,8.96,8071400
2000-02-24,14.48,14.62,13.92,14.25,8.86,7740500
2000-02-25,14.31,14.7,14.25,14.39,8.94,9544800
2000-02-28,15.04,15.12,14.65,14.87,9.24,9246300
2000-02-29,14.87,15.07,14.65,14.81,9.2,8257800
2000-03-01,14.87,15.26,14.7,15.18,9.43,8537000
2000-03-02,15.18,15.23,14.79,15.04,9.34,7037700
2000-03-03,14.7,14.87,14.31,14.56,9.05,11829500
2000-03-06,14.45,14.45,13.92,14.03,8.72,9772800
2000-03-07,14.0,14.03,13.24,13.3,8.26,15393700
2000-03-08,13.52,14.11,13.5,13.92,8.65,16825900
2000-03-09,13.58,14.11,13.5,14.03,8.72,11917600
2000-03-10,14.11,14.34,13.69,13.89,8.63,8180200
2000-03-13,13.47,13.78,13.41,13.72,8.52,7070400
2000-03-14,13.86,14.11,13.8,13.97,8.68,8679000
2000-03-15,13.89,14.76,13.75,14.59,9.07,9056800
2000-03-16,15.04,15.66,14.93,15.49,9.62,12571200
2000-03-17,15.49,15.66,14.98,15.04,9.34,8273400
2000-03-20,15.37,15.46,15.04,15.21,9.45,5535000
2000-03-21,15.43,15.46,14.79,15.12,9.4,8819200
2000-03-22,15.04,15.46,15.01,15.4,9.57,5635600
2000-03-23,15.37,15.4,15.04,15.18,9.43,6320300
2000-03-24,15.21,15.32,15.04,15.09,9.38,6335300
2000-03-27,15.04,15.21,14.87,14.93,9.27,7046800
2000-03-28,14.84,15.26,14.62,15.21,9.45,10095200
2000-03-29,15.32,15.94,15.23,15.66,9.73,11370100
2000-03-30,15.88,16.16,15.6,15.94,9.9,10572500
2000-03-31,15.94,16.13,15.46,15.8,9.81,7390100
2000-04-03,15.96,16.78,15.88,16.61,10.32,9708000
2000-04-04,16.69,17.84,16.58,17.7,11.0,15373200
2000-04-05,17.34,17.37,16.61,16.67,10.36,8360700
2000-04-06,16.67,17.28,16.67,16.97,10.55,7079400
2000-04-07,16.97,17.06,16.36,16.44,10.22,6845100
2000-04-10,16.27,17.06,15.96,16.64,10.34,11166100
2000-04-11,16.58,17.28,16.58,17.09,10.62,8703800
2000-04-12,17.39,17.98,17.17,17.79,11.11,15842200
2000-04-13,17.62,17.9,17.31,17.59,10.99,8913900
2000-04-14,17.42,17.51,16.38,16.53,10.32,11353400
2000-04-17,16.61,17.0,16.41,16.92,10.56,7666900
2000-04-18,16.92,17.34,16.67,17.14,10.7,6324500
2000-04-19,17.25,17.42,16.92,17.23,10.76,6056800
2000-04-20,17.31,17.68,17.17,17.62,11.0,6094800
2000-04-24,17.39,18.07,17.34,17.98,11.23,9178800
2000-04-25,17.96,18.01,17.51,17.84,11.14,5514700
2000-04-26,17.31,17.51,17.25,17.51,10.93,4376100
2000-04-27,17.28,17.54,17.2,17.51,10.93,8515600
