Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,46.75,46.94,44.0,45.09,30.93,3655600
2000-01-04,44.75,45.75,42.78,42.81,29.37,2533200
2000-01-05,42.81,44.12,41.59,43.44,29.79,3228000
2000-01-06,43.44,43.81,41.62,42.25,28.98,2601000
2000-01-07,42.0,44.25,41.31,43.44,29.79,1890600
2000-01-10,45.0,47.38,44.62,47.22,32.39,2570000
2000-01-11,46.75,47.0,45.12,45.28,31.06,1926200
2000-01-12,45.16,47.75,44.5,46.75,32.07,2842400
2000-01-13,47.88,47.88,46.38,46.91,32.17,1685000
2000-01-14,47.88,50.97,47.81,50.69,34.77,4688800
2000-01-18,50.25,50.88,49.03,49.25,33.78,1968800
2000-01-19,49.75,51.12,49.5,50.72,34.79,1835600
2000-01-20,51.62,52.0,49.5,49.72,34.1,1991000
2000-01-21,49.94,49.97,48.31,48.31,33.14,1788600
2000-01-24,50.25,50.75,48.81,49.28,33.8,2860200
2000-01-25,49.28,52.62,49.0,52.5,36.01,2408200
2000-01-26,52.0,52.12,49.31,50.84,34.87,2682800
2000-01-27,50.97,51.55,47.0,48.03,32.95,2682800
2000-01-28,47.5,49.06,46.5,47.75,32.75,2835800
2000-01-31,47.0,47.81,43.0,46.75,32.07,3702000
2000-02-01,46.5,49.34,45.06,49.0,33.61,2826200
2000-02-02,48.94,49.22,47.53,48.12,33.01,2537200
2000-02-03,49.0,53.81,48.75,52.88,36.27,4145200
2000-02-04,53.0,56.25,51.88,55.75,38.24,3716200
2000-02-07,55.62,59.88,54.59,59.5,40.81,2656400
2000-02-08,59.94,60.19,57.0,57.38,39.35,2789800
2000-02-09,57.34,58.5,56.12,57.84,39.68,2779600
2000-02-10,57.38,59.38,57.0,58.06,39.83,2870000
2000-02-11,59.0,59.91,56.25,57.31,39.31,2038000
2000-02-14,58.5,59.38,57.38,58.5,40.13,2333200
2000-02-15,58.5,59.94,56.0,59.94,41.11,3279200
2000-02-16,61.88,64.0,61.12,63.75,43.73,4281400
2000-02-17,64.44,71.81,62.25,70.5,48.36,4563800
2000-02-18,70.5,71.0,67.44,67.88,46.56,3625800
2000-02-22,68.0,72.94,67.94,71.84,49.28,4419200
2000-02-23,71.84,75.25,71.69,73.81,50.63,4011400
2000-02-24,75.5,83.66,75.25,80.66,55.32,5406000
2000-02-25,78.25,81.12,77.56,78.44,53.8,3421600
2000-02-28,77.25,77.56,69.25,74.72,51.25,4315000
2000-02-29,78.5,80.25,75.84,78.62,53.93,3920000
2000-03-01,79.5,82.5,78.62,80.75,55.39,3680200
2000-03-02,80.94,81.16,76.59,78.03,53.52,3350400
2000-03-03,79.0,83.88,78.03,83.5,57.27,3269800
2000-03-06,85.5,92.75,85.0,91.31,62.63,4014000
2000-03-07,91.75,91.75,79.0,82.5,56.59,3881200
2000-03-08,82.5,83.88,78.5,82.81,56.8,2986800
2000-03-09,82.81,90.12,81.25,88.5,60.7,3207800
2000-03-10,88.53,89.12,84.25,86.47,59.31,2455000
2000-03-13,84.5,85.69,82.25,82.5,56.59,2531600
2000-03-14,83.75,84.0,72.5,72.81,49.94,4549200
2000-03-15,72.94,73.0,67.0,67.0,45.96,5183200
2000-03-16,71.0,79.0,67.94,79.0,54.19,4010800
2000-03-17,75.0,78.12,73.19,77.88,53.42,2173900
2000-03-20,84.5,85.5,78.25,80.25,55.04,2902000
2000-03-21,80.0,85.0,76.19,85.0,58.3,2278400
2000-03-22,87.5,94.0,87.38,92.0,63.1,2916500
2000-03-23,92.0,92.5,85.62,90.5,62.07,2572000
2000-03-24,90.5,94.69,86.88,87.75,60.19,1963500
2000-03-27,88.0,90.25,87.0,88.0,60.36,2045300
2000-03-28,87.38,87.38,81.5,81.5,55.9,1975700
2000-03-29,83.25,86.31,80.5,86.25,59.16,4154700
