Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,42.43,42.78,41.19,41.24,27.19,2698800.0
2000-01-04,40.94,42.03,40.84,41.24,27.19,3141100.0
2000-01-05,41.19,41.19,40.05,40.84,26.93,3008700.0
2000-01-06,41.14,41.98,40.69,41.39,27.29,2121700.0
2000-01-07,42.33,42.68,41.64,42.33,27.91,1892300.0
2000-01-10,42.03,43.42,41.93,43.37,28.6,1722100.0
2000-01-11,42.92,43.12,42.28,42.53,28.04,1087800.0
2000-01-12,42.53,42.73,41.83,42.13,27.78,1108900.0
2000-01-13,42.13,42.13,41.59,41.88,27.62,1314600.0
2000-01-14,41.14,41.93,40.45,41.44,27.32,2138400.0
2000-01-18,41.04,41.29,38.91,39.06,25.75,2826300.0
2000-01-19,39.16,43.22,39.11,42.88,28.27,4264400.0
2000-01-20,42.33,42.83,39.95,40.3,26.57,3220100.0
2000-01-21,40.89,40.89,39.65,40.1,26.44,2826200.0
2000-01-24,40.45,40.45,39.45,39.65,26.15,2919400.0
2000-01-25,40.05,40.69,39.8,40.5,26.7,2439700.0
2000-01-26,41.14,41.14,39.7,40.45,26.67,1759200.0
2000-01-27,40.64,40.99,37.72,39.8,26.25,2568300.0
2000-01-28,39.6,39.65,38.27,38.81,25.59,1732000.0
2000-01-31,38.81,38.81,37.13,37.62,24.81,2152200.0
2000-02-01,37.67,38.56,37.03,38.22,25.2,1747400.0
2000-02-02,38.27,38.27,35.09,36.13,23.83,2998300.0
2000-02-03,36.48,38.86,36.33,38.56,25.43,3202200.0
2000-02-04,38.51,39.06,37.97,38.07,25.1,1296600.0
2000-02-07,38.07,38.27,36.88,36.88,24.32,1554500.0
2000-02-08,37.27,37.27,36.48,36.93,24.35,2684800.0
2000-02-09,36.93,37.22,35.54,35.69,23.53,2266800.0
2000-02-10,35.84,37.97,35.74,37.57,24.77,2229900.0
2000-02-11,37.27,37.27,36.08,36.33,23.96,1208200.0
2000-02-14,36.43,37.87,36.18,36.73,24.22,1729900.0
2000-02-15,36.93,37.27,36.03,36.53,24.09,2317000.0
2000-02-16,36.68,36.73,36.08,36.28,23.92,2399100.0
2000-02-17,36.43,36.53,35.74,36.03,23.76,1387600.0
2000-02-18,36.03,36.13,34.6,35.29,23.27,1585800.0
2000-02-22,35.29,35.34,31.72,33.21,21.9,4049700.0
2000-02-23,33.26,35.24,33.16,34.45,22.72,2999600.0
2000-02-24,35.19,35.74,34.94,35.39,23.34,2610800.0
2000-02-25,35.39,35.74,34.05,34.05,22.45,2241600.0
2000-02-28,34.0,35.69,33.9,35.29,23.27,2535600.0
2000-02-29,35.59,35.94,34.25,34.55,22.78,2114000.0
2000-03-01,34.55,35.64,34.55,35.09,23.14,1471500.0
2000-03-02,35.04,35.14,34.3,34.3,22.62,1323400.0
2000-03-03,33.71,35.29,33.71,34.25,22.58,2809400.0
2000-03-06,34.25,35.19,34.25,34.85,22.98,2528900.0
2000-03-07,34.89,35.59,34.45,34.5,22.75,2734600.0
2000-03-08,34.4,34.99,34.3,34.3,22.66,2231500.0
2000-03-09,34.3,34.99,34.2,34.89,23.06,3092700.0
2000-03-10,34.94,35.49,34.6,34.99,23.12,2254000.0
2000-03-13,34.89,35.99,34.75,35.74,23.61,1792800.0
2000-03-14,38.07,38.07,36.68,37.47,24.76,2700300.0
2000-03-15,37.47,39.26,37.42,38.96,25.74,4394300.0
2000-03-16,39.65,43.97,39.65,43.42,28.69,6838200.0
2000-03-17,43.42,43.42,42.03,42.83,28.3,3553600.0
2000-03-20,42.43,42.58,40.64,41.44,27.38,2472100.0
2000-03-21,40.55,42.03,40.55,41.64,27.51,2277000.0
2000-03-22,41.04,41.64,39.9,40.74,26.92,2591700.0
2000-03-23,39.95,41.19,39.95,40.79,26.95,2529000.0
2000-03-24,40.45,41.98,40.45,41.24,27.25,2204400.0
2000-03-27,41.04,42.43,41.04,41.19,27.22,2425500.0
2000-03-28,41.19,41.39,38.41,38.41,25.38,2987400.0
2000-03-29,38.96,39.45,37.27,37.77,24.96,2327200.0
2000-03-30,38.27,39.21,37.32,37.62,24.86,2316100.0
2000-03-31,37.62,39.01,37.57,38.27,25.28,3128700.0
2000-04-03,39.45,41.09,39.16,39.65,26.2,2632500.0
2000-04-04,40.4,42.13,39.26,40.45,26.72,3093900.0
2000-04-05,41.19,41.19,38.41,39.8,26.3,3224200.0
2000-04-06,40.0,41.93,39.95,41.59,27.48,1799200.0
2000-04-07,41.73,41.93,41.04,41.34,27.31,1735900.0
2000-04-10,41.93,41.93,40.15,41.09,27.15,1938800.0
2000-04-11,41.09,41.44,40.35,40.45,26.72,1954500.0
2000-04-12,40.45,40.45,38.36,39.45,26.07,2969600.0
2000-04-13,39.45,39.8,37.92,37.92,25.05,1902000.0
2000-04-14,36.48,37.52,36.28,36.48,24.1,3484800.0
2000-04-17,36.58,37.52,35.44,36.98,24.43,3125000.0
2000-04-18,38.56,39.9,38.12,38.86,25.68,3127500.0
2000-04-19,38.86,39.8,38.51,38.96,25.74,1430900.0
2000-04-20,39.65,40.94,39.41,40.15,26.53,2597000.0
2000-04-24,40.15,42.92,39.41,42.78,28.26,3467600.0
2000-04-25,42.43,42.78,41.69,42.78,28.26,1817900.0
2000-04-26,42.28,42.92,41.93,42.23,27.9,1673500.0
2000-04-27,41.44,43.52,41.44,43.02,28.43,2810000.0
2000-04-28,43.52,43.77,42.43,42.68,28.2,1768900.0
2000-05-01,42.63,44.41,42.53,42.78,28.26,2003800.0
2000-05-02,42.78,42.78,41.39,42.18,27.87,1740200.0
2000-05-03,42.03,42.23,39.85,41.34,27.31,1819200.0
2000-05-04,41.34,42.08,41.09,41.39,27.35,1623800.0
2000-05-05,41.19,41.88,40.25,41.09,27.15,1669800.0
2000-05-08,41.29,41.49,40.59,41.24,27.25,683900.0
2000-05-09,41.24,41.83,38.86,40.05,26.46,1400600.0
2000-05-10,40.1,41.14,39.55,40.5,26.76,2437900.0
2000-05-11,41.24,42.63,40.79,41.78,27.61,1954400.0
2000-05-12,41.64,41.83,40.45,41.04,27.12,861900.0
2000-05-15,41.04,41.44,40.2,41.14,27.18,994300.0
2000-05-16,41.93,42.68,41.14,42.33,27.97,1363200.0
2000-05-17,41.98,41.98,40.5,41.64,27.51,1067000.0
2000-05-18,42.68,42.68,40.74,40.79,26.95,1144300.0
2000-05-19,41.88,41.88,40.35,40.55,26.79,1218100.0
2000-05-22,40.94,42.03,39.45,41.78,27.61,2136700.0
2000-05-23,41.83,42.68,41.44,42.63,28.16,2137400.0
2000-05-24,42.63,44.02,42.43,44.02,29.08,2674800.0
2000-05-25,44.21,44.61,43.12,44.41,29.34,2684600.0
2000-05-26,44.02,44.06,41.88,42.48,28.07,1703300.0
2000-05-30,42.48,44.36,42.23,44.21,29.21,2466700.0
