Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,32.56,32.62,31.56,32.31,12.09,700800
2000-01-04,32.31,32.5,32.19,32.31,12.09,455600
2000-01-05,32.31,33.56,32.31,33.56,12.56,1293200
2000-01-06,33.56,33.69,33.25,33.44,12.52,320400
2000-01-07,33.5,34.0,33.44,33.94,12.7,312700
2000-01-10,33.94,34.25,33.62,33.69,12.61,483300
2000-01-11,33.62,33.69,33.44,33.62,12.59,479200
2000-01-12,33.75,33.88,33.31,33.81,12.66,240400
2000-01-13,33.75,34.06,33.62,33.94,12.7,235100
2000-01-14,33.88,33.88,33.19,33.44,12.52,280900
2000-01-18,33.44,33.44,32.31,32.31,12.09,416000
2000-01-19,32.44,33.19,32.38,33.12,12.4,406200
2000-01-20,32.94,33.06,32.75,33.0,12.35,212300
2000-01-21,33.06,33.25,32.81,33.25,12.45,407000
2000-01-24,33.25,33.94,33.25,33.44,12.52,342400
2000-01-25,33.38,33.5,32.44,32.62,12.21,405900
2000-01-26,32.75,33.25,32.69,33.0,12.35,324600
2000-01-27,32.88,33.12,32.75,32.94,12.33,291100
2000-01-28,32.69,32.81,32.25,32.31,12.09,610400
2000-01-31,32.38,32.81,32.0,32.56,12.19,256700
2000-02-01,32.81,32.81,32.31,32.56,12.19,185200
2000-02-02,32.81,33.38,32.56,32.56,12.19,418500
2000-02-03,32.56,33.44,32.56,32.94,12.33,434400
2000-02-04,33.0,33.19,31.75,31.94,11.95,378700
2000-02-07,31.94,31.94,31.62,31.75,11.88,234900
2000-02-08,31.75,32.44,31.75,31.88,11.93,309900
2000-02-09,32.5,32.5,31.5,31.56,11.81,328900
2000-02-10,31.56,31.81,31.0,31.12,11.65,367100
2000-02-11,31.12,31.38,31.0,31.0,11.6,446200
2000-02-14,31.25,31.5,30.88,31.25,11.7,261500
2000-02-15,31.25,31.31,31.0,31.12,11.65,199700
2000-02-16,31.0,31.19,30.81,30.94,11.58,154000
2000-02-17,30.94,30.94,30.44,30.5,11.42,186900
2000-02-18,30.5,30.5,29.56,30.25,11.32,463200
2000-02-22,30.5,30.62,30.12,30.44,11.39,209700
2000-02-23,30.38,30.44,29.69,30.25,11.32,292300
2000-02-24,30.25,30.25,28.5,28.88,10.81,397900
2000-02-25,28.88,29.19,28.5,28.88,10.81,297400
2000-02-28,29.12,30.12,28.88,30.06,11.25,652300
2000-02-29,29.94,30.06,29.69,30.0,11.23,767000
2000-03-01,29.81,29.94,29.0,29.5,11.04,317700
2000-03-02,28.81,29.12,28.56,28.94,10.83,580800
2000-03-03,29.0,29.5,28.81,29.19,10.93,273600
2000-03-06,29.0,29.0,28.0,28.19,10.55,2242900
2000-03-07,27.75,28.38,27.62,27.88,10.67,294700
2000-03-08,27.94,28.38,27.75,28.0,10.72,489500
2000-03-09,28.0,28.25,27.75,28.06,10.75,379700
2000-03-10,28.31,28.31,28.0,28.12,10.77,216800
2000-03-13,28.25,28.25,27.88,28.12,10.77,252800
2000-03-14,28.12,28.12,27.56,27.81,10.65,299800
2000-03-15,27.81,29.19,27.81,29.06,11.13,446000
2000-03-16,29.31,30.75,29.19,30.62,11.73,483700
2000-03-17,30.38,30.5,30.0,30.12,11.54,806100
2000-03-20,30.12,30.5,30.0,30.25,11.58,448600
2000-03-21,30.25,30.5,30.25,30.44,11.66,508100
2000-03-22,30.44,30.44,29.75,30.12,11.54,646400
2000-03-23,29.88,30.69,29.88,30.19,11.56,321900
2000-03-24,30.06,30.5,29.88,30.5,11.68,338500
2000-03-27,30.62,31.06,30.56,30.94,11.85,229200
2000-03-28,31.0,31.12,30.31,30.31,11.61,353500
2000-03-29,30.38,31.19,30.38,30.69,11.75,369900
2000-03-30,30.94,31.19,30.31,30.62,11.73,453500
2000-03-31,30.94,30.94,30.31,30.94,11.85,320500
2000-04-03,30.88,31.19,30.62,31.12,11.92,496600
2000-04-04,31.06,32.12,31.06,31.94,12.23,640600
2000-04-05,31.88,33.0,31.88,32.56,12.47,376900
2000-04-06,32.62,32.81,31.94,32.19,12.33,366700
2000-04-07,32.19,32.56,31.56,31.62,12.11,308300
2000-04-10,31.38,32.38,31.19,31.81,12.18,370900
2000-04-11,32.06,32.56,31.75,32.0,12.25,164700
