Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,32.0,32.0,31.12,31.44,12.77,396900
2000-01-04,31.38,31.94,31.38,31.81,12.92,325500
2000-01-05,31.81,33.12,31.81,33.0,13.4,392200
2000-01-06,32.75,33.69,32.75,33.19,13.48,433000
2000-01-07,33.38,33.75,33.06,33.62,13.66,250500
2000-01-10,33.62,33.81,33.44,33.5,13.61,307700
2000-01-11,33.5,33.69,33.5,33.62,13.66,223000
2000-01-12,33.56,33.94,33.5,33.88,13.76,252500
2000-01-13,33.88,34.0,33.62,33.81,13.73,222400
2000-01-14,33.88,33.88,33.5,33.81,13.73,529900
2000-01-18,33.69,33.75,33.0,33.0,13.4,363800
2000-01-19,33.0,33.62,33.0,33.44,13.58,215500
2000-01-20,33.38,33.38,33.06,33.06,13.43,278800
2000-01-21,33.31,34.0,33.19,34.0,13.81,345000
2000-01-24,34.0,34.44,33.88,33.88,13.76,855500
2000-01-25,33.88,34.12,32.62,32.88,13.35,964400
2000-01-26,33.12,33.69,32.88,33.69,13.68,508500
2000-01-27,33.69,34.12,33.31,33.56,13.63,923900
2000-01-28,33.56,33.62,32.88,33.0,13.4,357300
2000-01-31,33.19,33.56,33.0,33.5,13.61,209900
2000-02-01,33.5,33.75,33.06,33.69,13.68,318200
2000-02-02,33.62,34.06,33.56,33.62,13.66,765300
2000-02-03,33.69,34.81,33.69,34.75,14.11,536200
2000-02-04,34.94,34.94,33.88,34.06,13.84,1106200
2000-02-07,34.0,34.0,33.56,33.69,13.68,2040500
2000-02-08,33.12,33.5,33.06,33.31,13.78,461400
2000-02-09,33.25,33.25,32.5,32.56,13.47,307500
2000-02-10,32.56,32.56,31.44,31.62,13.08,399000
2000-02-11,31.62,31.94,31.31,31.81,13.16,339400
2000-02-14,31.81,32.31,31.69,31.75,13.13,317600
2000-02-15,31.75,31.81,31.31,31.31,12.95,234600
2000-02-16,31.12,31.31,30.69,30.69,12.69,367900
2000-02-17,30.75,30.75,30.31,30.44,12.59,287100
2000-02-18,30.12,30.19,29.81,29.94,12.38,510500
2000-02-22,30.0,30.56,29.94,30.44,12.59,410600
2000-02-23,30.38,30.38,29.62,30.0,12.41,356400
2000-02-24,29.75,29.81,28.38,28.94,11.97,653000
2000-02-25,28.88,28.88,28.0,28.19,11.66,798200
2000-02-28,28.38,29.12,28.12,28.75,11.89,335700
2000-02-29,28.75,28.75,28.06,28.12,11.63,365600
2000-03-01,28.12,28.19,27.5,27.56,11.4,324200
2000-03-02,27.56,27.81,27.56,27.56,11.4,455900
2000-03-03,27.56,27.81,27.06,27.31,11.29,595000
2000-03-06,27.31,27.31,25.94,26.19,10.83,386100
2000-03-07,26.69,27.94,26.56,27.0,11.17,828200
2000-03-08,26.75,26.94,26.62,26.75,11.06,442100
2000-03-09,26.81,27.0,26.38,26.62,11.01,430200
2000-03-10,26.69,26.75,26.0,26.06,10.78,687100
2000-03-13,26.62,28.38,26.12,26.5,10.96,555600
2000-03-14,26.5,26.94,26.19,26.88,11.11,458400
2000-03-15,27.12,29.12,27.0,28.75,11.89,744900
2000-03-16,29.0,31.12,28.88,30.94,12.79,908000
2000-03-17,30.94,31.0,30.38,30.38,12.56,813300
2000-03-20,30.44,30.44,29.88,30.06,12.43,293400
2000-03-21,30.19,30.38,29.62,29.81,12.33,591800
2000-03-22,29.94,29.94,28.5,29.19,12.07,375900
2000-03-23,29.19,30.0,29.19,29.5,12.2,340500
2000-03-24,29.25,30.06,29.12,29.94,12.38,257800
2000-03-27,29.94,30.44,29.81,30.0,12.41,420500
2000-03-28,30.12,30.31,29.31,29.31,12.12,240800
2000-03-29,29.44,30.25,29.38,29.88,12.35,357400
2000-03-30,29.94,30.31,29.88,29.94,12.38,491600
2000-03-31,29.69,29.81,29.25,29.81,12.33,315800
2000-04-03,29.81,30.19,29.5,29.81,12.33,441000
2000-04-04,30.0,31.06,29.75,30.81,12.74,561800
2000-04-05,31.0,32.31,30.88,31.62,13.08,527000
2000-04-06,31.62,31.81,30.25,30.56,12.64,350200
2000-04-07,30.56,30.81,30.25,30.5,12.61,450900
2000-04-10,30.56,31.31,30.5,31.0,12.82,457300
2000-04-11,31.12,31.88,31.0,31.62,13.08,523200
2000-04-12,32.12,33.0,32.0,32.69,13.52,737500
2000-04-13,32.69,33.94,32.62,33.88,14.01,559900
2000-04-14,33.88,34.38,33.0,33.25,13.75,898000
2000-04-17,33.25,33.94,32.31,33.81,13.98,734000
2000-04-18,33.69,34.0,33.31,33.88,14.01,863500
2000-04-19,33.44,33.81,32.88,33.69,13.93,338400
2000-04-20,33.5,33.81,33.44,33.81,13.98,261300
2000-04-24,33.81,35.12,33.81,35.0,14.47,421500
2000-04-25,35.0,36.25,34.81,36.12,14.94,368000
2000-04-26,36.12,37.81,36.12,37.75,15.61,715100
2000-04-27,37.75,38.5,37.62,38.12,15.77,1064900
2000-04-28,37.94,38.0,36.5,36.62,15.15,537900
2000-05-01,37.38,37.38,36.5,36.5,15.09,396100
2000-05-02,36.31,36.69,35.25,35.56,14.71,521000
2000-05-03,35.06,35.19,34.19,34.62,14.32,747700
2000-05-04,34.81,35.88,34.0,35.38,14.63,585700
2000-05-05,35.38,35.44,34.25,34.62,14.32,1953200
2000-05-08,34.0,35.81,34.0,35.19,14.81,506500
2000-05-09,35.19,35.25,34.94,35.12,14.78,327200
2000-05-10,35.0,36.19,35.0,36.19,15.23,773600
2000-05-11,36.06,36.38,35.81,36.31,15.28,450400
2000-05-12,36.44,36.44,35.62,36.06,15.18,385200
2000-05-15,36.12,36.81,35.81,36.56,15.39,368400
2000-05-16,36.31,36.31,35.12,36.25,15.25,279800
2000-05-17,35.75,35.75,34.88,35.06,14.76,386300
2000-05-18,35.06,36.38,35.06,35.94,15.12,334800
2000-05-19,35.62,36.19,35.5,36.06,15.18,373900
2000-05-22,36.06,37.25,36.06,36.56,15.39,250200
2000-05-23,36.81,36.81,35.25,35.5,14.94,812900
2000-05-24,35.94,36.81,35.62,35.75,15.04,544500
2000-05-25,35.75,35.81,35.0,35.38,14.89,511900
2000-05-26,35.5,35.88,35.38,35.62,14.99,382500
2000-05-30,35.81,35.81,34.69,35.25,14.83,247500
2000-05-31,35.25,35.75,35.25,35.56,14.97,322100
2000-06-01,35.75,35.75,34.75,35.56,14.97,379000
2000-06-02,35.56,35.56,34.56,34.62,14.57,774800
2000-06-05,34.62,34.69,33.5,33.5,14.1,410100
2000-06-06,34.12,34.44,33.88,34.19,14.39,812900
2000-06-07,34.25,34.62,34.25,34.38,14.47,342400
2000-06-08,34.56,34.56,33.56,34.06,14.33,378300
2000-06-09,34.38,34.88,34.25,34.62,14.57,366800
2000-06-12,35.25,35.62,35.0,35.38,14.89,471700
2000-06-13,35.25,35.94,35.19,35.38,14.89,363500
2000-06-14,35.25,35.31,34.19,34.25,14.41,350800
2000-06-15,34.12,35.19,34.12,35.0,14.73,570700
2000-06-16,34.12,35.06,34.12,34.88,14.68,839400
2000-06-19,34.81,34.81,33.62,33.94,14.28,610700
2000-06-20,34.0,34.0,32.94,33.5,14.1,843800
2000-06-21,33.44,33.81,33.19,33.31,14.02,520600
2000-06-22,33.25,33.25,32.0,32.69,13.76,1299600
2000-06-23,32.56,32.94,32.0,32.19,13.55,1041400
2000-06-26,32.19,32.5,31.75,32.44,13.65,942800
2000-06-27,32.06,32.19,30.94,31.0,13.05,1118200
2000-06-28,30.5,31.88,30.0,31.72,13.35,1389800
2000-06-29,31.31,32.06,30.75,30.75,12.94,568300
2000-06-30,30.69,31.75,29.44,29.62,12.47,1542200
2000-07-03,30.0,30.75,29.94,30.75,12.94,446300
2000-07-05,30.12,31.56,30.12,30.62,12.89,594400
2000-07-06,30.75,31.19,30.5,30.75,12.94,676900
2000-07-07,30.81,31.31,30.81,31.12,13.1,500800
2000-07-10,31.19,32.25,31.19,32.12,13.52,690500
2000-07-11,32.06,32.81,31.88,32.81,13.81,1019100
2000-07-12,33.06,33.06,32.44,32.75,13.78,1238000
2000-07-13,32.5,33.06,32.38,32.94,13.86,705800
2000-07-14,33.0,33.31,32.06,32.31,13.6,894300
2000-07-17,32.06,33.12,32.06,33.06,13.91,681800
2000-07-18,33.12,33.5,32.88,33.25,13.99,503000
2000-07-19,33.25,33.69,33.12,33.5,14.1,550700
2000-07-20,33.5,34.0,33.25,33.81,14.23,880900
2000-07-21,33.81,34.0,33.19,33.19,13.97,307800
2000-07-24,33.25,33.81,32.81,33.75,14.2,674000
2000-07-25,33.75,34.5,33.31,33.69,14.18,456500
2000-07-26,33.44,33.56,32.5,32.64,13.74,876100
2000-07-27,32.94,33.75,32.88,33.12,13.94,710600
2000-07-28,33.19,34.0,32.69,33.06,13.91,767600
2000-07-31,32.75,33.5,32.69,32.81,13.81,943400
2000-08-01,32.81,34.19,32.81,34.12,14.36,967100
2000-08-02,34.38,34.75,34.19,34.5,14.52,756500
2000-08-03,34.75,35.31,34.38,34.52,14.53,740800
2000-08-04,34.44,34.94,33.62,34.88,14.68,799700
2000-08-07,34.81,35.08,34.38,35.06,14.76,2937000
2000-08-08,35.5,35.81,34.62,35.38,15.15,841800
2000-08-09,35.12,35.19,34.69,35.05,15.01,987300
2000-08-10,35.06,35.12,34.69,35.08,15.02,309300
2000-08-11,35.12,35.38,34.94,35.33,15.13,771500
2000-08-14,35.31,35.5,34.81,35.0,14.99,351500
2000-08-15,35.0,35.75,35.0,35.31,15.12,627700
2000-08-16,35.38,35.62,35.19,35.39,15.15,250100
2000-08-17,35.88,36.06,35.62,35.94,15.39,762700
2000-08-18,35.94,36.19,35.75,35.94,15.39,550700
2000-08-21,35.75,35.81,35.38,35.69,15.28,765100
2000-08-22,35.69,35.94,35.5,35.81,15.33,359600
2000-08-23,35.62,35.94,35.44,35.88,15.36,617100
2000-08-24,35.88,35.88,35.12,35.19,15.07,290300
2000-08-25,35.19,35.5,35.06,35.12,15.04,550300
2000-08-28,35.0,35.5,34.94,35.12,15.04,557900
2000-08-29,34.94,35.0,34.5,34.5,14.77,499000
2000-08-30,34.44,35.0,34.31,34.62,14.82,499100
2000-08-31,34.81,35.44,34.75,35.14,15.05,820900
2000-09-01,35.38,35.56,35.19,35.2,15.07,479300
2000-09-05,35.25,36.56,35.25,36.25,15.52,1273000
2000-09-06,36.88,37.88,36.81,37.5,16.06,1504500
2000-09-07,38.0,38.0,37.25,37.69,16.14,776800
2000-09-08,37.94,38.91,37.75,38.91,16.66,884100
2000-09-11,38.88,40.0,38.88,39.33,16.84,1166700
2000-09-12,39.38,39.5,38.06,38.69,16.56,962800
2000-09-13,38.44,38.75,37.62,37.75,16.16,1184500
2000-09-14,37.75,37.75,36.56,37.25,15.95,915400
2000-09-15,37.38,38.38,37.31,38.28,16.39,1508900
2000-09-18,38.0,38.06,37.38,37.67,16.13,757800
2000-09-19,38.38,38.44,36.38,36.38,15.57,1440200
2000-09-20,36.38,36.56,35.38,35.62,15.25,881300
2000-09-21,35.62,36.25,35.0,35.19,15.07,772000
2000-09-22,35.19,36.25,35.12,35.5,15.2,615700
2000-09-25,35.81,36.0,35.19,35.5,15.2,788600
2000-09-26,35.5,36.56,35.5,36.44,15.6,1205400
2000-09-27,36.12,36.94,35.69,36.89,15.79,675200
2000-09-28,37.38,39.81,37.12,39.44,16.89,2671200
2000-09-29,39.0,39.88,39.0,39.14,16.76,1188100
2000-10-02,39.12,39.25,38.06,39.06,16.72,935000
2000-10-03,38.81,39.94,38.5,38.56,16.51,971800
2000-10-04,38.56,38.88,36.62,38.0,16.27,1650100
2000-10-05,37.94,38.62,36.38,36.5,15.63,1062200
2000-10-06,36.88,37.31,36.5,36.69,15.71,682000
2000-10-09,36.81,37.25,36.19,36.5,15.63,425500
2000-10-10,36.5,37.94,36.5,37.25,15.95,961300
2000-10-11,37.25,37.94,37.06,37.94,16.24,1331900
2000-10-12,37.69,38.94,37.38,38.12,16.32,1088300
2000-10-13,38.19,38.81,38.19,38.81,16.62,879000
2000-10-16,38.56,39.75,38.56,39.31,16.83,1074700
2000-10-17,39.31,39.75,39.0,39.19,16.78,519400
2000-10-18,39.0,39.38,37.75,38.25,16.38,798400
2000-10-19,37.62,38.44,37.25,37.94,16.24,498600
2000-10-20,37.62,38.31,37.38,37.69,16.14,670100
2000-10-23,38.0,39.0,37.88,38.19,16.35,702300
2000-10-24,38.88,39.0,37.62,38.19,16.35,660800
2000-10-25,38.38,39.0,37.75,38.44,16.46,759700
2000-10-26,38.19,38.56,37.75,38.38,16.43,965400
2000-10-27,38.19,39.94,38.0,39.94,17.1,1470300
2000-10-30,39.94,42.38,39.81,41.81,17.9,1789400
2000-10-31,41.56,41.75,40.88,41.5,17.77,698400
2000-11-01,41.38,42.31,41.19,42.31,18.12,966200
2000-11-02,42.31,42.31,41.62,41.81,17.9,697800
2000-11-03,41.5,41.75,41.12,41.38,17.71,417800
2000-11-06,41.12,41.94,41.06,41.38,17.71,879800
2000-11-07,41.25,41.5,40.31,40.94,17.53,2659400
2000-11-08,40.31,40.88,40.25,40.62,17.65,2234700
2000-11-09,40.62,41.25,40.56,41.25,17.92,876800
2000-11-10,41.25,42.19,41.06,42.0,18.25,1197500
2000-11-13,42.0,43.25,41.62,41.94,18.22,1300600
2000-11-14,41.31,41.5,40.62,40.81,17.73,715600
2000-11-15,41.06,41.62,40.81,41.44,18.01,1010100
2000-11-16,41.31,42.44,41.31,42.25,18.36,836500
2000-11-17,42.25,43.06,42.0,43.0,18.68,626000
2000-11-20,43.25,43.88,43.0,43.19,18.77,844600
2000-11-21,42.88,43.88,42.62,43.81,19.04,1340300
2000-11-22,43.56,44.25,43.38,43.62,18.96,1052100
