Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,11.73,11.78,11.08,11.19,5.44,2388800
2000-01-04,10.81,11.28,10.81,10.89,5.29,2716400
2000-01-05,10.91,11.05,10.8,10.83,5.26,1354800
2000-01-06,10.78,11.11,10.72,11.05,5.37,2027200
2000-01-07,11.03,11.28,10.97,11.27,5.47,2262000
2000-01-10,11.23,11.25,10.45,10.59,5.15,5526800
2000-01-11,10.5,10.58,10.27,10.38,5.04,6569600
2000-01-12,10.33,10.36,9.89,10.2,4.96,5877600
2000-01-13,10.3,10.5,10.25,10.44,5.07,7575200
2000-01-14,10.55,10.88,10.55,10.73,5.22,5720000
2000-01-18,10.64,10.64,9.97,10.0,4.86,6192400
2000-01-19,9.89,9.94,9.38,9.41,4.57,7086800
2000-01-20,9.64,10.33,9.5,10.17,4.94,16917600
2000-01-21,10.17,10.17,9.59,9.69,4.71,4750000
2000-01-24,9.73,9.83,9.47,9.58,4.65,3986000
2000-01-25,9.56,10.05,9.53,9.98,4.85,5240000
2000-01-26,10.06,10.5,9.97,10.48,5.09,4825200
2000-01-27,10.75,10.75,10.16,10.3,5.0,3049200
2000-01-28,10.17,10.72,10.12,10.5,5.1,5180800
2000-01-31,10.52,10.97,10.27,10.86,5.28,4684800
2000-02-01,10.97,11.17,10.95,11.08,5.38,5557200
2000-02-02,11.03,11.09,10.81,11.09,5.39,3375200
2000-02-03,11.0,11.27,10.66,11.23,5.46,3780000
2000-02-04,11.06,11.06,10.86,10.98,5.34,3072000
2000-02-07,10.92,10.92,10.47,10.69,5.19,2473600
2000-02-08,10.52,10.72,10.44,10.48,5.09,4169200
2000-02-09,10.48,10.48,10.3,10.33,5.02,1819200
2000-02-10,10.27,10.33,10.03,10.31,5.01,4403200
2000-02-11,10.28,10.36,9.92,9.97,4.84,3494800
2000-02-14,9.97,10.08,9.75,9.77,4.74,3332400
2000-02-15,9.77,9.88,9.75,9.77,4.78,4604800
2000-02-16,9.83,9.98,9.64,9.69,4.74,1846800
2000-02-17,9.75,9.75,9.39,9.45,4.63,2165200
2000-02-18,9.38,9.59,9.23,9.42,4.61,3086000
2000-02-22,9.45,9.48,9.25,9.31,4.56,2364800
2000-02-23,9.25,9.41,9.06,9.16,4.48,4734800
2000-02-24,9.14,9.14,8.73,8.91,4.36,3266400
2000-02-25,9.0,9.02,8.73,8.77,4.29,2985200
2000-02-28,8.73,9.25,8.64,9.23,4.52,5202400
2000-02-29,9.25,9.34,8.8,9.14,4.48,3695200
2000-03-01,9.14,9.23,8.98,9.23,4.52,3526800
2000-03-02,9.23,9.31,8.78,9.06,4.44,2867600
2000-03-03,9.12,9.31,9.02,9.16,4.48,2520800
2000-03-06,9.11,9.14,8.92,9.05,4.43,2285600
2000-03-07,9.0,9.0,8.64,8.7,4.26,5722400
2000-03-08,8.69,8.81,8.64,8.72,4.27,6801200
2000-03-09,8.55,8.86,8.5,8.81,4.31,4529200
2000-03-10,8.84,8.92,8.72,8.78,4.3,2236000
2000-03-13,8.75,8.77,8.39,8.59,4.21,2460400
2000-03-14,8.55,9.28,8.55,8.95,4.38,3939600
2000-03-15,9.06,10.36,9.06,10.27,5.03,7438000
2000-03-16,10.73,11.12,10.59,11.0,5.39,5425600
2000-03-17,10.88,10.89,10.38,10.45,5.12,4430800
2000-03-20,10.47,10.64,10.17,10.33,5.06,2761200
2000-03-21,10.28,10.89,10.25,10.84,5.31,2926400
2000-03-22,10.75,11.11,10.75,11.03,5.4,5593600
2000-03-23,10.88,11.3,10.88,11.23,5.5,3609200
2000-03-24,11.08,11.66,11.08,11.48,5.62,3843200
2000-03-27,11.42,11.44,10.89,10.97,5.37,2646800
2000-03-28,11.05,11.14,10.83,10.92,5.35,2143200
2000-03-29,10.91,11.3,10.91,11.19,5.48,2318000
2000-03-30,11.23,11.5,11.02,11.12,5.45,4233200
2000-03-31,11.06,11.53,11.02,11.39,5.58,3538800
2000-04-03,11.5,11.77,11.42,11.75,5.75,3580800
2000-04-04,11.75,11.88,11.31,11.64,5.7,3571600
2000-04-05,11.44,11.78,11.39,11.48,5.62,2367600
2000-04-06,11.52,11.67,11.41,11.56,5.66,1903600
2000-04-07,11.5,11.58,11.36,11.38,5.57,2364800
2000-04-10,11.38,11.75,11.38,11.52,5.64,1983200
2000-04-11,11.5,11.84,11.5,11.77,5.76,1758400
2000-04-12,11.77,11.97,11.73,11.78,5.77,1972400
2000-04-13,11.8,11.91,11.59,11.75,5.75,2089600
2000-04-14,11.47,11.67,11.36,11.52,5.64,4502800
2000-04-17,11.38,11.52,11.16,11.41,5.58,3797600
2000-04-18,11.38,11.59,11.3,11.39,5.58,1705600
2000-04-19,11.33,11.33,10.94,11.16,5.46,2978800
2000-04-20,11.08,12.03,11.08,11.89,5.82,3420800
2000-04-24,11.81,12.33,11.58,12.11,5.93,2649200
2000-04-25,12.0,12.23,11.94,12.2,5.97,2611200
2000-04-26,12.31,12.67,12.25,12.55,6.14,6516000
2000-04-27,12.38,12.39,12.02,12.12,5.94,6027600
2000-04-28,12.0,12.22,11.67,12.2,5.97,6755600
2000-05-01,12.14,12.39,12.0,12.08,5.91,3153200
2000-05-02,11.7,12.06,11.7,11.97,5.86,3764000
2000-05-03,11.75,11.86,11.45,11.45,5.61,2470000
2000-05-04,11.42,11.48,11.33,11.39,5.58,2143600
2000-05-05,11.39,11.44,11.25,11.38,5.57,1541200
2000-05-08,11.62,11.67,11.38,11.5,5.63,2582400
2000-05-09,11.47,11.7,11.42,11.69,5.72,3561600
2000-05-10,11.69,12.0,11.53,11.89,5.82,2726400
2000-05-11,11.75,12.08,11.69,11.77,5.76,1847200
2000-05-12,11.77,12.06,11.75,11.94,5.84,1921600
2000-05-15,12.02,12.2,12.02,12.2,5.97,2140400
2000-05-16,11.95,12.34,11.95,12.25,6.04,1836400
2000-05-17,12.06,12.11,11.8,12.06,5.95,1932000
2000-05-18,12.08,12.61,12.08,12.5,6.16,3196000
2000-05-19,12.25,12.39,12.03,12.14,5.99,2253600
2000-05-22,12.25,12.72,12.23,12.61,6.22,3333600
2000-05-23,12.59,12.98,12.44,12.75,6.29,3376000
2000-05-24,12.72,12.81,12.39,12.67,6.25,3185600
2000-05-25,12.55,12.64,12.47,12.56,6.19,2471200
2000-05-26,12.62,12.83,12.62,12.72,6.27,1814800
2000-05-30,12.72,13.03,12.66,12.84,6.33,2730800
2000-05-31,12.84,13.11,12.75,12.92,6.37,1733600
2000-06-01,12.86,13.28,12.83,13.27,6.54,3285200
2000-06-02,13.38,13.48,13.09,13.2,6.51,2482800
2000-06-05,13.12,13.16,12.69,12.8,6.31,1820400
2000-06-06,12.97,13.08,12.91,12.94,6.38,2246000
2000-06-07,12.94,13.14,12.86,13.03,6.42,1249600
2000-06-08,13.05,13.08,12.72,12.89,6.36,1884800
2000-06-09,12.83,12.91,12.56,12.66,6.24,887600
2000-06-12,12.66,12.84,12.48,12.55,6.19,2614400
2000-06-13,12.53,12.77,12.53,12.69,6.26,2134400
2000-06-14,12.69,12.83,12.5,12.58,6.2,2389200
2000-06-15,12.61,12.66,12.2,12.31,6.07,1945200
2000-06-16,12.31,12.33,11.86,11.95,5.89,2179600
2000-06-19,11.88,12.03,11.77,11.94,5.89,2890000
2000-06-20,11.81,11.83,11.41,11.48,5.66,3714000
2000-06-21,11.56,11.86,11.52,11.77,5.8,3586000
2000-06-22,11.62,11.81,11.59,11.77,5.8,2030400
2000-06-23,11.81,12.09,11.77,11.83,5.83,1358400
2000-06-26,11.81,11.83,11.62,11.67,5.75,1841600
2000-06-27,11.69,11.94,11.64,11.91,5.87,1737200
2000-06-28,11.84,12.0,11.81,11.95,5.89,2262400
2000-06-29,11.91,11.91,11.5,11.5,5.67,2935600
2000-06-30,11.5,11.75,11.42,11.48,5.66,2606800
2000-07-03,11.42,11.75,11.33,11.73,5.79,805200
2000-07-05,11.73,11.83,11.27,11.27,5.55,8203200
2000-07-06,11.31,11.45,11.27,11.34,5.59,3324800
2000-07-07,11.41,11.97,11.39,11.89,5.86,2621600
2000-07-10,11.88,12.2,11.8,12.08,5.95,3447200
2000-07-11,12.12,12.47,12.11,12.39,6.11,3369200
2000-07-12,12.5,12.86,12.44,12.64,6.23,4044000
2000-07-13,12.62,12.97,12.61,12.94,6.38,5226800
2000-07-14,12.88,13.0,12.83,12.97,6.39,2264800
2000-07-17,12.91,12.92,12.47,12.55,6.19,4246000
2000-07-18,12.5,12.56,12.09,12.16,5.99,2464400
2000-07-19,12.2,12.33,12.12,12.25,6.04,1682800
2000-07-20,12.36,12.62,12.31,12.53,6.18,1302800
2000-07-21,12.58,12.58,12.39,12.44,6.13,1799200
2000-07-24,12.44,12.84,12.42,12.77,6.29,1866000
2000-07-25,12.62,12.89,12.59,12.89,6.36,1566000
2000-07-26,12.98,13.41,12.86,13.16,6.49,4981600
2000-07-27,13.36,13.58,13.34,13.41,6.61,3722800
2000-07-28,13.41,13.42,13.23,13.36,6.59,2799600
2000-07-31,13.39,13.41,12.98,12.98,6.4,3015600
2000-08-01,13.05,13.8,13.05,13.7,6.76,4466000
2000-08-02,13.69,13.69,13.55,13.61,6.71,2954800
2000-08-03,13.59,13.94,13.55,13.83,6.82,2552400
2000-08-04,13.88,13.95,13.34,13.89,6.85,2941200
2000-08-07,13.75,14.19,13.7,14.12,6.96,2794800
2000-08-08,13.78,14.02,13.78,13.88,6.84,1944400
2000-08-09,13.69,13.78,13.39,13.77,6.79,2928400
2000-08-10,13.75,13.83,13.58,13.61,6.71,2941600
2000-08-11,13.66,14.23,13.66,14.08,6.94,4255600
2000-08-14,14.27,14.73,14.27,14.7,7.25,3510000
2000-08-15,14.5,14.55,14.33,14.42,7.15,5108800
2000-08-16,14.19,14.25,13.53,13.77,6.83,4300000
2000-08-17,13.83,13.95,13.67,13.81,6.85,1890400
2000-08-18,13.78,13.83,13.64,13.67,6.78,1656400
2000-08-21,13.53,13.8,13.38,13.78,6.83,1835200
2000-08-22,13.53,13.92,13.53,13.8,6.84,1197200
