Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.66,9.66,9.0,9.0,6.4,134000.0
2000-01-04,8.88,9.28,8.88,9.0,6.4,68200.0
2000-01-05,9.0,9.25,9.0,9.16,6.51,70000.0
2000-01-06,9.09,9.5,9.03,9.47,6.73,78600.0
2000-01-07,9.44,9.47,9.25,9.31,6.62,71800.0
2000-01-10,9.34,9.34,9.19,9.28,6.6,67000.0
2000-01-11,9.31,9.34,9.25,9.25,6.57,68200.0
2000-01-12,9.25,9.31,9.22,9.31,6.62,93000.0
2000-01-13,9.31,9.5,9.25,9.44,6.71,94400.0
2000-01-14,9.5,9.5,9.25,9.25,6.57,118000.0
2000-01-18,9.19,9.19,8.94,9.06,6.44,74000.0
2000-01-19,9.06,9.22,9.0,9.09,6.46,106000.0
2000-01-20,9.12,9.31,8.88,8.97,6.37,77400.0
2000-01-21,9.03,9.19,8.88,9.09,6.46,111200.0
2000-01-24,9.28,9.28,8.94,8.94,6.35,120400.0
2000-01-25,8.97,8.97,8.56,8.56,6.08,67200.0
2000-01-26,8.59,8.88,8.56,8.88,6.31,91200.0
2000-01-27,8.94,9.09,8.94,9.03,6.42,83000.0
2000-01-28,9.03,9.16,8.75,8.81,6.26,90800.0
2000-01-31,8.84,9.19,8.84,9.03,6.42,114600.0
2000-02-01,9.0,9.0,8.66,8.78,6.24,59000.0
2000-02-02,8.72,8.94,8.66,8.81,6.26,122200.0
2000-02-03,8.81,8.88,8.69,8.81,6.26,61600.0
2000-02-04,8.78,8.78,8.56,8.69,6.17,101400.0
2000-02-07,8.56,8.69,8.5,8.69,6.17,62200.0
2000-02-08,8.78,8.84,8.5,8.56,6.08,70800.0
2000-02-09,8.62,8.81,8.31,8.44,6.0,98800.0
2000-02-10,8.41,8.5,8.22,8.44,6.0,522200.0
2000-02-11,8.44,8.53,7.97,8.0,5.68,135000.0
2000-02-14,7.97,8.25,7.91,8.22,5.84,56200.0
2000-02-15,8.31,8.44,8.16,8.44,6.0,76200.0
2000-02-16,8.44,8.53,8.12,8.12,5.77,86000.0
2000-02-17,8.22,8.47,8.19,8.25,5.86,82400.0
2000-02-18,8.28,8.28,7.94,7.97,5.66,60400.0
2000-02-22,7.97,8.0,7.81,7.97,5.66,123800.0
2000-02-23,8.03,8.09,7.69,7.88,5.6,95600.0
2000-02-24,7.88,7.94,7.66,7.69,5.46,41400.0
2000-02-25,7.72,7.75,7.62,7.66,5.44,63600.0
2000-02-28,7.62,7.78,7.5,7.66,5.44,110800.0
2000-02-29,7.66,8.09,7.53,7.53,5.35,194800.0
2000-03-01,7.5,7.53,7.28,7.28,5.17,123200.0
2000-03-02,7.28,7.5,7.28,7.47,5.31,156600.0
2000-03-03,7.44,7.56,7.44,7.5,5.33,65000.0
2000-03-06,7.5,8.0,7.5,7.78,5.53,179000.0
2000-03-07,7.84,7.95,7.5,7.5,5.33,222600.0
2000-03-08,7.88,7.97,7.88,7.88,5.6,152400.0
2000-03-09,7.78,7.91,7.69,7.72,5.49,161200.0
2000-03-10,7.69,8.08,7.59,8.0,5.68,167600.0
2000-03-13,7.81,8.0,7.66,7.84,5.61,85600.0
2000-03-14,7.91,7.94,7.84,7.91,5.66,139200.0
2000-03-15,7.91,8.66,7.84,8.62,6.17,141200.0
2000-03-16,8.66,9.28,8.66,9.28,6.64,368600.0
2000-03-17,9.12,9.5,9.12,9.47,6.78,267800.0
2000-03-20,9.47,9.81,9.47,9.81,7.02,275800.0
2000-03-21,9.75,9.88,9.59,9.88,7.07,353400.0
2000-03-22,9.88,10.0,9.41,9.41,6.73,338000.0
2000-03-23,9.31,9.41,9.0,9.34,6.69,399200.0
2000-03-24,9.25,9.5,9.0,9.44,6.75,61600.0
2000-03-27,9.38,9.5,9.09,9.44,6.75,67800.0
2000-03-28,9.38,9.41,8.81,9.16,6.55,63800.0
2000-03-29,9.09,9.09,8.91,8.97,6.42,134400.0
2000-03-30,9.03,9.56,9.03,9.56,6.84,83800.0
2000-03-31,9.66,10.56,9.5,10.38,7.42,418200.0
2000-04-03,10.19,10.19,10.0,10.0,7.16,172000.0
2000-04-04,10.0,10.19,9.75,10.12,7.24,154400.0
2000-04-05,10.16,10.16,9.66,9.78,7.0,86200.0
2000-04-06,9.84,10.0,9.81,9.94,7.11,99400.0
2000-04-07,9.94,10.22,9.94,10.16,7.27,40200.0
2000-04-10,10.09,10.19,9.91,9.91,7.09,71400.0
2000-04-11,9.91,10.19,9.84,10.0,7.16,375200.0
2000-04-12,10.06,10.12,9.97,9.97,7.13,295600.0
2000-04-13,9.97,10.0,9.66,9.97,7.13,219400.0
2000-04-14,10.0,10.12,9.91,9.94,7.11,218800.0
2000-04-17,9.91,9.91,9.66,9.75,6.98,81200.0
2000-04-18,9.75,9.75,9.38,9.47,6.78,173800.0
2000-04-19,9.53,9.78,9.53,9.75,6.98,159000.0
2000-04-20,9.72,10.0,9.69,9.97,7.13,502200.0
2000-04-24,9.88,10.31,9.88,10.28,7.36,157200.0
2000-04-25,10.47,11.0,10.34,10.56,7.56,344200.0
2000-04-26,10.56,10.62,10.0,10.16,7.27,147200.0
2000-04-27,10.16,10.81,10.09,10.5,7.51,178400.0
2000-04-28,10.44,10.47,10.12,10.47,7.49,65600.0
2000-05-01,10.41,10.75,10.41,10.59,7.58,260200.0
2000-05-02,10.62,10.75,10.56,10.66,7.62,71400.0
2000-05-03,10.72,11.12,10.72,11.09,7.94,355200.0
2000-05-04,11.06,11.25,10.69,10.75,7.69,165200.0
2000-05-05,10.78,11.25,10.62,10.84,7.76,237600.0
2000-05-08,10.88,11.0,10.78,11.0,7.87,86800.0
