Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,8.88,9.0,8.75,8.75,7.89,900400
2000-01-04,8.8,8.84,8.62,8.64,7.79,892000
2000-01-05,8.7,8.75,8.52,8.69,7.83,1016800
2000-01-06,8.69,8.77,8.53,8.7,7.84,1045200
2000-01-07,8.77,9.08,8.69,9.02,8.13,1304800
2000-01-10,9.08,9.22,8.81,8.86,7.99,1474800
2000-01-11,8.97,9.11,8.86,8.86,7.99,1962800
2000-01-12,8.92,9.0,8.59,8.61,7.76,1040400
2000-01-13,8.52,8.7,8.47,8.59,7.75,1389600
2000-01-14,8.62,8.7,8.5,8.55,7.7,1209200
2000-01-18,8.58,8.61,8.53,8.53,7.69,765600
2000-01-19,8.52,8.56,8.31,8.33,7.51,941200
2000-01-20,8.34,8.42,8.08,8.12,7.32,1241600
2000-01-21,8.0,8.14,7.8,7.95,7.17,1471600
2000-01-24,7.97,8.0,7.53,7.53,6.79,1567200
2000-01-25,7.59,7.73,7.58,7.62,6.87,938000
2000-01-26,7.62,8.19,7.58,8.06,7.27,1780000
2000-01-27,8.09,8.09,7.94,7.97,7.18,959200
2000-01-28,8.02,8.22,8.0,8.16,7.35,824000
2000-01-31,8.12,8.17,7.97,7.97,7.18,1047200
2000-02-01,7.47,8.17,7.38,7.94,7.15,3467600
2000-02-02,7.91,8.03,7.73,7.95,7.17,1629600
2000-02-03,7.84,7.89,7.72,7.78,7.01,1693200
2000-02-04,7.77,7.8,7.67,7.67,6.91,942400
2000-02-07,7.61,7.75,7.55,7.59,6.84,1138800
2000-02-08,7.59,7.59,7.45,7.52,6.77,1420400
2000-02-09,7.5,7.5,7.39,7.39,6.66,782800
2000-02-10,7.48,7.55,7.3,7.45,6.72,1642800
2000-02-11,7.41,7.45,7.3,7.3,6.58,482400
2000-02-14,7.28,7.3,6.77,6.83,6.15,1692000
2000-02-15,6.88,7.0,6.75,6.92,6.24,1457200
2000-02-16,6.92,7.05,6.86,6.95,6.27,1769200
2000-02-17,6.98,7.14,6.95,7.09,6.39,1376800
2000-02-18,7.14,7.17,6.94,7.03,6.34,898000
2000-02-22,7.03,7.03,6.81,6.86,6.18,1195200
2000-02-23,6.89,6.89,6.77,6.78,6.11,1871600
2000-02-24,6.8,6.83,6.66,6.81,6.14,713200
2000-02-25,6.75,6.77,6.62,6.66,6.0,616000
2000-02-28,6.62,6.89,6.62,6.77,6.1,621600
2000-02-29,6.83,6.83,6.53,6.62,5.97,987600
2000-03-01,6.69,6.84,6.66,6.67,6.01,907200
2000-03-02,6.64,6.67,6.5,6.53,5.89,638800
2000-03-03,6.55,6.83,6.47,6.8,6.13,1117600
2000-03-06,6.73,6.75,6.41,6.52,5.87,1013200
2000-03-07,6.55,6.55,6.31,6.38,5.75,880000
2000-03-08,6.44,6.75,6.44,6.69,6.03,1961600
2000-03-09,6.56,6.78,6.38,6.5,5.86,1833200
2000-03-10,6.59,6.86,6.55,6.72,6.06,888400
2000-03-13,6.72,6.81,6.5,6.77,6.1,730400
2000-03-14,6.78,6.84,6.41,6.48,5.84,1840400
2000-03-15,6.53,7.58,6.53,7.52,6.77,2609600
2000-03-16,7.58,8.31,7.47,8.12,7.32,2004800
2000-03-17,8.06,8.16,7.61,7.67,6.91,1437600
2000-03-20,7.25,7.66,7.22,7.5,6.76,2272000
2000-03-21,7.5,8.05,7.47,7.91,7.13,1236400
2000-03-22,7.92,7.92,7.22,7.23,6.52,3377200
2000-03-23,7.23,7.59,7.14,7.59,6.84,1602000
2000-03-24,7.55,7.77,7.25,7.27,6.55,2410000
2000-03-27,7.28,7.45,7.17,7.23,6.52,701600
2000-03-28,7.28,7.5,7.28,7.44,6.7,1496800
2000-03-29,7.47,7.61,7.25,7.31,6.59,1274800
2000-03-30,7.38,7.38,7.19,7.2,6.49,1140000
2000-03-31,7.19,7.55,7.17,7.52,6.77,1852000
2000-04-03,7.5,7.53,7.19,7.25,6.53,1118800
2000-04-04,7.31,7.45,7.02,7.25,6.53,1284000
2000-04-05,7.27,7.88,7.25,7.75,6.99,1430000
2000-04-06,7.72,7.84,7.69,7.72,6.96,573200
2000-04-07,7.66,7.73,7.41,7.48,6.75,562800
2000-04-10,7.5,7.69,7.5,7.59,6.84,758800
2000-04-11,7.66,7.88,7.62,7.84,7.07,862400
2000-04-12,7.91,7.97,7.75,7.84,7.07,886000
2000-04-13,7.91,7.91,7.78,7.8,7.03,1628400
2000-04-14,7.75,7.77,7.23,7.41,6.68,1247600
2000-04-17,7.31,7.36,7.12,7.23,6.52,1144000
2000-04-18,7.23,7.5,7.22,7.44,6.7,961600
2000-04-19,7.34,7.73,7.23,7.61,6.86,1197200
2000-04-20,7.61,7.61,7.28,7.44,6.7,699200
2000-04-24,7.44,7.44,7.03,7.11,6.41,994800
2000-04-25,7.16,7.44,7.16,7.44,6.7,583600
2000-04-26,7.44,7.44,7.16,7.23,6.52,1038000
2000-04-27,7.19,7.23,7.06,7.19,6.48,564000
2000-04-28,7.19,7.25,7.05,7.19,6.48,638000
2000-05-01,7.17,7.56,7.16,7.47,6.73,820400
2000-05-02,7.44,7.52,7.2,7.31,6.59,627200
2000-05-03,7.33,7.33,7.2,7.22,6.51,570000
2000-05-04,7.38,7.45,7.34,7.42,6.69,692800
2000-05-05,7.42,7.69,7.41,7.53,6.79,741200
2000-05-08,7.59,7.81,7.52,7.75,6.99,778800
2000-05-09,7.77,7.8,7.36,7.56,6.82,903200
2000-05-10,7.52,7.64,7.31,7.38,6.65,670400
2000-05-11,7.38,7.53,7.38,7.45,6.72,817200
2000-05-12,7.44,7.48,7.12,7.19,6.48,1062400
2000-05-15,7.2,7.38,7.12,7.3,6.58,599600
2000-05-16,7.25,7.45,7.19,7.45,6.72,1046400
2000-05-17,7.39,7.72,7.38,7.53,6.79,688000
2000-05-18,7.5,7.52,7.19,7.27,6.55,513600
2000-05-19,7.25,7.25,7.16,7.16,6.45,407600
2000-05-22,7.16,7.2,6.98,6.98,6.3,772400
2000-05-23,6.98,7.17,6.98,7.14,6.44,624400
2000-05-24,8.0,8.02,7.38,7.5,6.76,3803600
2000-05-25,7.53,7.69,7.53,7.61,6.86,1075200
2000-05-26,7.61,7.61,7.52,7.52,6.77,584000
2000-05-30,7.53,7.83,7.53,7.78,7.01,850800
2000-05-31,7.78,7.81,7.77,7.78,7.01,764400
2000-06-01,7.81,7.98,7.8,7.98,7.2,485200
2000-06-02,8.28,8.3,7.03,7.69,6.93,4353200
2000-06-05,7.62,7.72,7.41,7.5,6.76,1676000
2000-06-06,7.56,7.61,7.27,7.44,6.7,1103200
2000-06-07,7.47,7.62,7.31,7.59,6.84,1778400
2000-06-08,7.56,7.73,7.5,7.73,6.97,639600
2000-06-09,7.7,7.91,7.69,7.86,7.08,936400
2000-06-12,7.88,7.88,7.34,7.47,6.73,969600
2000-06-13,7.47,7.47,7.2,7.34,6.62,886400
2000-06-14,7.31,7.44,7.12,7.44,6.7,984400
2000-06-15,7.31,7.38,7.19,7.25,6.53,1137200
2000-06-16,7.22,7.23,7.11,7.2,6.49,883600
2000-06-19,7.23,7.3,7.23,7.25,6.53,531600
2000-06-20,7.31,7.33,7.2,7.22,6.51,1123600
2000-06-21,7.22,7.22,7.16,7.17,6.46,576000
2000-06-22,7.17,7.17,6.94,6.95,6.27,1477600
2000-06-23,6.97,6.98,6.83,6.97,6.28,666400
2000-06-26,6.98,6.98,6.78,6.81,6.14,499200
2000-06-27,6.81,7.05,6.81,6.94,6.25,1252800
2000-06-28,6.98,7.06,6.89,7.05,6.35,979600
2000-06-29,6.69,6.91,6.61,6.64,5.99,2548000
2000-06-30,6.7,7.12,6.64,6.78,6.11,1870400
2000-07-03,6.8,6.83,6.72,6.77,6.1,238000
2000-07-05,6.94,7.05,6.77,6.98,6.3,1492800
2000-07-06,7.0,7.0,6.66,6.95,6.27,1957600
2000-07-07,7.0,7.06,6.97,7.0,6.31,513600
2000-07-10,7.02,7.02,6.81,6.89,6.21,1211200
2000-07-11,6.94,6.95,6.78,6.78,6.11,523600
2000-07-12,6.83,7.23,6.83,7.17,6.46,1070400
2000-07-13,7.19,7.23,7.05,7.11,6.41,405200
2000-07-14,6.62,7.03,6.56,6.88,6.2,2677200
2000-07-17,6.94,7.16,6.91,7.08,6.38,669200
2000-07-18,7.08,7.11,6.88,7.02,6.32,696000
2000-07-19,6.94,6.94,6.7,6.73,6.07,1103200
2000-07-20,6.78,6.83,6.69,6.78,6.11,596800
2000-07-21,6.73,6.91,6.66,6.88,6.2,931200
2000-07-24,6.86,7.06,6.86,6.92,6.24,841600
2000-07-25,6.95,7.05,6.88,6.88,6.2,626800
2000-07-26,6.88,7.19,6.81,7.14,6.44,1017200
2000-07-27,7.17,7.22,6.94,6.94,6.25,551600
2000-07-28,6.89,6.92,6.64,6.7,6.04,897600
2000-07-31,6.73,6.91,6.73,6.86,6.18,744400
2000-08-01,6.91,6.97,6.88,6.92,6.24,622000
2000-08-02,6.97,7.03,6.95,6.95,6.27,857200
2000-08-03,7.0,7.09,6.98,6.98,6.3,767200
2000-08-04,6.8,6.98,6.8,6.98,6.3,687600
2000-08-07,6.97,7.03,6.95,7.02,6.32,353600
2000-08-08,7.08,7.12,6.98,7.06,6.37,1265600
2000-08-09,7.03,7.08,6.89,6.92,6.24,898000
2000-08-10,6.94,6.97,6.83,6.92,6.24,802800
2000-08-11,6.89,6.94,6.8,6.94,6.25,819200
2000-08-14,6.94,6.94,6.84,6.86,6.18,234800
2000-08-15,6.83,6.83,6.66,6.81,6.14,687600
2000-08-16,6.69,6.75,6.58,6.75,6.08,370000
2000-08-17,6.73,6.73,6.47,6.61,5.96,849600
2000-08-18,6.66,6.66,6.52,6.61,5.96,552000
2000-08-21,6.62,6.67,6.56,6.58,5.93,371200
2000-08-22,6.56,6.58,6.47,6.56,5.91,507200
2000-08-23,6.53,6.53,6.42,6.47,5.83,550000
2000-08-24,6.41,6.52,6.36,6.48,5.84,670400
2000-08-25,6.53,6.67,6.47,6.61,5.96,822400
2000-08-28,6.55,6.64,6.44,6.45,5.82,342000
2000-08-29,6.39,6.45,6.38,6.45,5.82,373600
2000-08-30,6.44,6.44,6.36,6.41,5.77,409200
2000-08-31,6.42,6.55,6.41,6.5,5.86,384800
2000-09-01,6.52,6.53,6.45,6.45,5.82,451200
2000-09-05,6.47,6.59,6.45,6.59,5.94,338000
2000-09-06,6.59,6.7,6.59,6.64,5.99,396000
2000-09-07,6.59,6.61,6.44,6.5,5.86,284000
2000-09-08,6.52,6.58,6.45,6.5,5.86,661200
2000-09-11,6.5,6.56,6.33,6.36,5.73,2989600
2000-09-12,6.38,6.39,6.27,6.34,5.72,542000
2000-09-13,6.31,6.45,6.31,6.42,5.79,517200
2000-09-14,6.45,6.47,6.28,6.34,5.72,279600
2000-09-15,6.28,6.39,6.28,6.39,5.76,625200
2000-09-18,6.36,6.41,6.12,6.19,5.58,1566800
2000-09-19,6.19,6.19,5.92,6.06,5.46,1216800
2000-09-20,5.97,6.05,5.91,5.98,5.39,651200
2000-09-21,6.02,6.11,5.83,5.95,5.37,608000
2000-09-22,5.94,6.0,5.78,5.98,5.39,745600
2000-09-25,6.02,6.11,5.98,6.08,5.48,1450800
2000-09-26,6.03,6.05,5.86,5.91,5.32,383600
2000-09-27,5.89,5.98,5.83,5.91,5.32,462000
2000-09-28,5.89,6.06,5.84,6.06,5.46,499200
2000-09-29,5.98,6.02,5.81,6.0,5.41,890000
2000-10-02,5.97,5.97,5.83,5.84,5.27,271200
2000-10-03,5.88,6.02,5.88,5.97,5.38,480800
2000-10-04,5.97,6.25,5.97,6.12,5.52,1278800
2000-10-05,6.19,6.5,6.19,6.34,5.72,914400
2000-10-06,6.34,6.39,6.0,6.06,5.46,937200
2000-10-09,6.08,6.19,6.0,6.17,5.56,762400
2000-10-10,6.17,6.27,6.16,6.16,5.55,393600
2000-10-11,5.62,5.64,5.3,5.3,4.77,2043200
2000-10-12,5.5,5.5,5.2,5.34,4.82,1442800
2000-10-13,5.31,5.41,5.25,5.38,4.84,856000
2000-10-16,5.38,5.41,5.16,5.28,4.76,428800
2000-10-17,5.28,5.36,5.0,5.25,4.73,1423200
2000-10-18,5.12,5.25,4.88,5.23,4.72,2388400
2000-10-19,5.23,5.52,5.23,5.5,4.96,1005200
2000-10-20,5.44,5.45,5.09,5.19,4.68,2907600
2000-10-23,5.2,5.5,5.17,5.45,4.92,2096400
2000-10-24,5.47,5.48,5.41,5.45,4.92,1011600
2000-10-25,5.44,5.5,5.38,5.42,4.89,537600
2000-10-26,5.47,5.73,5.36,5.58,5.03,1216400
2000-10-27,5.56,6.23,5.53,6.16,5.55,2166800
2000-10-30,6.16,6.56,6.06,6.52,5.87,1111200
2000-10-31,6.52,6.53,6.45,6.48,5.84,673200
2000-11-01,6.55,6.86,6.53,6.7,6.04,695600
2000-11-02,6.7,6.7,6.52,6.62,5.97,695200
2000-11-03,6.62,6.67,6.48,6.64,5.99,531200
2000-11-06,6.67,6.73,6.61,6.7,6.04,631200
2000-11-07,6.67,6.7,6.36,6.59,5.94,616800
2000-11-08,6.59,6.7,6.53,6.64,5.99,598400
2000-11-09,6.64,6.64,6.55,6.58,5.93,971600
2000-11-10,6.56,6.56,6.39,6.47,5.83,316800
2000-11-13,6.44,6.81,6.44,6.78,6.11,722000
2000-11-14,6.83,6.91,6.73,6.8,6.13,634000
2000-11-15,6.83,7.0,6.83,6.98,6.3,666400
2000-11-16,6.95,6.95,6.77,6.88,6.2,314000
2000-11-17,6.94,7.16,6.91,7.16,6.45,814000
2000-11-20,7.19,7.25,7.19,7.23,6.52,1009200
2000-11-21,7.17,7.28,7.17,7.25,6.53,564400
2000-11-22,7.23,7.23,7.06,7.08,6.38,726800
2000-11-24,7.12,7.25,7.12,7.25,6.53,218000
2000-11-27,7.25,7.25,7.09,7.12,6.42,372400
2000-11-28,6.88,7.03,6.84,6.98,6.3,798800
2000-11-29,7.0,7.08,6.86,7.03,6.34,480400
2000-11-30,7.03,7.05,6.91,6.98,6.3,513200
2000-12-01,6.95,7.0,6.91,6.98,6.3,274800
2000-12-04,6.94,6.94,6.7,6.8,6.13,412400
2000-12-05,6.81,7.14,6.77,7.14,6.44,619200
2000-12-06,7.05,7.12,6.84,6.94,6.25,806800
2000-12-07,6.83,6.83,6.52,6.55,5.9,1554800
2000-12-08,6.55,6.8,6.53,6.69,6.03,1944800
2000-12-11,6.7,7.22,6.67,7.2,6.49,904000
2000-12-12,7.19,7.25,6.97,6.98,6.3,559200
2000-12-13,6.98,7.14,6.83,6.86,6.18,532000
2000-12-14,6.84,6.88,6.52,6.52,5.87,1507600
2000-12-15,6.44,6.5,6.44,6.47,5.83,931600
2000-12-18,6.47,6.5,6.34,6.44,5.8,1045200
2000-12-19,6.41,6.48,6.39,6.47,5.83,886000
2000-12-20,6.44,6.44,6.08,6.28,5.66,913200
2000-12-21,6.25,6.48,6.25,6.48,5.84,645600
2000-12-22,6.47,6.55,6.42,6.52,5.87,457200
2000-12-26,6.5,6.59,6.5,6.55,5.9,441200
2000-12-27,6.52,6.83,6.52,6.69,6.03,407200
2000-12-28,6.69,7.09,6.69,7.09,6.39,816800
2000-12-29,7.09,7.94,7.09,7.44,6.7,1756800
2001-01-02,7.38,7.47,7.25,7.39,6.66,656000
2001-01-03,7.36,8.0,7.36,7.98,7.2,1371600
2001-01-04,7.91,8.5,7.91,8.5,7.66,2179600
2001-01-05,8.5,8.52,8.33,8.45,7.62,1447200
2001-01-08,8.5,8.81,8.36,8.47,7.63,1600400
2001-01-09,8.19,8.19,7.7,7.73,6.97,2403200
2001-01-10,7.72,7.72,7.53,7.72,6.96,936800
2001-01-11,7.73,7.81,7.48,7.55,6.8,826800
2001-01-12,7.55,7.56,7.31,7.47,6.73,1048400
2001-01-16,7.48,7.5,7.42,7.5,6.76,465200
2001-01-17,7.47,7.48,7.33,7.38,6.65,310800
