Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,24.0,24.19,23.25,23.5,14.54,2993100
2000-01-04,23.44,23.75,22.69,22.75,14.08,3186700
2000-01-05,23.0,23.94,23.0,23.75,14.7,3290200
2000-01-06,23.38,24.12,23.12,23.62,14.62,2760400
2000-01-07,23.75,24.81,23.25,24.5,15.16,3140400
2000-01-10,24.62,24.94,23.88,23.94,14.81,2897000
2000-01-11,23.75,24.56,23.75,23.88,14.77,1716600
2000-01-12,24.19,24.75,24.0,24.0,14.85,2145300
2000-01-13,24.19,25.5,23.94,24.81,15.35,3051500
2000-01-14,25.06,25.19,24.06,24.19,14.97,2626900
2000-01-18,24.19,25.06,24.06,24.06,14.89,2323500
2000-01-19,24.38,24.5,23.56,23.56,14.58,2791800
2000-01-20,24.0,24.0,23.62,23.75,14.7,3181600
2000-01-21,24.12,24.12,23.25,23.5,14.54,2978900
2000-01-24,23.62,23.88,22.81,22.81,14.12,2986100
2000-01-25,23.12,23.62,22.81,22.88,14.16,2919300
2000-01-26,23.0,23.75,22.69,23.19,14.35,2706800
2000-01-27,23.44,23.94,23.19,23.19,14.35,2444800
2000-01-28,23.19,23.56,22.81,22.81,14.12,2460500
2000-01-31,23.0,23.25,22.88,23.19,14.35,2275200
2000-02-01,23.12,23.56,22.94,23.06,14.27,2614000
2000-02-02,23.0,23.62,23.0,23.31,14.43,1857300
2000-02-03,23.12,23.88,22.88,23.06,14.27,3958500
2000-02-04,23.06,23.38,22.88,23.25,14.39,2311800
2000-02-07,23.5,23.5,22.88,23.5,14.54,2151200
2000-02-08,22.88,23.12,21.31,22.0,13.61,3712400
2000-02-09,20.75,21.31,19.88,19.94,12.34,7192800
2000-02-10,20.19,20.94,20.12,20.5,12.69,5920600
2000-02-11,21.0,22.12,20.81,21.69,13.42,5829300
2000-02-14,21.69,22.06,21.06,21.25,13.15,3412500
2000-02-15,21.62,21.88,21.5,21.75,13.46,1953400
2000-02-16,21.12,21.94,21.12,21.5,13.3,3044400
2000-02-17,21.38,21.81,21.06,21.25,13.15,3745800
2000-02-18,21.25,21.5,20.75,21.0,13.0,2489500
2000-02-22,20.62,21.88,20.62,21.38,13.23,2773000
2000-02-23,21.12,21.31,20.88,20.88,12.92,2459900
2000-02-24,21.0,21.12,20.25,20.94,12.96,3446300
2000-02-25,20.25,20.5,19.88,20.38,12.71,4024900
2000-02-28,19.94,20.38,19.81,19.81,12.36,3488500
2000-02-29,19.75,20.25,19.5,19.69,12.28,3435100
2000-03-01,19.56,20.75,19.12,20.12,12.56,5879100
2000-03-02,20.0,20.25,19.19,19.38,12.09,3591500
2000-03-03,19.75,19.94,19.31,19.38,12.09,2590300
2000-03-06,19.19,19.75,19.12,19.19,11.97,2401600
2000-03-07,19.19,19.69,18.56,18.56,11.58,5252200
2000-03-08,18.5,18.62,17.94,18.06,11.27,5982200
2000-03-09,18.0,18.56,17.81,18.19,11.35,5139400
2000-03-10,18.44,18.56,17.88,17.94,11.19,3722400
2000-03-13,17.25,18.0,17.19,17.75,11.07,5066500
2000-03-14,17.69,18.0,17.56,18.0,11.23,3540000
2000-03-15,17.69,20.0,17.69,19.5,12.17,6866500
2000-03-16,19.94,21.88,19.44,21.25,13.26,8331300
2000-03-17,21.38,22.06,20.5,20.88,13.02,4018800
2000-03-20,20.69,20.88,20.19,20.38,12.71,1920400
2000-03-21,20.38,22.19,20.19,22.06,13.76,5258500
2000-03-22,21.38,22.0,21.0,21.5,13.41,3473300
2000-03-23,21.75,22.62,21.31,22.25,13.88,4430400
2000-03-24,22.75,23.38,22.44,23.0,14.35,3567500
2000-03-27,23.0,23.12,21.75,21.75,13.57,2389700
2000-03-28,22.31,22.94,22.19,22.62,14.12,3120000
2000-03-29,22.81,22.94,22.44,22.62,14.12,2027900
2000-03-30,22.62,24.19,22.62,23.25,14.51,5469800
2000-03-31,23.88,24.06,22.88,23.81,14.86,5613200
2000-04-03,23.94,24.5,23.5,24.5,15.28,2630600
2000-04-04,25.0,25.06,22.25,24.12,15.05,5097700
2000-04-05,23.62,23.81,22.81,23.5,14.66,2944900
2000-04-06,23.38,23.56,22.5,22.81,14.23,2586100
2000-04-07,22.81,23.0,22.56,22.62,14.12,2723300
2000-04-10,22.31,23.19,22.25,23.12,14.43,2218200
2000-04-11,23.38,23.38,22.75,22.75,14.19,1833200
2000-04-12,23.0,24.19,22.81,23.25,14.51,2477500
2000-04-13,23.38,24.06,23.31,23.44,14.62,2488100
2000-04-14,23.0,23.0,20.56,20.88,13.02,4247300
2000-04-17,20.88,21.31,20.56,21.0,13.1,3461400
2000-04-18,21.19,21.5,20.88,21.0,13.1,2519000
2000-04-19,20.81,20.81,20.06,20.38,12.71,3505600
2000-04-20,20.06,22.81,20.06,22.5,14.04,4414300
2000-04-24,22.0,23.06,22.0,23.06,14.39,2916600
2000-04-25,23.0,23.94,22.81,23.81,14.86,2608700
2000-04-26,23.62,24.06,22.88,23.06,14.39,2516100
2000-04-27,23.0,23.0,22.38,22.62,14.12,1763400
2000-04-28,22.38,23.81,21.94,23.75,14.82,2893500
2000-05-01,23.94,25.0,23.75,24.0,14.97,2987800
2000-05-02,23.75,24.56,23.69,23.81,14.86,2306500
2000-05-03,23.56,23.81,22.81,23.06,14.39,1854600
2000-05-04,23.31,23.56,22.69,22.69,14.15,1225100
2000-05-05,22.81,23.06,22.75,22.88,14.27,1112800
2000-05-08,22.56,23.38,22.56,23.06,14.39,1445800
2000-05-09,23.12,23.44,23.0,23.0,14.35,1336400
2000-05-10,23.06,23.75,23.0,23.12,14.43,1586800
2000-05-11,23.38,24.25,23.38,23.81,14.86,2291700
2000-05-12,24.06,26.5,24.06,25.56,15.95,6329600
2000-05-15,26.0,27.69,25.88,26.88,16.77,5204500
2000-05-16,27.5,28.0,26.0,26.0,16.22,4264100
2000-05-17,25.75,26.62,25.5,26.19,16.34,2830200
2000-05-18,26.19,27.19,26.19,26.38,16.45,2720400
2000-05-19,26.12,27.25,26.12,26.75,16.69,1929500
2000-05-22,26.75,27.81,26.62,27.75,17.31,2660500
2000-05-23,27.75,28.69,27.19,28.69,17.9,3646000
2000-05-24,28.69,30.12,28.69,30.0,18.72,6359900
2000-05-25,29.75,29.75,26.62,26.81,16.73,4672900
2000-05-26,27.12,27.5,25.69,26.81,16.83,3582700
2000-05-30,26.81,27.81,26.81,27.19,17.07,1439400
2000-05-31,26.94,27.5,26.5,26.5,16.64,1749500
2000-06-01,26.62,28.25,26.62,27.0,16.95,2470800
2000-06-02,28.25,28.25,27.5,27.94,17.54,2366500
2000-06-05,27.75,28.38,27.12,27.19,17.07,2133700
2000-06-06,26.88,27.38,26.75,27.12,17.03,1680000
2000-06-07,27.12,28.44,27.12,28.38,17.82,2508500
2000-06-08,28.5,28.5,27.0,27.25,17.11,2745600
2000-06-09,27.06,27.44,26.31,26.69,16.76,2119700
2000-06-12,26.75,27.12,26.25,26.81,16.83,2319600
2000-06-13,26.75,27.12,26.44,26.69,16.76,1975800
2000-06-14,26.62,26.75,25.31,25.5,16.01,4431500
2000-06-15,25.31,25.62,23.0,23.0,14.44,5821000
2000-06-16,23.25,23.75,22.19,22.38,14.05,8186400
2000-06-19,21.94,24.12,21.94,23.75,14.91,3486200
2000-06-20,23.94,24.25,23.81,24.06,15.11,3065800
2000-06-21,24.0,24.12,23.56,24.0,15.07,3014800
2000-06-22,23.75,23.94,23.38,23.75,14.91,2115200
2000-06-23,24.0,24.12,23.38,23.88,14.99,2152600
2000-06-26,23.56,23.81,22.88,23.31,14.64,1612000
2000-06-27,23.38,24.25,23.38,23.75,14.91,1580100
2000-06-28,24.0,24.38,23.38,23.52,14.76,1268900
2000-06-29,23.38,23.62,23.06,23.19,14.56,1706900
2000-06-30,23.38,24.0,22.23,22.25,13.97,2781100
2000-07-03,22.5,23.56,22.5,23.5,14.75,1303400
2000-07-05,23.94,24.69,23.62,24.06,15.11,2033600
2000-07-06,24.31,24.88,23.62,23.75,14.91,1439000
2000-07-07,24.0,24.31,23.69,23.69,14.87,1821600
2000-07-10,23.69,24.12,23.06,23.5,14.75,1905200
2000-07-11,23.06,23.75,23.06,23.31,14.64,1701200
2000-07-12,23.06,24.25,23.06,24.0,15.07,2562600
2000-07-13,24.19,24.31,23.69,24.19,15.19,1886100
2000-07-14,24.44,25.31,24.25,24.88,15.62,2337700
2000-07-17,24.38,24.88,24.31,24.47,15.36,1666800
2000-07-18,24.25,24.44,23.5,24.25,15.23,1748700
2000-07-19,24.0,24.81,23.5,23.5,14.75,2345700
2000-07-20,24.25,25.94,24.25,25.0,15.7,4228500
2000-07-21,24.75,24.75,23.69,24.75,15.54,3325700
2000-07-24,24.56,25.19,24.31,24.69,15.5,2379600
2000-07-25,25.06,25.62,24.69,25.44,15.97,2054000
2000-07-26,25.81,27.31,25.56,26.75,16.8,3890100
2000-07-27,27.25,27.88,26.69,27.75,17.42,2897500
2000-07-28,27.81,28.25,27.12,27.56,17.31,2904500
2000-07-31,27.75,28.31,27.56,27.56,17.31,2692700
