Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,39.38,39.62,38.31,39.0,27.8,659800
2000-01-04,38.88,38.94,38.0,38.12,27.17,1160500
2000-01-05,38.75,39.5,38.19,39.25,27.98,2717300
2000-01-06,39.12,40.75,38.94,40.62,28.96,3123600
2000-01-07,40.5,42.75,40.5,42.75,30.47,1656500
2000-01-10,33.0,34.75,28.12,30.12,21.47,8579700
2000-01-11,29.62,29.62,27.38,28.25,20.14,6606700
2000-01-12,28.5,28.62,27.5,27.88,19.87,3032500
2000-01-13,28.38,30.38,27.94,30.38,21.65,2635700
2000-01-14,30.25,30.38,29.5,29.94,21.34,1803200
2000-01-18,29.25,29.38,28.69,28.75,20.49,1500900
2000-01-19,28.25,28.94,27.06,27.31,19.47,2813500
2000-01-20,27.31,27.44,25.62,26.38,18.8,1381500
2000-01-21,26.75,26.75,25.06,25.56,18.22,1159600
2000-01-24,25.75,26.19,23.94,24.25,17.28,1436500
2000-01-25,24.38,24.62,22.75,23.44,16.71,2220700
2000-01-26,23.0,25.25,23.0,25.25,18.0,2251400
2000-01-27,26.12,27.25,26.06,26.44,18.84,2533300
2000-01-28,26.44,26.44,24.84,25.88,18.44,1010200
2000-01-31,25.88,25.88,24.94,25.88,18.44,648300
2000-02-01,26.12,26.75,25.88,26.31,18.75,820300
2000-02-02,26.31,27.31,26.25,27.31,19.47,1255700
2000-02-03,27.19,27.62,26.44,27.31,19.47,1131600
2000-02-04,27.19,27.56,26.94,27.19,19.53,656000
2000-02-07,27.06,27.69,27.0,27.62,19.84,871300
2000-02-08,27.88,28.44,25.62,26.56,19.08,1039200
2000-02-09,26.38,26.44,24.25,24.44,17.55,833900
2000-02-10,24.5,25.06,23.44,23.44,16.83,1069400
2000-02-11,24.0,24.19,23.69,23.94,17.19,1159600
2000-02-14,23.69,24.94,23.25,24.38,17.51,1587800
2000-02-15,24.38,24.69,23.44,23.81,17.1,1196500
2000-02-16,23.94,24.0,23.06,23.38,16.79,813400
2000-02-17,23.5,23.5,23.0,23.12,16.61,1216200
2000-02-18,23.06,23.44,22.69,22.69,16.3,1048400
2000-02-22,22.75,23.19,22.75,22.94,16.48,1085100
2000-02-23,22.81,23.19,22.38,22.38,16.07,1797600
2000-02-24,22.5,22.81,21.81,22.12,15.89,1126000
2000-02-25,22.12,22.12,21.38,21.38,15.35,1334800
2000-02-28,21.62,21.94,21.38,21.5,15.44,769800
2000-02-29,21.38,21.44,20.69,21.06,15.13,1226300
2000-03-01,21.0,23.38,20.94,23.06,16.57,1215600
2000-03-02,23.06,23.12,22.88,23.12,16.61,1178600
2000-03-03,23.38,24.38,23.06,23.81,17.1,717900
2000-03-06,23.69,23.81,23.0,23.31,16.74,570200
2000-03-07,23.19,23.19,22.38,22.38,16.07,693400
2000-03-08,22.38,22.44,21.69,21.75,15.62,873200
2000-03-09,21.88,22.25,21.62,21.75,15.62,2129000
2000-03-10,22.25,22.25,21.56,21.56,15.49,626300
2000-03-13,21.56,22.12,21.5,21.81,15.67,968800
2000-03-14,21.88,22.06,21.56,21.75,15.62,794300
2000-03-15,21.94,24.38,21.81,24.06,17.28,1202300
2000-03-16,24.06,27.31,24.0,27.06,19.44,1824700
2000-03-17,27.5,27.5,25.56,25.88,18.59,1003800
2000-03-20,25.12,25.69,24.69,25.12,18.05,842600
2000-03-21,24.5,26.69,24.5,26.69,19.17,726000
2000-03-22,26.5,27.19,25.94,26.94,19.35,694100
2000-03-23,27.19,29.38,26.44,29.0,20.83,860300
2000-03-24,29.38,30.88,29.25,30.62,22.0,2056700
2000-03-27,30.5,30.62,29.62,29.94,21.5,1676100
2000-03-28,29.62,30.0,29.0,29.31,21.05,782000
2000-03-29,29.56,29.62,28.88,29.31,21.05,758500
2000-03-30,29.31,33.25,29.12,32.19,23.12,2210100
2000-03-31,32.12,32.69,31.69,32.25,23.16,3130900
2000-04-03,32.25,32.31,30.75,31.56,22.67,651800
2000-04-04,32.5,32.5,29.38,30.44,21.86,786800
2000-04-05,30.69,31.12,29.81,30.0,21.55,1149200
2000-04-06,30.5,30.75,30.0,30.12,21.64,598200
2000-04-07,30.12,30.31,29.25,29.25,21.01,705000
2000-04-10,29.31,29.31,27.94,28.25,20.29,1273900
2000-04-11,28.25,28.62,28.12,28.31,20.34,560500
2000-04-12,28.06,29.44,27.81,28.25,20.29,1825700
2000-04-13,28.25,28.25,27.25,27.31,19.62,697300
2000-04-14,27.31,27.31,25.5,25.69,18.45,855600
2000-04-17,24.88,25.94,24.69,25.06,18.0,1941800
2000-04-18,25.12,25.56,24.44,25.38,18.23,1923300
2000-04-19,25.62,26.31,25.38,25.5,18.32,767400
2000-04-20,25.5,26.38,25.19,26.12,18.76,779700
2000-04-24,25.81,27.0,25.69,26.62,19.12,697300
2000-04-25,26.62,28.06,26.12,27.81,19.98,1479500
2000-04-26,27.81,27.94,26.75,27.06,19.44,1226300
2000-04-27,26.81,26.88,25.62,26.19,18.81,813600
2000-04-28,26.19,27.25,25.75,27.06,19.6,1238600
2000-05-01,27.12,29.88,26.94,28.62,20.73,1008900
2000-05-02,28.5,28.5,27.0,28.12,20.37,910300
2000-05-03,27.94,28.25,26.0,26.25,19.01,586100
2000-05-04,26.5,30.12,26.5,29.38,21.28,1557000
2000-05-05,29.0,29.94,28.69,29.56,21.41,725400
2000-05-08,29.38,30.94,29.25,30.31,21.96,575200
2000-05-09,30.31,31.25,30.31,30.88,22.36,937800
2000-05-10,30.94,32.25,30.94,31.75,23.0,1255600
2000-05-11,31.81,32.69,31.44,31.88,23.09,688800
2000-05-12,31.75,33.0,31.75,32.56,23.59,758200
2000-05-15,32.56,34.44,32.38,34.12,24.72,743000
2000-05-16,34.5,34.81,33.56,34.31,24.85,664300
2000-05-17,34.06,34.06,32.62,33.0,23.9,786600
2000-05-18,33.0,33.94,33.0,33.56,24.31,661100
2000-05-19,33.12,33.31,32.0,33.0,23.9,857700
2000-05-22,33.0,34.0,33.0,33.75,24.45,589600
