Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,15.88,15.88,14.75,14.77,11.83,1082400
2000-01-04,14.29,14.56,13.96,14.12,11.31,2959400
2000-01-05,14.23,14.58,14.12,14.53,11.64,2169800
2000-01-06,14.94,16.02,14.75,15.91,12.75,2415800
2000-01-07,16.13,16.45,15.56,15.85,12.7,1708800
2000-01-10,15.58,15.58,15.15,15.23,12.2,1621800
2000-01-11,15.23,15.45,15.1,15.29,12.25,1729400
2000-01-12,15.15,15.37,15.02,15.21,12.18,989400
2000-01-13,15.18,15.8,15.18,15.53,12.44,1492600
2000-01-14,15.64,15.69,15.18,15.4,12.33,2113000
2000-01-18,15.91,17.1,15.69,16.83,13.48,3291200
2000-01-19,17.21,17.21,16.69,16.72,13.4,2229400
2000-01-20,17.1,17.1,16.59,16.83,13.48,2245600
2000-01-21,17.15,18.13,16.96,17.42,13.96,3129400
2000-01-24,17.42,17.69,16.45,16.96,13.59,2251200
2000-01-25,17.21,17.42,16.99,17.15,13.74,2097600
2000-01-26,17.42,17.42,16.94,16.96,13.59,1452800
2000-01-27,16.88,16.99,16.15,16.18,12.96,1685200
2000-01-28,16.02,16.4,15.94,16.07,12.88,1298400
2000-01-31,16.18,16.18,15.48,15.8,12.66,2916000
2000-02-01,15.8,16.56,15.69,16.42,13.16,2035800
2000-02-02,16.42,16.75,16.4,16.4,13.14,1730000
2000-02-03,16.88,16.88,16.45,16.48,13.2,1020000
2000-02-04,16.88,17.15,15.96,16.02,12.83,1398000
2000-02-07,15.96,16.61,15.85,16.56,13.27,1336600
2000-02-08,16.45,16.77,15.8,15.99,12.81,1311600
2000-02-09,15.88,15.88,15.15,15.18,12.16,2184000
2000-02-10,15.58,16.23,15.4,15.85,12.7,1570000
2000-02-11,16.02,16.13,15.45,15.48,12.4,498400
2000-02-14,15.42,16.61,15.37,16.34,13.09,1660200
2000-02-15,16.72,17.37,16.69,17.32,13.87,1852800
2000-02-16,17.34,17.72,17.29,17.37,13.92,2221000
2000-02-17,17.53,17.69,16.72,17.05,13.66,1882600
