Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,31.81,31.81,31.25,31.25,15.39,48500
2000-01-04,31.12,31.12,30.5,30.56,15.06,25200
2000-01-05,30.5,30.56,30.0,30.0,14.78,12900
2000-01-06,29.88,29.88,29.38,29.44,14.5,20300
2000-01-07,29.38,30.0,29.38,30.0,14.78,18700
2000-01-10,30.12,30.5,30.0,30.38,14.96,19600
2000-01-11,30.44,30.44,30.25,30.44,14.99,18500
2000-01-12,30.38,30.38,29.81,30.0,14.78,43900
2000-01-13,30.0,30.12,29.5,30.12,14.84,10500
2000-01-14,30.25,30.38,30.12,30.31,14.93,4500
2000-01-18,30.31,30.38,30.0,30.38,14.96,101800
2000-01-19,30.62,30.62,30.19,30.25,14.9,26800
2000-01-20,30.12,30.38,30.12,30.25,14.9,14300
2000-01-21,30.12,30.19,30.06,30.12,14.84,7600
2000-01-24,30.19,30.25,30.0,30.0,14.78,18600
2000-01-25,30.0,30.0,29.88,29.94,14.75,11600
2000-01-26,29.88,30.25,29.62,29.69,14.62,33700
2000-01-27,29.75,30.19,29.56,30.06,14.81,22400
2000-01-28,30.12,30.19,29.5,29.56,14.56,7900
2000-01-31,29.62,29.69,29.5,29.5,14.53,14300
2000-02-01,29.56,29.75,29.56,29.75,14.66,6600
2000-02-02,29.81,29.94,29.75,29.81,14.69,8100
2000-02-03,29.88,29.88,29.5,29.5,14.53,33100
2000-02-04,29.69,29.69,29.5,29.56,14.56,3600
2000-02-07,29.56,29.56,29.44,29.44,14.5,67000
2000-02-08,29.44,29.44,29.12,29.19,14.38,7300
2000-02-09,29.0,29.12,29.0,29.12,14.35,26600
2000-02-10,29.19,29.38,29.19,29.25,14.41,6600
2000-02-11,29.19,29.44,29.0,29.12,14.35,28300
2000-02-14,29.25,29.62,29.19,29.62,14.59,9300
2000-02-15,29.75,29.88,29.62,29.69,14.62,34300
2000-02-16,29.31,29.38,29.0,29.19,14.38,165300
2000-02-17,29.19,29.5,29.12,29.31,14.44,38900
2000-02-18,29.88,30.19,29.69,29.81,14.69,59500
2000-02-22,29.81,29.81,29.5,29.75,14.66,33100
2000-02-23,29.69,29.88,29.44,29.88,14.72,25400
2000-02-24,29.88,29.88,29.44,29.5,14.53,26800
2000-02-25,29.69,29.75,29.31,29.38,14.47,13600
2000-02-28,29.38,29.88,29.38,29.75,14.66,37100
2000-02-29,30.25,30.62,30.19,30.56,15.06,113700
2000-03-01,30.44,30.69,30.0,30.62,15.09,52200
2000-03-02,30.38,30.38,29.88,30.0,14.78,58000
