Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,93.33,93.96,90.38,91.01,66.21,1379800
2000-01-04,91.01,91.99,90.31,91.43,66.52,1987300
2000-01-05,91.43,97.26,91.08,96.7,70.35,2776000
2000-01-06,96.7,97.12,95.37,95.44,69.43,3997100
2000-01-07,95.44,97.69,95.09,95.16,69.23,4032800
2000-01-10,95.16,98.11,94.87,94.87,69.02,3411300
2000-01-11,94.87,95.01,92.2,94.31,68.62,1984500
2000-01-12,94.31,94.31,93.05,93.47,68.0,1666100
2000-01-13,93.47,93.54,91.43,91.78,66.78,1863400
2000-01-14,91.78,91.78,89.11,89.96,65.45,1670500
2000-01-18,89.96,90.66,87.64,87.71,63.81,2188000
2000-01-19,87.71,88.83,87.28,87.85,63.91,2218100
2000-01-20,85.53,85.53,81.52,82.65,60.13,4604700
2000-01-21,82.79,86.58,82.79,84.75,61.66,3265800
2000-01-24,84.75,85.88,81.8,82.58,60.08,1632800
2000-01-25,82.58,83.63,80.75,81.31,59.16,2240500
2000-01-26,81.31,81.8,79.62,80.05,58.24,2794900
2000-01-27,80.05,81.17,78.85,79.27,57.67,2012200
2000-01-28,79.27,81.1,77.8,78.15,56.86,2706400
2000-01-31,78.15,79.69,77.87,78.36,57.01,1590900
2000-02-01,79.06,81.87,79.06,81.1,59.0,1982800
2000-02-02,81.1,84.97,80.47,83.84,61.21,2483300
2000-02-03,83.84,83.84,80.26,81.24,59.31,1282700
2000-02-04,81.24,81.52,78.43,79.27,57.87,1311400
2000-02-07,79.27,79.62,76.6,76.6,55.92,2199700
2000-02-08,76.6,77.66,74.07,74.14,54.13,3030800
2000-02-09,74.14,75.06,72.46,72.67,53.05,4649700
2000-02-10,72.74,75.97,72.74,73.65,53.77,2406100
2000-02-11,74.56,77.31,74.56,76.11,55.57,2183600
2000-02-14,76.67,81.52,76.67,81.24,59.31,1835900
2000-02-15,81.24,83.42,80.75,83.07,60.65,2303800
2000-02-16,83.07,84.82,82.29,82.93,60.54,3113900
2000-02-17,83.21,87.07,83.21,86.51,63.16,2495700
2000-02-18,86.51,86.58,84.47,84.47,61.67,4491500
2000-02-22,83.98,83.98,80.96,81.52,59.52,1892200
2000-02-23,81.52,82.22,79.98,79.98,58.39,1451100
2000-02-24,79.98,81.52,78.22,78.36,57.21,1784000
2000-02-25,78.36,79.62,77.66,78.92,57.62,1213900
2000-02-28,78.92,83.63,77.8,79.91,58.34,1840300
2000-02-29,79.84,79.84,76.11,77.02,56.23,2087700
2000-03-01,77.02,79.62,74.35,78.43,57.26,2125700
2000-03-02,77.8,77.8,74.49,75.13,54.85,2087100
2000-03-03,75.13,78.08,73.93,76.39,55.77,3184700
2000-03-06,76.39,77.02,74.21,75.06,54.8,1338200
2000-03-07,75.06,75.9,72.67,73.02,53.31,1520200
2000-03-08,73.02,76.88,72.25,75.76,55.31,2005800
2000-03-09,75.76,76.46,73.65,76.11,55.57,1211200
2000-03-10,76.11,77.16,74.56,75.34,55.0,1756300
2000-03-13,75.34,77.8,73.72,76.53,55.87,1316700
2000-03-14,74.21,74.21,68.38,68.87,50.28,4135900
2000-03-15,69.43,72.74,69.43,72.03,52.59,3131200
2000-03-16,72.67,77.87,72.67,77.52,56.59,3229300
2000-03-17,76.46,76.46,72.46,72.74,53.1,2487900
2000-03-20,73.02,75.13,73.02,73.72,53.82,2019600
2000-03-21,73.72,77.31,72.95,76.81,56.08,1751800
2000-03-22,76.53,76.53,74.49,75.2,54.9,1085600
2000-03-23,75.2,79.48,75.06,78.15,57.05,1586900
2000-03-24,78.36,81.38,78.36,80.47,58.75,1937500
2000-03-27,80.47,81.59,79.98,81.03,59.16,1371000
2000-03-28,81.03,81.1,79.41,79.98,58.39,1306200
2000-03-29,79.98,81.45,79.69,81.1,59.21,1242000
2000-03-30,81.1,82.65,80.4,80.82,59.0,1498800
2000-03-31,80.82,81.38,78.99,78.99,57.67,1256600
2000-04-03,78.99,80.82,78.92,80.68,58.9,1352000
2000-04-04,80.68,83.35,76.32,79.48,58.03,2065500
2000-04-05,79.48,81.17,77.59,77.8,56.8,1275000
2000-04-06,78.29,80.89,78.29,79.76,58.23,1500400
2000-04-07,79.48,79.48,76.32,76.39,55.77,1978500
2000-04-10,76.39,77.16,74.85,76.11,55.57,1697300
2000-04-11,76.11,79.13,75.69,79.13,57.77,1653800
2000-04-12,79.13,80.12,78.5,79.06,57.72,1456100
2000-04-13,79.06,79.27,77.66,78.5,57.31,2236300
2000-04-14,78.36,78.36,74.21,75.97,55.46,1996100
2000-04-17,75.76,75.76,72.1,72.67,53.05,1907600
2000-04-18,72.67,73.09,69.72,70.42,51.41,2471300
2000-04-19,70.56,72.95,70.56,70.7,51.62,1958700
2000-04-20,71.54,73.65,71.54,73.16,53.41,2049200
2000-04-24,73.16,74.21,72.1,72.95,53.26,1219500
2000-04-25,72.95,77.02,72.39,77.02,56.23,1813100
2000-04-26,76.88,76.88,73.37,73.79,53.87,1705200
2000-04-27,73.79,74.07,72.1,73.37,53.56,1543900
2000-04-28,73.37,74.21,72.39,72.95,53.26,1426300
2000-05-01,72.95,72.95,70.84,71.33,52.08,1611000
2000-05-02,71.33,72.95,70.42,72.67,53.05,1762200
2000-05-03,72.67,73.09,70.28,71.54,52.43,1879200
2000-05-04,72.25,74.14,72.25,72.67,53.26,1667500
2000-05-05,72.67,74.92,71.68,74.92,54.91,1372900
2000-05-08,74.92,75.69,74.07,74.35,54.49,952800
2000-05-09,74.35,75.48,73.72,74.35,54.49,1704700
2000-05-10,74.35,76.95,73.23,73.3,53.72,3055900
2000-05-11,73.3,74.56,72.88,73.23,53.67,1528300
2000-05-12,73.23,73.86,72.6,73.33,53.75,1924500
2000-05-15,73.37,76.53,73.37,76.32,55.94,2158100
2000-05-16,76.32,76.32,74.63,75.27,55.16,1031700
2000-05-17,74.63,74.63,73.16,73.51,53.88,1047400
2000-05-18,73.51,73.93,72.74,73.79,54.08,816400
2000-05-19,73.79,74.63,72.81,73.09,53.57,1046100
2000-05-22,73.09,73.58,71.4,71.61,52.49,2021200
2000-05-23,71.61,71.68,69.57,69.64,51.04,2424900
2000-05-24,69.64,70.56,69.01,69.43,50.89,1859300
2000-05-25,69.43,70.0,67.47,67.68,49.6,1339000
2000-05-26,67.68,67.68,64.09,64.44,47.23,2848800
2000-05-30,64.66,65.85,64.66,65.29,47.85,2670600
2000-05-31,65.29,65.78,64.37,65.71,48.16,1865900
2000-06-01,65.5,65.5,64.44,64.87,47.54,1914100
2000-06-02,65.92,69.72,65.92,69.72,51.09,3281100
2000-06-05,68.8,68.8,68.1,68.66,50.32,1994700
2000-06-06,68.66,69.86,68.31,69.01,50.58,1775400
