Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,20.0,20.31,20.0,20.06,8.92,36600
2000-01-04,20.0,20.0,19.56,19.56,8.7,143800
2000-01-05,19.56,20.5,19.56,20.19,8.98,251700
2000-01-06,20.0,20.0,19.75,19.88,8.84,24300
2000-01-07,19.75,20.06,19.75,20.06,8.92,228900
2000-01-10,20.0,20.06,19.75,19.81,8.81,57300
2000-01-11,19.81,19.94,19.75,19.81,8.81,155600
2000-01-12,19.81,19.81,19.5,19.5,8.67,32500
2000-01-13,19.62,19.62,18.88,19.12,8.51,55500
2000-01-14,19.25,19.38,18.81,18.81,8.37,75900
2000-01-18,18.88,18.88,18.62,18.75,8.34,70400
2000-01-19,18.88,18.88,18.5,18.62,8.28,42500
2000-01-20,18.62,18.69,18.5,18.56,8.26,40300
2000-01-21,18.5,18.62,18.12,18.25,8.12,170900
2000-01-24,18.75,18.88,18.0,18.25,8.12,109100
2000-01-25,18.25,18.38,17.25,17.75,7.89,63400
2000-01-26,17.94,17.94,16.75,16.94,7.53,72700
2000-01-27,17.0,17.38,16.88,17.0,7.56,34900
2000-01-28,17.12,17.25,16.75,16.75,7.45,50600
2000-01-31,16.88,17.75,16.88,17.5,7.78,72400
2000-02-01,17.62,18.0,17.5,17.75,7.89,36000
2000-02-02,17.62,17.88,17.38,17.44,7.76,44100
2000-02-03,17.44,17.88,17.38,17.81,7.92,56200
2000-02-04,17.56,17.81,17.5,17.69,7.87,62300
2000-02-07,17.69,17.75,17.38,17.38,7.73,45900
2000-02-08,17.44,17.5,17.25,17.31,7.7,51000
2000-02-09,17.56,17.56,17.25,17.38,7.73,197700
2000-02-10,17.5,17.5,17.12,17.19,7.64,40400
2000-02-11,17.0,17.19,15.88,15.88,7.06,94100
2000-02-14,16.12,16.88,16.12,16.81,7.48,59300
2000-02-15,16.81,18.25,16.81,17.44,7.76,96500
2000-02-16,17.38,18.06,17.25,17.75,7.89,32600
2000-02-17,17.75,18.12,17.62,17.88,7.95,41700
2000-02-18,17.69,17.88,17.12,17.19,7.64,61500
2000-02-22,17.19,17.19,16.25,16.56,7.37,78600
2000-02-23,16.31,16.88,16.25,16.56,7.5,35400
2000-02-24,16.5,16.5,15.81,16.0,7.24,46500
2000-02-25,16.12,16.12,15.69,15.81,7.16,4023800
2000-02-28,15.88,16.31,15.88,16.25,7.35,70100
2000-02-29,16.0,17.12,16.0,17.12,7.75,86300
2000-03-01,17.25,17.25,16.44,16.5,7.47,44700
2000-03-02,16.75,16.75,16.38,16.38,7.41,63300
2000-03-03,16.25,16.38,15.62,15.81,7.16,55800
2000-03-06,15.56,16.25,15.5,16.0,7.24,52700
2000-03-07,15.94,15.94,15.38,15.56,7.04,106800
2000-03-08,15.62,15.69,15.25,15.56,7.04,91400
2000-03-09,15.81,16.19,15.75,16.12,7.3,81900
2000-03-10,15.75,15.94,15.62,15.62,7.07,100900
2000-03-13,15.56,17.12,15.5,17.12,7.75,124900
2000-03-14,17.38,17.5,17.19,17.25,7.81,229300
2000-03-15,17.25,17.75,17.25,17.69,8.0,52500
2000-03-16,17.81,18.62,17.75,18.62,8.43,78700
2000-03-17,18.62,18.88,17.94,18.38,8.32,87400
2000-03-20,18.31,18.56,18.19,18.38,8.32,40200
2000-03-21,18.12,18.12,17.25,17.56,7.95,46700
2000-03-22,17.5,17.88,17.0,17.44,7.89,45700
2000-03-23,17.31,18.38,17.25,18.12,8.2,36300
2000-03-24,18.12,18.12,17.12,17.44,7.89,80200
2000-03-27,17.38,17.5,17.12,17.25,7.81,73000
2000-03-28,16.62,17.12,16.62,16.88,7.64,118800
2000-03-29,16.88,16.88,16.5,16.62,7.52,161200
2000-03-30,16.5,16.75,16.19,16.25,7.35,195200
2000-03-31,16.38,16.69,16.0,16.38,7.41,102200
2000-04-03,16.5,16.88,16.12,16.19,7.33,50300
2000-04-04,16.19,16.25,15.75,15.81,7.16,100900
2000-04-05,15.94,16.12,15.38,15.5,7.01,173400
2000-04-06,15.5,15.5,15.38,15.5,7.01,47700
2000-04-07,15.5,15.5,15.31,15.5,7.01,65500
2000-04-10,15.5,15.5,15.31,15.38,6.96,120400
2000-04-11,15.44,15.5,15.38,15.38,6.96,43500
2000-04-12,15.38,15.5,15.38,15.44,6.99,125100
2000-04-13,15.44,15.5,15.38,15.44,6.99,69800
2000-04-14,15.38,15.5,15.25,15.38,6.96,77900
2000-04-17,15.38,15.38,14.94,15.0,6.79,123600
2000-04-18,15.0,15.0,14.75,14.94,6.76,116800
2000-04-19,15.0,15.0,14.81,14.88,6.73,100800
2000-04-20,14.94,14.94,14.75,14.81,6.7,63100
2000-04-24,14.88,14.94,14.75,14.75,6.67,197700
2000-04-25,14.81,14.81,14.5,14.75,6.67,69500
2000-04-26,14.88,14.94,14.62,14.75,6.67,79900
2000-04-27,14.62,15.62,14.25,15.5,7.01,82900
2000-04-28,15.38,15.88,15.25,15.88,7.18,38700
2000-05-01,15.88,16.75,15.88,16.0,7.24,89500
2000-05-02,15.94,16.31,15.81,15.94,7.21,43400
2000-05-03,16.0,16.0,15.75,15.88,7.18,54400
2000-05-04,15.62,16.0,15.62,16.0,7.24,36500
2000-05-05,16.12,16.25,15.75,15.94,7.21,69700
2000-05-08,16.0,16.19,15.75,15.94,7.21,77700
2000-05-09,15.94,16.12,15.56,15.56,7.04,86900
2000-05-10,15.56,15.62,15.19,15.44,6.99,67100
2000-05-11,15.44,15.69,15.38,15.69,7.1,72700
2000-05-12,15.56,15.94,15.44,15.94,7.21,33100
2000-05-15,15.94,16.44,15.62,15.88,7.18,60800
2000-05-16,16.0,16.81,16.0,16.5,7.47,101200
2000-05-17,16.69,16.69,16.19,16.19,7.33,45100
2000-05-18,16.25,16.62,15.88,16.06,7.27,92200
2000-05-19,16.25,16.25,15.94,16.12,7.3,43800
2000-05-22,16.19,16.38,15.88,16.38,7.41,49400
2000-05-23,16.12,16.12,15.62,15.69,7.22,47100
2000-05-24,15.69,15.81,15.5,15.69,7.22,45800
2000-05-25,15.62,15.81,14.94,15.19,6.99,80900
2000-05-26,15.69,16.62,15.62,16.56,7.63,216200
2000-05-30,16.75,17.31,16.56,17.12,7.89,190300
2000-05-31,17.19,18.38,17.06,18.31,8.43,108000
2000-06-01,18.44,19.0,18.06,19.0,8.75,167300
2000-06-02,19.0,19.25,18.38,18.62,8.58,72100
2000-06-05,18.62,18.94,18.62,18.69,8.61,56300
2000-06-06,18.75,18.94,18.75,18.75,8.64,32500
2000-06-07,18.88,19.25,18.88,19.12,8.81,86000
2000-06-08,19.25,19.25,19.0,19.12,8.81,18800
2000-06-09,19.12,19.12,19.0,19.06,8.78,28800
2000-06-12,19.12,19.12,19.06,19.12,8.81,53000
2000-06-13,19.19,19.38,19.06,19.38,8.92,63700
2000-06-14,19.5,19.5,19.25,19.25,8.87,24800
2000-06-15,19.38,19.75,19.25,19.75,9.1,36700
2000-06-16,20.0,20.12,19.75,20.12,9.27,61200
2000-06-19,20.06,20.56,20.0,20.56,9.47,28500
2000-06-20,20.44,20.44,20.0,20.0,9.21,46400
2000-06-21,20.0,20.12,20.0,20.0,9.21,30200
2000-06-22,20.0,20.06,19.5,20.0,9.21,66900
2000-06-23,19.88,19.88,19.5,19.75,9.1,8700
2000-06-26,19.62,19.69,19.38,19.5,8.98,59100
2000-06-27,19.5,19.5,18.75,18.94,8.72,91800
2000-06-28,19.06,20.0,18.94,20.0,9.21,92400
2000-06-29,19.88,19.94,19.31,19.44,8.95,40000
2000-06-30,19.31,19.5,17.5,17.52,8.07,123700
2000-07-03,17.75,19.25,17.75,19.25,8.87,63100
2000-07-05,19.0,19.0,18.5,18.5,8.52,28700
2000-07-06,18.38,19.25,18.38,19.19,8.84,30400
2000-07-07,19.19,19.88,19.19,19.81,9.12,47500
2000-07-10,19.81,20.44,19.5,20.44,9.41,53000
2000-07-11,20.38,20.44,20.19,20.38,9.38,20000
2000-07-12,20.0,20.38,20.0,20.38,9.38,29100
2000-07-13,20.25,20.38,19.75,20.0,9.21,24900
2000-07-14,20.06,20.06,19.62,19.75,9.1,27700
2000-07-17,19.81,20.25,19.5,20.12,9.27,37900
2000-07-18,20.06,20.06,19.75,19.81,9.12,24900
2000-07-19,19.94,19.94,19.69,19.75,9.1,13000
2000-07-20,19.81,20.31,19.69,20.31,9.35,36100
2000-07-21,20.25,20.38,20.0,20.25,9.33,19100
2000-07-24,20.0,20.06,19.69,19.88,9.15,45900
2000-07-25,19.88,20.0,19.62,19.81,9.12,63800
2000-07-26,19.88,19.88,19.5,19.81,9.12,21100
2000-07-27,19.88,20.0,19.62,19.69,9.07,40500
2000-07-28,20.0,20.0,19.62,19.69,9.07,33500
2000-07-31,19.69,20.62,19.56,20.62,9.5,66500
2000-08-01,20.5,20.75,20.12,20.12,9.27,41800
2000-08-02,20.38,20.81,20.0,20.62,9.5,34200
2000-08-03,20.5,21.0,20.38,20.75,9.56,34200
2000-08-04,20.88,21.25,20.75,21.0,9.67,15600
2000-08-07,20.75,21.25,20.5,21.0,9.67,26900
2000-08-08,21.0,21.88,21.0,21.31,9.82,32600
2000-08-09,21.25,21.88,21.25,21.5,9.9,31700
2000-08-10,21.38,21.56,21.12,21.12,9.73,22600
2000-08-11,21.12,22.0,21.12,21.75,10.02,32600
2000-08-14,21.88,22.44,21.62,22.44,10.33,26200
2000-08-15,22.44,22.88,22.31,22.62,10.42,26100
2000-08-16,22.62,22.75,22.38,22.75,10.48,17100
2000-08-17,22.5,23.25,22.25,23.25,10.71,30300
2000-08-18,23.19,23.19,22.56,22.56,10.39,50800
2000-08-21,22.44,22.62,22.25,22.38,10.3,47600
2000-08-22,22.5,22.5,22.12,22.12,10.19,26900
2000-08-23,21.88,21.94,21.38,21.38,9.97,44400
2000-08-24,21.25,21.44,20.88,21.0,9.8,33900
2000-08-25,21.06,21.25,21.0,21.06,9.83,23500
2000-08-28,20.88,21.12,20.62,21.0,9.8,31700
2000-08-29,21.0,21.0,20.62,20.88,9.74,33900
2000-08-30,20.75,21.12,20.5,20.81,9.71,43800
2000-08-31,20.81,20.94,20.44,20.75,9.68,54300
2000-09-01,20.5,20.62,19.81,19.81,9.24,78800
2000-09-05,19.81,19.81,19.5,19.69,9.19,41500
2000-09-06,19.69,19.88,19.56,19.81,9.24,53800
2000-09-07,19.94,20.12,19.88,20.0,9.33,26900
2000-09-08,20.0,20.19,19.81,19.81,9.24,42800
2000-09-11,20.0,20.06,19.94,20.0,9.33,38300
2000-09-12,20.0,21.25,20.0,20.5,9.56,36600
2000-09-13,20.75,21.25,20.5,21.12,9.86,27700
2000-09-14,21.0,22.12,20.88,22.06,10.29,60400
2000-09-15,21.62,22.38,21.62,22.25,10.38,50500
2000-09-18,22.0,22.0,21.25,21.25,9.91,27300
2000-09-19,21.31,21.31,21.0,21.12,9.86,48600
2000-09-20,21.12,21.75,21.06,21.5,10.03,40300
2000-09-21,21.75,21.75,21.06,21.06,9.83,29700
2000-09-22,20.69,21.31,20.56,21.25,9.91,28300
2000-09-25,21.25,21.25,20.12,20.44,9.54,34200
2000-09-26,20.5,20.75,20.38,20.56,9.59,45500
2000-09-27,20.44,20.62,20.19,20.25,9.45,31400
2000-09-28,20.0,21.0,20.0,20.88,9.74,26300
2000-09-29,20.88,21.19,20.62,20.62,9.62,60900
2000-10-02,20.69,20.81,20.25,20.5,9.56,36400
2000-10-03,20.38,20.62,19.94,20.0,9.33,30000
2000-10-04,19.94,20.19,19.75,19.88,9.27,25100
2000-10-05,20.0,20.19,19.94,20.0,9.33,47800
2000-10-06,20.12,20.12,19.31,19.31,9.01,41400
2000-10-09,19.19,19.94,19.19,19.88,9.27,41800
2000-10-10,19.88,19.94,19.5,19.69,9.19,30800
2000-10-11,19.75,20.5,19.62,20.31,9.48,69000
2000-10-12,20.25,21.0,20.19,20.75,9.68,56600
2000-10-13,20.62,20.75,20.38,20.69,9.65,57600
2000-10-16,20.62,21.0,20.5,20.94,9.77,42500
2000-10-17,21.0,21.31,20.94,21.25,9.91,34300
2000-10-18,21.12,21.25,20.94,21.12,9.86,30100
2000-10-19,21.19,21.25,20.75,21.25,9.91,23600
2000-10-20,21.0,21.44,21.0,21.31,9.94,27600
2000-10-23,21.31,21.38,21.25,21.38,9.97,12700
2000-10-24,21.31,21.56,21.25,21.44,10.0,18100
2000-10-25,21.31,21.44,21.12,21.19,9.89,36700
2000-10-26,20.94,21.38,20.94,21.19,9.89,40300
2000-10-27,21.19,21.56,21.06,21.56,10.06,14500
2000-10-30,21.56,22.31,21.56,22.31,10.41,30200
2000-10-31,22.31,23.12,22.31,23.12,10.79,83400
2000-11-01,23.0,23.44,23.0,23.19,10.82,18700
2000-11-02,23.38,23.88,23.0,23.88,11.14,34800
2000-11-03,23.88,23.88,23.12,23.62,11.02,35000
