Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,34.19,34.25,33.81,33.94,14.86,61900
2000-01-04,33.75,33.81,32.94,33.19,14.54,112300
2000-01-05,33.06,33.5,32.62,33.5,14.67,259300
2000-01-06,33.38,34.62,33.31,34.62,15.17,126500
2000-01-07,35.0,36.0,34.69,35.5,15.55,139100
2000-01-10,35.5,35.94,35.38,35.94,15.74,110500
2000-01-11,35.75,35.94,35.19,35.19,15.41,76500
2000-01-12,35.06,35.38,35.06,35.12,15.38,25000
2000-01-13,35.12,35.19,34.69,35.0,15.33,58100
2000-01-14,35.12,35.25,34.94,35.0,15.33,252900
2000-01-18,35.0,35.44,34.38,34.38,15.06,194400
2000-01-19,34.62,35.56,34.62,35.56,15.58,68200
2000-01-20,35.31,35.38,35.06,35.19,15.41,49700
2000-01-21,35.25,35.5,35.12,35.25,15.44,87100
2000-01-24,35.06,35.31,35.0,35.25,15.44,61400
2000-01-25,35.25,35.31,35.12,35.25,15.44,161200
2000-01-26,35.12,35.25,35.0,35.12,15.38,117900
2000-01-27,35.12,35.19,34.62,35.19,15.41,131200
2000-01-28,35.06,35.12,34.62,34.75,15.22,107600
2000-01-31,34.62,34.75,34.38,34.5,15.11,58100
2000-02-01,34.5,34.62,34.38,34.5,15.11,60300
2000-02-02,34.5,34.5,34.38,34.5,15.11,95700
2000-02-03,34.5,34.62,34.06,34.38,15.06,121100
2000-02-04,34.31,34.69,34.31,34.56,15.14,59300
2000-02-07,34.44,34.56,34.25,34.5,15.11,48800
2000-02-08,34.5,34.56,34.31,34.38,15.06,88500
2000-02-09,34.38,34.69,34.06,34.31,15.03,351000
2000-02-10,34.44,34.44,34.12,34.31,15.03,192300
2000-02-11,34.25,34.5,33.94,34.25,15.0,115600
2000-02-14,34.12,34.38,33.94,34.38,15.06,73000
2000-02-15,34.12,34.25,33.94,34.25,15.0,99800
2000-02-16,34.12,34.19,34.0,34.12,14.95,183200
2000-02-17,34.0,34.25,34.0,34.25,15.0,95400
2000-02-18,34.25,34.25,34.0,34.19,14.97,66400
2000-02-22,34.06,34.19,33.94,34.19,14.97,56500
2000-02-23,34.06,34.06,33.94,34.0,14.89,79700
2000-02-24,33.94,33.94,33.81,33.94,14.86,44900
2000-02-25,33.88,34.0,33.88,34.0,14.89,35700
2000-02-28,34.0,34.0,33.62,33.75,14.78,61300
2000-02-29,33.25,33.88,33.25,33.75,14.78,289100
2000-03-01,33.44,34.25,33.44,34.25,15.0,280300
2000-03-02,34.12,34.38,33.94,33.94,14.86,84200
2000-03-03,34.06,34.25,34.06,34.25,15.0,104800
2000-03-06,34.25,34.25,34.0,34.12,14.95,118700
2000-03-07,34.12,34.5,34.0,34.5,15.11,74300
2000-03-08,34.5,34.5,33.94,34.12,14.95,51300
2000-03-09,34.25,34.38,33.94,34.0,14.89,70500
2000-03-10,33.94,34.44,33.94,34.44,15.08,48000
2000-03-13,34.44,34.5,34.19,34.25,15.0,180600
2000-03-14,34.25,34.25,34.0,34.0,14.89,88000
2000-03-15,34.12,34.31,33.88,34.31,15.03,147600
2000-03-16,34.38,34.75,34.38,34.69,15.19,432600
2000-03-17,34.94,35.06,34.5,34.81,15.25,279800
2000-03-20,34.62,35.31,34.56,35.31,15.47,148700
2000-03-21,35.19,35.31,34.94,35.19,15.41,77800
2000-03-22,35.12,35.44,35.0,35.25,15.44,240400
2000-03-23,35.12,36.0,35.12,36.0,15.77,88900
2000-03-24,35.88,35.94,35.56,35.75,15.66,113200
2000-03-27,35.62,35.88,35.56,35.75,15.66,126200
2000-03-28,35.88,36.06,35.88,36.06,15.79,185600
2000-03-29,36.0,36.5,36.0,36.5,15.99,186500
2000-03-30,35.81,36.38,35.81,36.38,16.18,219200
2000-03-31,36.56,36.69,36.38,36.62,16.29,236800
2000-04-03,36.56,36.56,36.38,36.38,16.18,5891200
2000-04-04,36.12,36.56,36.12,36.5,16.24,378600
2000-04-05,36.5,36.81,36.19,36.81,16.37,148800
