Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,72.25,72.38,71.38,71.38,42.39,420200
2000-01-04,68.62,70.94,68.31,70.44,41.83,642700
2000-01-05,70.12,73.88,70.12,72.75,43.21,477700
2000-01-06,72.0,75.44,71.88,75.31,44.73,536100
2000-01-07,75.31,76.62,74.62,75.56,44.88,679900
2000-01-10,75.81,78.12,75.62,78.0,46.32,883400
2000-01-11,77.75,78.5,76.88,77.56,46.06,724100
2000-01-12,77.31,77.31,75.94,76.88,45.66,603400
2000-01-13,76.88,77.19,74.38,76.25,45.28,374800
2000-01-14,76.5,76.62,74.25,76.5,45.43,349300
2000-01-18,74.69,75.69,73.25,74.94,44.5,490200
2000-01-19,73.0,73.25,67.12,68.69,40.79,1630200
2000-01-20,68.25,68.25,66.38,66.5,39.49,815700
2000-01-21,67.25,69.5,67.25,69.5,41.28,473700
2000-01-24,69.25,69.31,67.12,67.31,39.98,261900
2000-01-25,67.31,68.38,66.88,68.25,40.53,382200
2000-01-26,68.25,70.69,67.31,68.88,40.9,425700
2000-01-27,69.12,70.56,67.62,68.44,40.64,289100
2000-01-28,68.44,68.44,66.5,66.5,39.49,259800
2000-01-31,66.5,68.5,65.38,67.75,40.24,303900
2000-02-01,67.25,67.25,66.12,67.06,39.83,293300
2000-02-02,67.31,67.38,66.19,66.62,39.57,261800
2000-02-03,66.12,67.75,66.0,66.06,39.23,363500
2000-02-04,66.0,67.94,64.5,67.12,39.86,418800
2000-02-07,67.12,67.12,64.31,65.81,39.09,291400
2000-02-08,65.56,66.0,64.5,65.75,39.05,207200
2000-02-09,65.5,65.5,64.0,64.62,38.38,182400
2000-02-10,64.62,65.06,63.38,65.0,38.6,247100
2000-02-11,65.06,65.75,62.62,63.44,37.67,236100
2000-02-14,63.44,66.0,62.69,65.69,39.01,272600
2000-02-15,65.56,67.75,64.88,67.5,40.09,353100
2000-02-16,67.75,67.75,64.12,65.69,39.01,208700
2000-02-17,65.56,66.94,64.19,66.94,39.75,237600
2000-02-18,66.88,66.88,61.88,63.25,37.56,327800
2000-02-22,63.25,65.25,63.25,64.69,38.42,278800
2000-02-23,64.5,65.5,63.38,64.5,38.31,330000
2000-02-24,64.5,64.5,60.88,61.88,36.75,404200
2000-02-25,61.25,61.38,59.69,60.75,36.08,362400
2000-02-28,60.5,60.81,59.56,59.94,35.76,384000
2000-02-29,60.0,60.81,59.5,60.69,36.2,393600
2000-03-01,60.19,60.19,58.12,58.69,35.01,339700
2000-03-02,59.38,60.5,58.69,60.12,35.87,545700
2000-03-03,62.0,63.88,61.69,63.38,37.81,351400
2000-03-06,63.12,63.25,58.31,58.44,34.86,503700
2000-03-07,58.5,58.5,55.25,55.31,33.0,648800
2000-03-08,55.38,57.5,54.81,57.38,34.23,567200
2000-03-09,57.5,59.75,57.12,59.69,35.61,597400
2000-03-10,59.56,61.5,59.5,60.5,36.09,347000
2000-03-13,60.62,60.62,57.69,58.94,35.16,480600
2000-03-14,58.69,58.88,56.25,58.06,34.64,374900
2000-03-15,58.31,63.25,58.31,62.81,37.47,459500
2000-03-16,63.0,70.0,62.81,67.69,40.38,553500
2000-03-17,67.0,67.25,63.25,63.31,37.77,486200
2000-03-20,63.44,66.81,63.44,64.0,38.18,299000
2000-03-21,63.94,64.5,61.62,64.0,38.18,374700
2000-03-22,63.12,63.25,60.25,62.12,37.06,399000
2000-03-23,61.62,64.69,61.5,64.56,38.51,443100
2000-03-24,63.94,64.12,58.88,60.62,36.17,657000
2000-03-27,60.0,62.5,56.88,58.44,34.86,451700
2000-03-28,58.56,59.75,57.19,57.44,34.26,417600
2000-03-29,57.94,59.25,57.25,58.94,35.16,507300
2000-03-30,59.19,61.75,58.81,60.94,36.35,478200
2000-03-31,60.31,62.62,60.31,61.06,36.43,268300
2000-04-03,60.81,60.94,58.75,59.44,35.46,470800
2000-04-04,58.81,61.12,57.44,59.38,35.42,381200
2000-04-05,59.12,60.5,58.06,58.38,34.82,205300
2000-04-06,58.19,58.44,57.62,58.12,34.67,247000
2000-04-07,57.25,57.94,56.25,57.75,34.45,581500
2000-04-10,57.88,61.5,57.69,59.75,35.64,315300
2000-04-11,59.5,64.25,59.44,63.75,38.03,478000
2000-04-12,63.5,67.38,63.12,66.19,39.48,561900
2000-04-13,65.94,68.0,65.62,67.38,40.19,649600
