Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.0,48.0,45.52,45.88,35.0,6471200
2000-01-04,45.32,45.48,43.51,44.15,33.68,10440800
2000-01-05,43.91,44.68,42.96,42.96,32.82,8646200
2000-01-06,42.45,44.46,42.45,43.84,33.49,10990900
2000-01-07,43.98,44.79,43.33,44.48,33.98,6016400
2000-01-10,44.64,45.68,44.31,45.1,34.45,4906300
2000-01-11,45.04,46.68,44.86,45.52,34.77,7158400
2000-01-12,45.5,46.35,44.77,45.28,34.59,5816900
2000-01-13,45.66,46.17,45.01,45.52,34.77,5831000
2000-01-14,46.08,47.01,46.01,46.54,35.55,6290600
2000-01-18,46.1,46.1,44.2,44.22,33.78,5867700
2000-01-19,44.79,45.15,43.4,43.45,33.2,6608700
2000-01-20,43.84,45.11,43.29,44.18,33.75,11311000
2000-01-21,44.64,44.86,44.04,44.26,33.81,6310800
2000-01-24,45.01,46.1,43.95,44.35,33.88,10029900
2000-01-25,44.24,46.32,44.24,46.21,35.3,10150500
2000-01-26,46.68,47.87,46.54,46.61,35.61,13196800
2000-01-27,46.97,47.92,46.7,47.54,36.32,6235400
2000-01-28,47.01,47.34,46.03,46.17,35.27,7210500
2000-01-31,45.81,48.36,45.75,48.07,36.72,7406900
2000-02-01,48.01,49.45,47.8,49.31,37.67,9279600
2000-02-02,49.16,49.16,47.74,47.9,36.6,8956800
2000-02-03,48.0,48.29,46.87,47.52,36.3,7454900
2000-02-04,47.52,47.74,46.87,47.1,35.98,5155100
2000-02-07,47.1,47.81,46.96,47.39,36.21,4470600
2000-02-08,47.7,48.23,47.49,47.56,36.33,5268500
2000-02-09,47.52,47.52,45.22,45.68,34.9,7182100
2000-02-10,45.7,46.54,44.82,45.08,34.44,5986200
2000-02-11,45.22,46.12,44.33,44.79,34.21,6520900
2000-02-14,44.79,46.08,44.79,44.93,34.32,5418300
2000-02-15,45.01,46.57,44.88,46.43,35.47,4668100
2000-02-16,45.66,45.73,44.39,44.89,34.29,7616700
2000-02-17,45.01,45.37,41.69,43.16,32.97,14201000
2000-02-18,43.14,43.16,39.5,40.34,30.81,15618600
2000-02-22,40.7,40.92,40.15,40.59,31.01,13781500
2000-02-23,40.56,41.05,39.88,40.3,30.79,10902200
