Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,25.12,25.12,24.0,24.22,12.11,13705800
2000-01-04,23.88,23.97,22.47,22.78,11.39,27293400
2000-01-05,22.53,23.22,22.25,23.03,11.51,22855600
2000-01-06,23.47,25.0,23.38,25.0,12.5,17307000
2000-01-07,24.81,24.81,24.0,24.34,12.17,11632800
2000-01-10,24.47,24.47,23.34,23.5,11.75,11152800
2000-01-11,22.78,23.47,22.78,23.0,11.5,11064400
2000-01-12,23.0,23.53,23.0,23.25,11.62,11067600
2000-01-13,23.5,23.94,23.44,23.78,11.89,12322000
2000-01-14,24.97,25.28,24.41,25.25,12.62,20438600
2000-01-18,25.0,25.0,23.91,24.0,12.0,17116000
2000-01-19,23.94,24.59,23.34,24.0,12.0,15468400
2000-01-20,23.75,24.0,23.0,23.54,11.77,12249000
2000-01-21,23.25,23.34,22.78,22.84,11.42,12839400
2000-01-24,22.88,23.12,22.25,22.28,11.14,12614800
2000-01-25,22.47,22.84,22.34,22.56,11.28,15631000
2000-01-26,22.88,23.66,22.69,23.56,11.78,15441200
2000-01-27,23.78,24.19,23.53,24.06,12.03,12769400
2000-01-28,23.94,23.94,22.88,22.88,11.44,13517000
2000-01-31,23.25,24.22,23.16,24.22,12.11,16910000
2000-02-01,24.06,24.5,24.0,24.5,12.25,8965200
2000-02-02,23.75,24.25,23.69,23.88,11.94,11717400
2000-02-03,23.84,24.03,22.72,23.22,11.61,22798000
2000-02-04,23.47,23.56,22.66,22.94,11.47,13400000
2000-02-07,22.66,22.75,22.44,22.66,11.33,10364400
2000-02-08,22.91,23.62,22.84,23.56,11.78,10821800
2000-02-09,23.56,23.62,23.03,23.03,11.51,9294200
2000-02-10,23.03,23.25,22.34,22.44,11.22,11579400
2000-02-11,22.5,23.31,22.5,22.59,11.3,13510400
2000-02-14,22.84,22.97,22.03,22.12,11.06,13426800
2000-02-15,22.03,23.0,22.03,22.81,11.41,13834000
2000-02-16,23.12,23.25,22.56,22.59,11.3,11939600
2000-02-17,22.72,23.16,22.16,22.31,11.16,12256800
2000-02-18,22.28,22.34,21.69,21.88,10.94,14998000
2000-02-22,21.59,22.94,21.5,22.38,11.19,13162800
2000-02-23,22.5,23.31,22.22,22.88,11.44,13732000
2000-02-24,22.94,23.12,21.94,22.41,11.2,11467800
2000-02-25,22.38,22.91,22.06,22.06,11.03,10603800
2000-02-28,22.38,23.47,22.28,22.97,11.48,13760000
2000-02-29,22.97,23.22,22.53,23.0,11.5,11792800
2000-03-01,23.0,23.09,22.41,22.78,11.64,9796600
2000-03-02,22.78,22.78,22.31,22.53,11.51,10613000
