Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,16.72,16.87,16.38,16.67,11.21,3878200
2000-01-04,16.4,16.57,16.23,16.3,10.96,1740400
2000-01-05,16.3,17.21,16.16,17.01,11.44,4200400
2000-01-06,16.8,17.52,16.8,17.36,11.68,3350600
2000-01-07,17.48,18.38,17.42,18.35,12.34,4469900
2000-01-10,18.4,18.4,17.59,17.65,11.87,1916400
2000-01-11,17.45,17.82,17.33,17.65,11.87,2438500
2000-01-12,17.7,17.76,17.45,17.45,11.74,1862300
2000-01-13,17.59,18.16,17.52,17.86,12.01,2743800
2000-01-14,17.65,17.79,16.92,17.31,11.65,4230600
2000-01-18,17.25,17.38,16.97,17.09,11.5,2381100
2000-01-19,17.09,17.21,16.92,17.06,11.48,2603900
2000-01-20,16.99,17.08,16.43,16.57,11.14,5330400
2000-01-21,16.57,16.57,16.4,16.5,11.1,5988700
2000-01-24,16.5,16.55,15.99,16.11,10.84,3413500
2000-01-25,16.06,16.07,15.28,15.75,10.6,7155900
2000-01-26,15.68,15.99,15.21,15.75,10.6,9850800
2000-01-27,16.16,17.38,16.02,17.13,11.52,11235600
2000-01-28,17.13,18.04,16.84,17.03,11.45,7589300
2000-01-31,17.38,17.48,17.09,17.35,11.67,7941300
2000-02-01,17.35,17.35,17.01,17.14,11.53,2967600
2000-02-02,17.08,17.28,16.87,17.21,11.58,4690100
2000-02-03,17.25,17.31,17.06,17.25,11.6,3586600
2000-02-04,17.18,17.35,17.18,17.25,11.6,4687500
2000-02-07,17.18,17.28,16.97,17.13,11.52,3216200
2000-02-08,17.06,17.33,16.96,17.09,11.5,2740100
2000-02-09,16.84,17.11,16.33,17.08,11.49,4550500
2000-02-10,17.08,17.08,16.19,16.45,11.06,3118200
2000-02-11,16.4,16.41,16.02,16.09,10.82,2643300
2000-02-14,16.19,16.45,16.02,16.23,10.92,2705500
2000-02-15,16.09,16.23,15.82,16.06,10.8,5548000
2000-02-16,16.02,16.06,15.62,15.72,10.57,4143300
2000-02-17,15.72,15.75,15.5,15.67,10.54,4079200
2000-02-18,15.6,15.6,15.09,15.18,10.21,4263300
2000-02-22,15.11,15.79,14.99,15.48,10.41,5436400
2000-02-23,15.45,15.62,15.18,15.4,10.36,3290600
2000-02-24,15.4,15.4,14.67,14.97,10.07,4404000
2000-02-25,15.11,15.67,14.6,14.72,9.9,4953300
2000-02-28,14.85,15.26,14.73,14.9,10.02,3014000
2000-02-29,15.04,15.31,14.8,14.8,9.96,3574800
2000-03-01,14.89,15.58,14.89,15.23,10.24,4802400
2000-03-02,15.29,15.62,15.11,15.43,10.38,7679900
2000-03-03,15.5,15.92,15.38,15.38,10.34,8483300
2000-03-06,15.41,15.41,14.77,14.77,9.93,3489400
2000-03-07,14.9,14.94,14.05,14.07,9.47,4727600
2000-03-08,14.39,14.94,14.39,14.7,9.89,4369000
2000-03-09,14.7,15.18,14.62,15.14,10.18,7024800
2000-03-10,15.14,15.46,15.14,15.23,10.24,7960400
2000-03-13,14.95,15.11,14.55,14.6,9.82,5031800
2000-03-14,14.67,14.85,14.6,14.67,9.87,4163900
2000-03-15,14.84,16.19,14.8,16.01,10.77,5724000
2000-03-16,16.23,17.03,16.11,16.94,11.4,10242900
2000-03-17,17.04,17.04,16.67,16.77,11.28,4826300
2000-03-20,16.77,17.04,16.63,16.75,11.27,5495700
2000-03-21,16.62,17.35,16.58,17.08,11.49,5792500
2000-03-22,16.89,17.14,16.72,17.04,11.46,7279600
2000-03-23,16.94,17.62,16.74,17.36,11.68,9476300
2000-03-24,17.23,17.23,16.58,16.7,11.24,8096700
2000-03-27,16.57,16.62,16.06,16.35,11.0,5535800
2000-03-28,16.33,16.74,16.18,16.38,11.02,5338900
2000-03-29,16.35,16.82,16.23,16.36,11.01,5331100
2000-03-30,16.36,16.89,16.33,16.7,11.24,6113500
2000-03-31,16.77,17.09,16.72,17.03,11.45,3888900
2000-04-03,16.28,17.25,16.28,16.89,11.87,4170900
2000-04-04,16.84,17.21,16.28,16.86,11.85,5239800
2000-04-05,16.99,17.25,16.69,16.8,11.82,6332300
2000-04-06,16.77,16.82,16.14,16.3,11.46,3767700
2000-04-07,16.26,16.38,16.06,16.14,11.35,1998200
2000-04-10,16.14,16.62,16.06,16.47,11.58,3580000
2000-04-11,16.47,17.36,16.47,16.75,11.78,3645500
2000-04-12,16.82,17.06,16.4,16.55,11.64,3790600
2000-04-13,16.48,16.67,16.24,16.31,11.47,3429400
2000-04-14,16.02,16.16,15.34,15.36,10.8,5430200
2000-04-17,15.43,15.6,15.07,15.33,10.78,4700400
2000-04-18,15.48,15.84,15.41,15.72,11.05,4074100
2000-04-19,16.06,16.24,15.75,15.82,11.12,3480900
2000-04-20,16.02,16.33,15.38,16.24,11.42,6040300
2000-04-24,16.11,17.16,16.11,16.84,11.84,7978800
2000-04-25,17.25,18.06,17.23,18.06,12.7,12352700
2000-04-26,17.99,17.99,17.59,17.67,12.42,6570500
2000-04-27,17.59,17.87,17.59,17.81,12.52,6440900
2000-04-28,17.81,17.86,17.67,17.69,12.44,6159600
2000-05-01,17.69,17.7,17.25,17.26,12.14,4246000
