Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,40.54,40.68,38.56,39.22,25.95,2569000
2000-01-04,39.15,39.15,36.97,38.09,25.21,2837900
2000-01-05,37.63,38.36,36.7,37.23,24.64,3077800
2000-01-06,37.17,38.42,36.83,38.16,25.25,3495100
2000-01-07,37.76,40.15,37.76,40.15,26.57,2220500
2000-01-10,40.28,40.28,38.16,38.36,25.38,1436500
2000-01-11,37.63,37.96,37.17,37.43,24.77,1678600
2000-01-12,37.43,38.82,37.43,38.62,25.56,1508000
2000-01-13,40.28,40.35,39.42,39.62,26.22,1688400
2000-01-14,41.34,42.4,40.74,41.47,27.44,2143000
2000-01-18,40.28,40.88,39.55,39.62,26.22,1518900
2000-01-19,39.75,41.01,39.29,39.35,26.15,2153600
2000-01-20,40.01,40.01,38.95,38.95,25.88,1368500
2000-01-21,40.28,40.28,38.42,38.56,25.62,1647800
2000-01-24,39.02,39.55,37.89,38.42,25.53,1068000
2000-01-25,38.42,39.48,37.96,38.49,25.57,1504400
2000-01-26,38.56,41.87,38.36,41.8,27.78,2116300
2000-01-27,42.27,42.8,41.07,41.41,27.51,2499300
2000-01-28,40.28,40.68,39.75,40.01,26.59,1849500
2000-01-31,39.95,43.06,39.55,43.06,28.61,2061600
2000-02-01,43.13,43.39,42.0,43.33,28.79,2132100
2000-02-02,43.06,43.13,41.8,42.27,28.08,1475100
2000-02-03,42.66,42.93,40.81,41.94,27.86,1303100
2000-02-04,42.53,42.53,40.15,40.21,26.72,1376700
2000-02-07,40.28,40.68,39.82,40.54,26.94,931300
2000-02-08,41.07,41.87,40.81,41.67,27.69,1309200
2000-02-09,41.67,41.67,40.35,40.35,26.81,1789700
2000-02-10,40.35,40.74,38.62,38.69,25.71,1325100
2000-02-11,38.69,39.82,38.69,39.02,25.93,1373400
2000-02-14,38.76,39.68,37.89,38.19,25.38,1413400
2000-02-15,37.96,39.82,37.83,39.15,26.01,1176700
2000-02-16,39.22,39.75,38.76,39.75,26.41,2636700
2000-02-17,39.35,39.62,36.37,37.17,24.69,2817300
2000-02-18,36.7,37.23,34.78,35.58,23.64,2749500
2000-02-22,36.04,36.17,34.91,35.97,23.9,1811700
2000-02-23,35.51,36.11,35.18,35.24,23.42,1523700
2000-02-24,34.98,35.38,33.39,33.79,22.45,2473900
2000-02-25,34.05,35.44,33.72,34.98,23.24,2459500
2000-02-28,35.51,37.3,35.31,36.83,24.47,2587100
2000-02-29,36.83,36.83,34.91,35.24,23.42,2443900
2000-03-01,36.04,36.04,33.59,34.38,22.85,3564700
2000-03-02,35.24,35.24,34.32,35.11,23.33,2243200
2000-03-03,35.11,35.51,33.99,33.99,22.58,1835700
2000-03-06,34.45,34.91,33.79,34.71,23.07,1927600
2000-03-07,34.45,34.52,33.12,33.19,22.05,1819100
2000-03-08,32.73,33.12,31.53,32.86,21.83,2789900
2000-03-09,32.93,34.25,32.93,34.12,22.67,2136000
2000-03-10,33.99,34.65,33.06,33.59,22.32,1886600
2000-03-13,33.12,35.44,32.99,35.11,23.33,2109800
2000-03-14,35.18,35.18,33.65,33.79,22.45,1132800
2000-03-15,33.99,37.63,33.59,37.3,24.78,3960000
2000-03-16,38.69,43.46,38.42,43.33,28.79,5542000
2000-03-17,43.19,43.19,40.94,41.01,27.25,2862400
2000-03-20,41.01,41.07,38.56,39.29,26.1,1966700
2000-03-21,39.29,41.74,39.09,40.94,27.2,2592700
2000-03-22,40.68,41.47,40.28,41.21,27.38,1634700
2000-03-23,40.94,42.86,40.94,42.4,28.17,2518900
2000-03-24,42.53,43.39,41.87,43.13,28.66,2510400
2000-03-27,42.6,42.86,40.88,41.67,27.69,1140000
2000-03-28,40.68,42.93,40.68,42.13,28.0,1634400
2000-03-29,42.27,42.4,41.41,41.67,27.69,975300
2000-03-30,41.94,42.66,41.54,41.67,27.69,1481700
2000-03-31,41.67,44.65,41.47,44.06,29.27,2938000
2000-04-03,44.06,47.04,44.06,46.16,30.67,4992000
2000-04-04,45.84,47.04,43.06,44.19,29.36,3956900
2000-04-05,44.32,45.45,44.12,44.45,29.54,2577400
2000-04-06,44.32,44.78,43.39,44.12,29.32,1863900
2000-04-07,44.12,44.72,42.6,42.86,28.48,1089200
2000-04-10,43.13,45.31,42.2,45.18,30.02,1822200
2000-04-11,44.39,45.25,43.13,43.66,29.01,1413100
2000-04-12,43.59,48.49,43.59,45.98,30.55,3628300
2000-04-13,45.71,46.64,44.12,45.71,30.37,2190600
2000-04-14,44.98,44.98,41.54,41.8,27.78,2092100
2000-04-17,41.8,42.47,41.47,41.94,27.86,1907600
2000-04-18,43.19,45.45,42.86,45.38,30.27,2668300
2000-04-19,45.18,45.18,43.39,43.92,29.3,1712900
2000-04-20,44.65,44.78,43.79,44.45,29.65,1368700
2000-04-24,44.25,45.91,43.92,45.78,30.53,1405700
2000-04-25,45.91,48.16,45.91,47.5,31.68,1878600
2000-04-26,47.37,47.63,45.65,46.11,30.75,1734000
2000-04-27,44.78,45.05,43.19,44.78,29.87,1716000
2000-04-28,44.92,45.51,43.53,43.53,29.03,1817000
2000-05-01,43.79,45.98,43.46,45.05,30.05,1304700
2000-05-02,44.78,45.18,44.32,44.39,29.6,1365000
2000-05-03,44.45,45.25,43.33,43.39,28.94,1709500
2000-05-04,43.53,43.53,42.33,42.4,28.28,1367500
2000-05-05,42.33,44.39,42.0,44.06,29.38,1444900
2000-05-08,44.25,46.11,44.06,45.78,30.53,1049200
2000-05-09,46.11,47.77,45.98,46.51,31.02,1875100
2000-05-10,45.71,46.64,45.65,45.78,30.53,1064300
2000-05-11,46.24,47.83,46.24,46.37,30.93,1470100
2000-05-12,46.64,48.1,46.24,47.5,31.68,1292000
2000-05-15,47.5,49.55,47.5,49.36,32.92,1951700
2000-05-16,49.95,50.55,48.89,49.02,32.7,2932200
2000-05-17,48.56,49.36,48.23,48.56,32.39,1244300
