Date,Open,High,Low,Close,Adj Close,Volume
2018-08-28,1.7,1.75,1.7,1.74,1.74,91000
2018-08-29,1.74,1.74,1.72,1.72,1.72,35000
2018-08-30,1.7,1.71,1.7,1.7,1.7,66000
2018-08-31,1.7,1.7,1.68,1.68,1.68,159000
2018-09-04,1.7,1.72,1.63,1.7,1.7,774000
2018-09-05,1.7,1.72,1.7,1.72,1.72,4000
2018-09-06,1.7,1.7,1.7,1.7,1.7,16000
2018-09-07,1.68,1.68,1.68,1.68,1.68,4000
2018-09-10,1.68,1.7,1.62,1.62,1.62,109000
2018-09-11,1.62,1.68,1.62,1.68,1.68,88000
2018-09-12,1.65,1.68,1.65,1.65,1.65,23000
2018-09-13,1.65,1.65,1.65,1.65,1.65,0
2018-09-14,1.48,1.68,1.48,1.53,1.53,201000
2018-09-17,1.53,1.53,1.53,1.53,1.53,16000
2018-09-18,1.48,1.5,1.46,1.5,1.5,138000
2018-09-19,1.5,1.53,1.46,1.53,1.53,61000
2018-09-20,1.53,1.53,1.47,1.47,1.47,15000
2018-09-21,1.47,1.51,1.47,1.51,1.51,27000
2018-09-24,1.64,1.64,1.47,1.48,1.48,64000
2018-09-25,1.48,1.48,1.48,1.48,1.48,0
2018-09-26,1.47,1.47,1.47,1.47,1.47,10000
2018-09-27,1.47,1.47,1.47,1.47,1.47,1000
2018-09-28,1.48,1.58,1.48,1.58,1.58,5000
2018-10-01,1.58,1.58,1.58,1.58,1.58,0
2018-10-02,1.58,1.58,1.58,1.58,1.58,0
2018-10-03,1.47,1.48,1.47,1.47,1.47,145000
2018-10-04,1.47,1.55,1.45,1.55,1.55,200000
2018-10-05,1.58,1.58,1.32,1.36,1.36,15000
2018-10-08,1.36,1.36,1.36,1.36,1.36,0
2018-10-09,1.36,1.36,1.36,1.36,1.36,0
2018-10-10,1.36,1.36,1.36,1.36,1.36,0
2018-10-11,1.36,1.36,1.3,1.3,1.3,136000
2018-10-12,1.29,1.3,1.28,1.3,1.3,76000
2018-10-15,1.3,1.3,1.3,1.3,1.3,0
2018-10-16,1.43,1.43,1.43,1.43,1.43,1000
2018-10-17,1.43,1.43,1.43,1.43,1.43,3000
2018-10-18,1.43,1.43,1.43,1.43,1.43,0
2018-10-19,1.43,1.43,1.43,1.43,1.43,0
2018-10-22,1.43,1.43,1.43,1.43,1.43,0
2018-10-23,1.43,1.43,1.43,1.43,1.43,0
2018-10-24,1.43,1.43,1.43,1.43,1.43,0
2018-10-25,1.33,1.4,1.33,1.4,1.4,24000
2018-10-26,1.4,1.4,1.4,1.4,1.4,0
2018-10-29,1.34,1.34,1.34,1.34,1.34,17000
2018-10-30,1.34,1.34,1.34,1.34,1.34,0
2018-10-31,1.34,1.4,1.34,1.34,1.34,71000
2018-11-01,1.34,1.34,1.34,1.34,1.34,0
2018-11-02,1.34,1.34,1.34,1.34,1.34,0
2018-11-05,1.33,1.4,1.33,1.4,1.4,86000
2018-11-06,1.4,1.4,1.4,1.4,1.4,40000
2018-11-07,1.35,1.4,1.34,1.4,1.4,107000
2018-11-08,1.33,1.34,1.33,1.33,1.33,139000
