Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,20.0,20.09,18.47,18.91,14.04,6503000
2000-01-04,18.75,19.09,18.44,18.75,13.93,5667000
2000-01-05,18.81,19.97,18.78,19.78,14.69,5694000
2000-01-06,19.69,19.69,18.09,18.38,13.65,7203200
2000-01-07,18.5,18.88,17.66,18.81,13.97,6967000
2000-01-10,19.69,19.97,18.19,18.78,13.95,8786400
2000-01-11,18.81,19.44,18.72,18.84,14.0,6508400
2000-01-12,18.88,19.03,18.31,18.81,13.97,4623800
2000-01-13,18.81,18.84,18.28,18.44,13.69,5123000
2000-01-14,18.41,18.41,17.31,17.94,13.32,13150200
2000-01-18,17.81,18.22,17.69,18.0,13.37,5487000
2000-01-19,17.97,18.12,17.72,17.91,13.3,4270800
2000-01-20,17.75,17.78,16.31,16.86,12.56,9132000
2000-01-21,17.0,17.47,16.84,17.25,12.85,7913600
2000-01-24,17.38,17.59,17.03,17.22,12.83,6917600
2000-01-25,17.25,17.47,16.97,17.0,12.67,3447000
2000-01-26,17.09,17.44,16.84,17.03,12.69,3412200
2000-01-27,17.25,17.25,16.5,16.72,12.46,2785400
2000-01-28,16.81,17.88,16.59,17.41,12.97,4434400
2000-01-31,17.44,17.5,17.16,17.47,13.02,3364800
2000-02-01,17.41,17.53,17.03,17.53,13.06,3393400
2000-02-02,17.75,19.0,17.66,18.38,13.69,7380000
2000-02-03,18.47,19.47,18.22,18.88,14.06,4574200
2000-02-04,18.75,19.25,18.16,18.25,13.6,5162200
2000-02-07,18.78,18.78,18.06,18.22,13.58,4836600
2000-02-08,19.5,20.44,18.75,20.0,14.9,15600200
2000-02-09,20.0,20.0,19.41,19.5,14.53,8177600
2000-02-10,20.38,20.75,20.0,20.31,15.14,9923200
2000-02-11,20.34,20.34,19.78,19.81,14.76,4843200
2000-02-14,19.84,20.03,19.41,19.94,14.86,4464000
2000-02-15,19.97,19.97,19.5,19.69,14.67,4554000
2000-02-16,19.44,19.56,19.28,19.41,14.46,5016200
2000-02-17,19.44,19.59,19.09,19.12,14.25,4763000
2000-02-18,19.06,19.22,18.41,18.56,13.83,3720200
2000-02-22,18.69,19.22,18.5,19.09,14.23,3887000
2000-02-23,19.03,19.97,18.91,19.44,14.48,5866800
2000-02-24,19.47,19.47,18.34,18.5,13.78,6994800
2000-02-25,18.25,18.88,17.88,18.38,13.69,4431400
2000-02-28,18.5,18.5,17.75,17.94,13.37,3982400
2000-02-29,18.0,18.03,17.38,17.5,13.04,7560800
