Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.8,2.81,2.62,2.65,1.89,1889600
2000-01-04,2.63,2.66,2.5,2.5,1.78,1691200
2000-01-05,2.5,2.62,2.48,2.61,1.86,3872000
2000-01-06,2.62,2.65,2.58,2.61,1.86,1435200
2000-01-07,2.61,2.64,2.59,2.6,1.85,4795200
2000-01-10,2.61,2.61,2.53,2.54,1.81,2587200
2000-01-11,2.53,2.58,2.53,2.55,1.82,4742400
2000-01-12,2.54,2.56,2.49,2.51,1.79,3872000
2000-01-13,2.5,3.04,2.5,2.89,2.06,12150400
2000-01-14,2.89,2.91,2.8,2.81,2.0,5040000
2000-01-18,2.8,2.84,2.77,2.78,1.98,2755200
2000-01-19,2.85,3.12,2.84,2.99,2.13,7625600
2000-01-20,3.06,3.15,3.02,3.05,2.17,9560000
2000-01-21,3.05,3.09,3.02,3.06,2.18,6924800
2000-01-24,3.05,3.06,2.84,2.88,2.05,2564800
2000-01-25,2.89,2.98,2.87,2.94,2.1,2841600
2000-01-26,2.95,3.08,2.94,3.07,2.19,2822400
2000-01-27,3.05,3.13,2.97,3.08,2.19,3633600
2000-01-28,3.08,3.08,2.92,2.93,2.09,3947200
2000-01-31,2.97,2.97,2.71,2.73,1.95,5960000
2000-02-01,2.74,2.93,2.74,2.82,2.01,3198400
2000-02-02,2.83,3.03,2.82,2.99,2.13,4088000
2000-02-03,2.97,3.11,2.97,3.03,2.16,2648000
2000-02-04,3.01,3.1,2.99,3.07,2.19,1017600
2000-02-07,3.07,3.09,3.01,3.07,2.18,1769600
2000-02-08,3.08,3.1,2.99,3.07,2.18,2774400
2000-02-09,3.05,3.06,2.99,2.99,2.13,2102400
2000-02-10,2.98,2.98,2.88,2.94,2.1,4472000
2000-02-11,2.93,2.94,2.9,2.91,2.07,1816000
2000-02-14,2.91,2.95,2.9,2.94,2.09,1644800
2000-02-15,2.94,2.94,2.86,2.87,2.05,4697600
2000-02-16,2.83,2.86,2.8,2.8,1.99,2145600
2000-02-17,2.8,2.85,2.71,2.8,2.0,2067200
2000-02-18,2.8,2.84,2.76,2.76,1.97,2516800
2000-02-22,2.75,2.76,2.62,2.65,1.89,2652800
2000-02-23,2.62,2.73,2.61,2.72,1.94,2182400
2000-02-24,2.73,2.73,2.62,2.63,1.88,2209600
2000-02-25,2.63,2.71,2.62,2.62,1.87,1988800
2000-02-28,2.62,2.63,2.53,2.62,1.87,3422400
2000-02-29,2.64,2.8,2.61,2.76,1.97,3107200
2000-03-01,2.72,2.86,2.69,2.84,2.03,2846400
2000-03-02,2.83,2.84,2.66,2.66,1.9,3296000
2000-03-03,2.68,2.78,2.66,2.77,1.98,4179200
2000-03-06,2.75,2.76,2.66,2.71,1.93,3012800
2000-03-07,2.71,2.72,2.55,2.57,1.83,2353600
2000-03-08,2.57,2.59,2.54,2.57,1.83,1936000
2000-03-09,2.59,2.59,2.55,2.57,1.83,2968000
2000-03-10,2.57,2.57,2.38,2.38,1.7,5560000
2000-03-13,2.38,2.39,2.28,2.36,1.68,3480000
2000-03-14,2.38,2.41,2.23,2.23,1.59,4971200
2000-03-15,2.27,2.48,2.24,2.46,1.76,11646400
2000-03-16,2.55,2.78,2.55,2.75,1.97,16721600
2000-03-17,2.62,2.81,2.57,2.73,1.95,5323200
2000-03-20,2.77,2.78,2.66,2.69,1.92,5425600
2000-03-21,2.69,2.88,2.66,2.87,2.05,4761600
2000-03-22,2.87,2.95,2.84,2.95,2.1,9145600
2000-03-23,2.89,2.95,2.8,2.87,2.05,3656000
2000-03-24,2.88,2.95,2.88,2.95,2.1,820800
2000-03-27,2.98,3.0,2.81,2.81,2.01,1136000
2000-03-28,2.85,2.97,2.81,2.91,2.08,1667200
2000-03-29,2.91,2.94,2.91,2.93,2.09,2126400
2000-03-30,2.93,2.96,2.9,2.93,2.09,2200000
2000-03-31,2.91,3.04,2.9,2.99,2.14,5968000
2000-04-03,2.98,3.02,2.81,2.82,2.02,3328000
2000-04-04,2.85,2.91,2.8,2.84,2.03,2745600
2000-04-05,2.84,2.84,2.63,2.8,2.0,1156800
2000-04-06,2.82,3.0,2.81,2.9,2.07,2457600
2000-04-07,2.92,3.03,2.9,3.02,2.16,2555200
2000-04-10,3.0,3.28,3.0,3.16,2.25,8380800
2000-04-11,3.17,3.19,3.08,3.19,2.27,4742400
2000-04-12,3.24,3.61,3.24,3.53,2.52,24448000
2000-04-13,3.46,3.67,3.44,3.63,2.59,15568000
2000-04-14,3.59,3.7,3.49,3.63,2.59,20377600
2000-04-17,3.58,3.62,3.45,3.61,2.58,14888000
2000-04-18,3.61,3.62,3.48,3.52,2.51,6566400
2000-04-19,3.53,3.53,3.38,3.39,2.42,5542400
2000-04-20,3.38,3.42,3.34,3.36,2.4,4049600
2000-04-24,3.3,3.72,3.29,3.62,2.59,9606400
2000-04-25,3.66,3.7,3.59,3.6,2.57,7291200
2000-04-26,3.59,3.67,3.34,3.45,2.46,2483200
2000-04-27,3.36,3.59,3.33,3.59,2.56,2328000
2000-04-28,3.55,3.68,3.55,3.65,2.61,3032000
2000-05-01,3.66,3.99,3.66,3.9,2.79,18414400
2000-05-02,3.9,3.98,3.88,3.92,2.8,7476800
2000-05-03,3.85,4.01,3.83,3.96,2.82,11558400
2000-05-04,3.89,4.11,3.87,4.07,2.91,8257600
2000-05-05,4.01,4.12,4.01,4.12,2.94,4587200
2000-05-08,4.11,4.18,4.09,4.13,2.95,2580800
2000-05-09,4.19,4.22,4.13,4.21,3.0,10184000
2000-05-10,4.17,4.2,4.03,4.07,2.91,6844800
2000-05-11,4.0,4.3,3.94,4.19,2.99,6652800
2000-05-12,4.24,4.47,4.2,4.34,3.09,17140800
2000-05-15,4.3,4.48,4.27,4.43,3.16,10867200
2000-05-16,4.39,4.58,4.39,4.45,3.17,9043200
2000-05-17,4.4,4.42,4.3,4.4,3.14,3486400
2000-05-18,4.43,4.44,4.31,4.34,3.1,2620800
2000-05-19,4.28,4.31,4.11,4.18,2.98,1604800
2000-05-22,4.14,4.16,3.81,4.09,2.92,3475200
2000-05-23,4.06,4.24,3.88,3.88,2.77,5844800
2000-05-24,3.88,4.02,3.75,3.99,2.85,4622400
2000-05-25,4.02,4.19,3.92,3.95,2.82,10820800
2000-05-26,3.91,3.93,3.69,3.71,2.65,4249600
2000-05-30,3.73,4.06,3.71,3.93,2.81,5720000
2000-05-31,3.9,4.02,3.89,3.95,2.82,2475200
2000-06-01,3.95,4.13,3.95,4.09,2.92,4814400
2000-06-02,4.14,4.17,4.09,4.09,2.92,1691200
2000-06-05,4.1,4.12,3.92,4.0,2.85,3393600
2000-06-06,4.06,4.06,3.83,3.85,2.75,3550400
2000-06-07,3.85,3.97,3.73,3.73,2.67,11520000
2000-06-08,3.72,3.73,3.59,3.64,2.6,7406400
2000-06-09,3.64,3.67,3.42,3.48,2.49,5878400
2000-06-12,3.49,3.49,2.83,2.98,2.12,37417600
2000-06-13,3.02,3.46,3.02,3.45,2.46,25139200
2000-06-14,3.41,3.48,3.22,3.31,2.36,7380800
2000-06-15,3.29,3.38,3.2,3.38,2.41,7208000
2000-06-16,3.37,3.38,3.27,3.28,2.34,2619200
2000-06-19,3.29,3.32,3.03,3.2,2.28,7529600
2000-06-20,3.22,3.23,3.12,3.17,2.26,1848000
2000-06-21,3.19,3.19,3.11,3.12,2.23,1576000
2000-06-22,3.14,3.16,3.06,3.06,2.19,3560000
2000-06-23,3.06,3.13,2.97,3.09,2.2,2944000
2000-06-26,3.07,3.24,3.06,3.2,2.28,5086400
2000-06-27,3.19,3.41,3.19,3.35,2.39,5571200
2000-06-28,3.35,3.44,3.32,3.43,2.45,4184000
2000-06-29,3.41,3.43,3.38,3.41,2.43,7086400
2000-06-30,3.41,3.43,3.13,3.16,2.26,4694400
2000-07-03,3.21,3.38,3.19,3.31,2.36,851200
2000-07-05,3.31,3.34,3.22,3.22,2.3,2532800
2000-07-06,3.27,3.39,3.27,3.32,2.37,2603200
2000-07-07,3.33,3.59,3.33,3.56,2.54,3614400
2000-07-10,3.5,3.73,3.5,3.67,2.62,3283200
2000-07-11,3.64,3.78,3.62,3.73,2.67,1932800
2000-07-12,3.73,3.97,3.73,3.95,2.82,5900800
2000-07-13,3.97,4.02,3.93,3.98,2.84,3270400
2000-07-14,4.0,4.0,3.91,3.97,2.84,1766400
2000-07-17,3.94,4.12,3.94,4.12,2.94,4307200
2000-07-18,4.08,4.12,4.02,4.04,2.88,2444800
2000-07-19,4.01,4.05,4.01,4.03,2.88,748800
2000-07-20,4.03,4.08,4.0,4.06,2.9,648000
2000-07-21,4.0,4.1,4.0,4.09,2.92,966400
2000-07-24,4.03,4.09,3.84,3.86,2.75,2395200
2000-07-25,3.88,3.92,3.81,3.88,2.77,1112000
2000-07-26,3.84,3.88,3.82,3.88,2.77,1313600
2000-07-27,3.88,3.89,3.81,3.89,2.77,2284800
2000-07-28,3.89,3.89,3.75,3.8,2.72,2214400
2000-07-31,3.78,3.93,3.78,3.86,2.75,2129600
2000-08-01,3.84,3.87,3.81,3.83,2.73,2393600
2000-08-02,3.82,3.94,3.82,3.91,2.79,1715200
2000-08-03,3.88,3.98,3.88,3.97,2.83,1691200
2000-08-04,3.92,4.14,3.91,4.13,2.95,2713600
2000-08-07,4.09,4.19,4.08,4.16,2.97,1758400
2000-08-08,4.15,4.25,4.13,4.21,3.0,1292800
2000-08-09,4.21,4.21,4.11,4.12,2.94,1080000
2000-08-10,4.11,4.16,4.02,4.05,2.89,1545600
2000-08-11,4.02,4.16,4.02,4.11,2.93,2483200
2000-08-14,4.1,4.16,4.04,4.11,2.93,1998400
2000-08-15,4.12,4.12,4.03,4.05,2.89,2452800
2000-08-16,4.04,4.18,4.04,4.09,2.92,2033600
2000-08-17,4.08,4.23,4.08,4.19,2.99,2760000
2000-08-18,4.16,4.28,4.16,4.21,3.01,1987200
2000-08-21,4.2,4.21,4.1,4.13,2.95,3126400
2000-08-22,4.12,4.22,4.07,4.12,2.94,2259200
2000-08-23,4.1,4.15,4.07,4.09,2.92,2755200
2000-08-24,4.1,4.15,4.06,4.14,2.95,1380800
2000-08-25,4.12,4.17,4.09,4.16,2.97,1102400
2000-08-28,4.17,4.2,4.16,4.16,2.97,478400
2000-08-29,4.18,4.2,4.12,4.18,2.98,1811200
2000-08-30,4.16,4.3,4.15,4.26,3.04,1918400
2000-08-31,4.3,4.3,3.99,3.99,2.85,2321600
2000-09-01,4.0,4.09,3.98,4.07,2.91,6137600
2000-09-05,4.09,4.09,3.98,3.98,2.84,1062400
2000-09-06,3.98,4.02,3.88,3.88,2.77,2921600
2000-09-07,3.9,3.94,3.74,3.82,2.73,2697600
2000-09-08,3.82,3.84,3.75,3.77,2.69,3398400
2000-09-11,3.81,3.94,3.78,3.81,2.72,3387200
2000-09-12,3.81,3.87,3.78,3.86,2.76,507200
2000-09-13,3.86,3.86,3.75,3.75,2.68,2862400
2000-09-14,3.75,3.78,3.72,3.74,2.67,3480000
2000-09-15,3.69,3.74,3.59,3.61,2.57,5928000
2000-09-18,3.6,3.6,3.54,3.55,2.54,2382400
2000-09-19,3.56,3.6,3.41,3.54,2.52,1491200
2000-09-20,3.53,3.66,3.42,3.47,2.48,2811200
2000-09-21,3.45,3.51,3.4,3.43,2.45,2665600
2000-09-22,3.39,3.53,3.38,3.53,2.52,1323200
2000-09-25,3.52,3.69,3.52,3.54,2.53,2828800
2000-09-26,3.54,3.7,3.51,3.66,2.62,3328000
2000-09-27,3.68,3.69,3.59,3.64,2.6,1915200
2000-09-28,3.64,3.7,3.58,3.69,2.63,875200
2000-09-29,3.69,3.69,3.56,3.6,2.57,1435200
2000-10-02,3.58,3.63,3.53,3.54,2.52,2136000
2000-10-03,3.52,3.57,3.35,3.36,2.4,3492800
2000-10-04,3.31,3.5,3.18,3.45,2.46,4616000
2000-10-05,3.47,3.52,3.41,3.5,2.5,1601600
2000-10-06,3.56,3.69,3.44,3.47,2.48,3227200
2000-10-09,3.5,3.53,3.45,3.51,2.5,1691200
2000-10-10,3.5,3.63,3.47,3.61,2.57,3990400
2000-10-11,3.45,3.45,3.25,3.26,2.33,11966400
2000-10-12,3.24,3.25,2.82,2.9,2.07,26889600
2000-10-13,2.9,3.03,2.9,2.98,2.12,10593600
2000-10-16,2.98,3.16,2.95,3.09,2.21,10822400
2000-10-17,3.15,3.18,3.05,3.07,2.19,7694400
2000-10-18,2.98,3.14,2.98,3.11,2.22,6456000
2000-10-19,3.11,3.18,3.1,3.14,2.24,2742400
2000-10-20,3.16,3.18,3.15,3.15,2.25,1004800
2000-10-23,3.16,3.23,3.15,3.19,2.28,2150400
2000-10-24,3.22,3.22,3.07,3.09,2.2,5828800
2000-10-25,3.06,3.15,3.06,3.09,2.21,3372800
2000-10-26,3.2,3.25,3.14,3.2,2.28,3070400
2000-10-27,3.2,3.3,3.2,3.3,2.35,1123200
