Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,13.75,13.75,13.31,13.41,5.56,229400
2000-01-04,13.28,13.47,13.22,13.41,5.56,239600
2000-01-05,13.38,14.19,13.38,14.06,5.83,284200
2000-01-06,14.0,14.25,13.84,14.06,5.83,142800
2000-01-07,14.06,14.31,14.0,14.25,5.91,130400
2000-01-10,14.22,14.34,14.12,14.28,5.92,205800
2000-01-11,14.22,14.34,14.19,14.25,5.91,193400
2000-01-12,14.12,14.44,14.09,14.41,5.98,150200
2000-01-13,14.41,14.62,14.41,14.53,6.03,177000
2000-01-14,14.62,14.62,14.22,14.34,5.95,226400
2000-01-18,14.25,14.38,14.03,14.25,5.91,219800
2000-01-19,14.22,14.47,14.12,14.38,5.96,247800
2000-01-20,14.31,14.94,14.12,14.94,6.2,405200
2000-01-21,15.03,17.38,15.0,16.72,6.93,1513200
2000-01-24,16.72,18.88,16.72,17.31,7.18,1821200
2000-01-25,17.31,17.62,15.31,15.62,6.48,584400
2000-01-26,15.62,15.62,15.09,15.28,6.34,1566800
2000-01-27,15.09,15.09,14.84,14.94,6.3,882600
2000-01-28,14.94,14.94,14.69,14.84,6.26,319000
2000-01-31,14.75,14.91,14.69,14.91,6.29,315600
2000-02-01,14.91,14.91,14.75,14.91,6.29,631000
2000-02-02,14.91,14.91,14.44,14.44,6.09,356200
2000-02-03,14.56,14.75,14.56,14.75,6.22,638200
2000-02-04,14.75,14.75,14.38,14.53,6.13,237400
2000-02-07,14.5,14.56,14.38,14.53,6.13,159600
2000-02-08,14.59,14.62,14.47,14.56,6.14,723000
2000-02-09,14.53,14.69,14.53,14.66,6.18,213000
2000-02-10,14.59,15.0,14.59,14.88,6.27,492600
2000-02-11,14.84,15.25,14.75,15.09,6.36,303000
2000-02-14,15.16,15.44,15.03,15.22,6.42,222800
2000-02-15,15.28,15.72,15.19,15.69,6.62,343600
2000-02-16,15.69,15.69,15.47,15.56,6.56,172600
2000-02-17,15.5,15.62,15.38,15.47,6.52,670800
2000-02-18,15.41,15.47,15.03,15.12,6.38,173200
2000-02-22,15.09,15.19,14.78,15.0,6.33,279200
2000-02-23,14.97,15.0,14.5,14.75,6.22,462400
2000-02-24,14.75,14.75,14.44,14.53,6.13,250200
2000-02-25,14.53,14.59,14.19,14.22,6.0,194800
2000-02-28,14.22,14.31,14.03,14.19,5.98,247400
2000-02-29,14.19,14.22,14.0,14.06,5.93,254400
2000-03-01,14.12,14.22,13.69,13.94,5.88,190600
2000-03-02,13.94,14.09,13.75,13.75,5.8,374800
2000-03-03,13.81,13.81,13.66,13.72,5.79,347000
2000-03-06,13.75,13.75,13.5,13.66,5.76,239800
2000-03-07,13.62,13.81,13.53,13.81,5.82,532600
2000-03-08,13.81,14.41,13.75,14.28,6.02,423400
2000-03-09,14.16,14.31,14.16,14.28,6.02,658800
2000-03-10,14.22,14.31,13.91,14.16,5.97,187400
2000-03-13,14.12,14.12,13.81,13.91,5.86,129800
2000-03-14,13.91,14.0,13.62,13.78,5.81,141800
2000-03-15,13.81,14.0,13.66,13.97,5.89,251800
2000-03-16,13.97,15.47,13.97,15.44,6.51,476200
2000-03-17,14.94,14.97,14.59,14.66,6.18,234600
2000-03-20,14.72,15.03,14.69,14.78,6.23,146600
2000-03-21,14.81,14.97,14.5,14.56,6.14,204200
2000-03-22,14.56,14.62,14.12,14.19,5.98,147000
2000-03-23,14.19,14.59,14.19,14.56,6.14,169400
2000-03-24,14.53,14.56,14.41,14.47,6.1,127600
2000-03-27,14.47,14.47,14.16,14.16,5.97,208800
2000-03-28,14.22,14.22,13.88,13.88,5.85,118600
2000-03-29,13.97,14.62,13.97,14.41,6.07,324600
2000-03-30,14.53,14.91,14.53,14.66,6.18,213000
2000-03-31,14.72,15.22,14.62,15.22,6.42,390800
2000-04-03,15.12,15.12,14.66,14.84,6.26,201600
2000-04-04,14.78,15.03,14.19,14.69,6.19,191000
2000-04-05,14.62,15.19,14.62,15.03,6.34,180600
2000-04-06,15.03,15.06,14.66,14.75,6.22,112600
2000-04-07,14.72,14.81,14.44,14.62,6.17,173200
2000-04-10,14.59,14.84,14.56,14.75,6.22,128600
2000-04-11,14.75,15.03,14.69,14.88,6.27,234400
2000-04-12,14.81,15.25,14.81,14.97,6.31,135800
2000-04-13,14.84,15.12,14.75,15.09,6.36,157200
2000-04-14,15.06,15.06,14.56,14.59,6.15,205600
2000-04-17,14.5,14.94,14.25,14.94,6.3,213200
2000-04-18,14.94,15.19,14.69,15.16,6.39,234400
2000-04-19,15.16,15.16,14.62,15.0,6.33,159400
2000-04-20,14.94,15.12,14.84,15.03,6.34,104000
2000-04-24,15.12,15.25,15.0,15.16,6.39,93000
2000-04-25,15.06,15.44,15.03,15.34,6.47,365400
2000-04-26,15.12,15.94,15.09,15.84,6.79,963800
2000-04-27,15.75,15.84,15.38,15.44,6.62,137800
2000-04-28,15.5,15.5,14.81,15.0,6.43,152200
2000-05-01,15.03,15.12,14.81,14.81,6.35,103800
2000-05-02,14.81,14.81,14.28,14.31,6.14,229000
2000-05-03,14.38,14.44,14.12,14.31,6.14,151600
2000-05-04,14.44,15.09,14.44,14.97,6.42,349200
2000-05-05,14.88,14.94,14.28,14.44,6.19,235000
2000-05-08,14.34,15.06,14.34,14.78,6.34,278000
2000-05-09,14.66,14.94,14.28,14.47,6.2,336600
2000-05-10,14.5,14.69,14.38,14.62,6.27,320600
2000-05-11,14.56,14.97,14.56,14.91,6.39,194400
2000-05-12,14.97,14.97,14.44,14.62,6.27,162200
2000-05-15,14.75,15.22,14.5,15.12,6.48,355200
2000-05-16,15.12,15.12,14.78,14.91,6.39,180000
2000-05-17,14.91,14.91,14.5,14.56,6.24,367600
2000-05-18,14.69,14.97,14.62,14.72,6.31,157400
2000-05-19,14.62,14.62,14.28,14.44,6.19,141200
2000-05-22,14.44,14.88,14.44,14.5,6.22,129000
2000-05-23,14.38,14.38,14.09,14.12,6.05,203800
2000-05-24,14.16,14.31,14.06,14.19,6.08,155200
2000-05-25,14.06,14.06,13.75,13.97,5.99,200800
2000-05-26,14.03,14.34,14.0,14.25,6.11,152800
2000-05-30,14.38,14.5,13.81,14.09,6.04,171600
2000-05-31,14.09,14.12,13.84,13.84,5.93,151800
2000-06-01,13.88,14.22,13.88,14.16,6.07,120800
2000-06-02,14.22,14.38,14.19,14.31,6.14,273600
2000-06-05,14.25,14.28,13.75,13.88,5.95,165400
2000-06-06,13.84,14.25,13.78,14.19,6.08,197200
2000-06-07,14.06,14.16,13.94,14.06,6.03,131400
2000-06-08,14.12,14.12,13.75,13.88,5.95,125400
2000-06-09,13.88,14.25,13.88,14.19,6.08,194000
2000-06-12,14.06,14.38,14.06,14.12,6.05,101600
2000-06-13,14.12,14.47,14.12,14.22,6.1,160600
2000-06-14,14.16,14.28,14.03,14.09,6.04,141000
2000-06-15,14.06,14.75,14.06,14.66,6.28,309200
2000-06-16,14.12,14.97,14.12,14.81,6.35,450200
2000-06-19,14.75,14.81,14.5,14.53,6.23,156600
2000-06-20,14.53,14.62,14.31,14.44,6.19,192400
2000-06-21,14.47,14.66,14.34,14.34,6.15,125200
2000-06-22,14.34,14.38,13.94,13.94,5.97,234000
2000-06-23,14.0,14.19,13.69,13.97,5.99,326200
2000-06-26,13.94,14.09,13.91,13.94,5.97,164600
2000-06-27,13.91,13.94,13.38,13.38,5.73,219800
2000-06-28,13.44,13.75,13.19,13.72,5.88,235000
2000-06-29,13.66,13.84,13.59,13.72,5.88,174600
2000-06-30,13.72,13.84,12.88,13.01,5.58,915800
2000-07-03,13.25,13.44,13.22,13.31,5.71,129000
2000-07-05,13.38,13.47,13.16,13.25,5.68,194600
2000-07-06,13.25,13.41,13.25,13.28,5.69,109400
2000-07-07,13.28,13.47,13.28,13.34,5.72,225600
2000-07-10,13.38,13.59,13.38,13.47,5.77,396000
2000-07-11,13.25,13.41,13.25,13.25,5.68,406800
2000-07-12,13.28,13.31,13.22,13.22,5.67,399600
2000-07-13,13.28,13.31,13.22,13.28,5.69,234600
2000-07-14,13.41,13.44,13.25,13.25,5.68,167400
2000-07-17,13.25,13.34,13.16,13.25,5.68,335200
2000-07-18,13.25,13.47,13.19,13.34,5.72,318600
2000-07-19,13.34,13.72,13.28,13.56,5.81,268600
2000-07-20,13.5,13.59,13.41,13.5,5.79,222600
2000-07-21,13.38,13.59,13.28,13.34,5.72,241200
2000-07-24,13.38,13.38,13.06,13.09,5.61,172600
2000-07-25,13.16,13.31,13.09,13.28,5.69,317600
2000-07-26,13.34,13.34,13.25,13.34,5.72,4593800
2000-07-27,13.25,13.44,13.25,13.44,5.87,780000
2000-07-28,13.38,13.41,13.09,13.31,5.82,147800
2000-07-31,13.25,13.34,13.09,13.16,5.75,112000
2000-08-01,13.12,13.44,13.12,13.41,5.86,123400
2000-08-02,13.34,13.62,13.31,13.62,5.95,238200
2000-08-03,13.59,14.0,13.59,13.79,6.02,314200
2000-08-04,13.81,13.97,13.56,13.72,5.99,219200
2000-08-07,13.84,14.09,13.81,14.01,6.12,288200
2000-08-08,13.97,14.59,13.97,14.41,6.29,453400
2000-08-09,14.41,14.75,14.34,14.44,6.31,532800
2000-08-10,14.5,14.62,14.44,14.6,6.38,263600
2000-08-11,14.56,14.91,14.56,14.84,6.48,253600
2000-08-14,14.84,14.84,14.53,14.62,6.39,159200
2000-08-15,14.72,14.78,14.44,14.44,6.31,123800
2000-08-16,14.56,14.62,14.44,14.56,6.36,160200
2000-08-17,14.59,14.75,14.44,14.59,6.38,208200
2000-08-18,14.53,14.72,14.5,14.72,6.43,145600
2000-08-21,14.69,14.69,14.28,14.34,6.27,146800
2000-08-22,14.31,14.38,14.19,14.28,6.24,128000
2000-08-23,14.25,14.28,14.19,14.25,6.23,84200
2000-08-24,14.19,14.31,14.06,14.22,6.21,144000
2000-08-25,14.19,14.34,14.06,14.22,6.21,142600
2000-08-28,14.22,14.59,14.19,14.56,6.36,214600
2000-08-29,14.56,14.66,14.53,14.56,6.36,154200
2000-08-30,14.53,14.62,14.53,14.59,6.38,115000
2000-08-31,14.56,14.78,14.56,14.62,6.39,218000
2000-09-01,14.62,14.81,14.56,14.75,6.44,124800
2000-09-05,14.75,14.94,14.69,14.72,6.43,106200
2000-09-06,14.81,14.97,14.69,14.94,6.53,203600
2000-09-07,14.97,15.09,14.91,15.06,6.58,173600
2000-09-08,15.0,15.36,15.0,15.36,6.71,175000
2000-09-11,15.31,15.62,15.25,15.54,6.79,183600
2000-09-12,15.47,15.5,15.12,15.38,6.72,244000
2000-09-13,15.38,15.47,15.09,15.09,6.59,158200
2000-09-14,15.06,15.12,14.88,15.03,6.57,142800
2000-09-15,14.94,15.47,14.94,15.26,6.67,299600
2000-09-18,15.19,15.19,14.81,14.94,6.53,145200
2000-09-19,14.84,14.84,14.34,14.41,6.29,189000
2000-09-20,14.47,14.5,14.03,14.25,6.23,196600
2000-09-21,14.25,14.38,13.81,14.03,6.13,154600
2000-09-22,13.97,14.34,13.88,14.25,6.23,166800
2000-09-25,14.41,14.41,14.12,14.28,6.24,162200
