Date,Open,High,Low,Close,Adj Close,Volume
2000-04-05,12.92,14.04,12.76,13.81,9.04,77084700
2000-04-06,13.7,14.15,13.59,13.87,9.08,17167700
2000-04-07,13.7,13.87,13.48,13.65,8.93,15131500
2000-04-10,13.76,13.81,13.59,13.76,9.0,6324900
2000-04-11,13.65,13.7,13.42,13.48,8.82,6087800
2000-04-12,13.59,14.93,13.48,14.43,9.44,12169800
2000-04-13,14.48,15.37,14.2,15.15,9.92,11922400
2000-04-14,15.1,15.15,14.09,14.15,9.26,10659300
2000-04-17,14.26,14.65,14.26,14.37,9.41,3951900
2000-04-18,14.43,14.54,13.81,14.37,9.41,6083900
2000-04-19,14.43,14.43,14.04,14.26,9.33,6001300
2000-04-20,14.04,14.2,13.7,13.76,9.0,7755200
2000-04-24,13.81,14.26,13.76,14.2,9.3,3494800
2000-04-25,14.2,14.43,14.15,14.26,9.33,8311100
2000-04-26,14.2,14.32,14.15,14.32,9.37,6666500
2000-04-27,14.2,14.26,13.81,14.2,9.3,2788000
2000-04-28,14.2,15.04,13.7,14.76,9.66,6977400
2000-05-01,15.26,16.04,15.04,16.04,10.5,6605300
2000-05-02,15.71,15.99,15.49,15.88,10.39,3514700
2000-05-03,15.82,15.88,15.37,15.6,10.21,2223500
2000-05-04,15.49,15.6,14.43,15.6,10.21,3848200
2000-05-05,15.37,15.88,15.21,15.65,10.24,2043700
2000-05-08,15.93,16.54,15.88,16.04,10.5,3250900
2000-05-09,16.21,16.38,14.93,15.26,9.99,4750800
2000-05-10,15.15,15.88,15.15,15.65,10.24,3684000
2000-05-11,15.71,16.32,15.49,16.04,10.5,3363000
2000-05-12,16.15,16.54,16.1,16.43,10.75,2162300
2000-05-15,16.93,17.16,16.6,16.88,11.05,3025800
2000-05-16,16.93,17.44,16.77,16.99,11.12,5590500
2000-05-17,16.99,17.55,16.38,16.99,11.12,1769600
2000-05-18,16.93,17.05,16.66,16.86,11.04,3207300
2000-05-19,16.49,16.49,15.93,16.21,10.61,4300100
2000-05-22,16.27,16.38,15.49,16.27,10.65,1921600
2000-05-23,16.27,16.93,16.27,16.82,11.01,2349300
2000-05-24,16.82,17.38,16.6,17.27,11.3,1765000
2000-05-25,17.21,17.27,16.71,17.1,11.19,1944000
2000-05-26,17.05,17.66,16.88,17.6,11.52,2967200
2000-05-30,17.77,17.94,17.38,17.71,11.59,3622900
2000-05-31,17.71,18.27,17.27,18.27,11.96,3982600
2000-06-01,18.22,18.27,17.77,17.83,11.67,3229500
2000-06-02,18.72,18.77,18.16,18.72,12.25,3866500
2000-06-05,18.27,18.61,18.16,18.33,11.99,2666200
2000-06-06,18.61,18.61,18.16,18.22,11.92,3314200
2000-06-07,18.27,18.44,18.1,18.44,12.07,1034900
2000-06-08,18.33,18.38,18.05,18.22,11.92,1083000
2000-06-09,18.27,18.72,18.27,18.72,12.25,1342800
2000-06-12,18.49,18.55,17.55,18.22,11.92,1203400
2000-06-13,18.44,18.55,17.99,18.55,12.14,1093800
2000-06-14,18.33,18.38,17.66,17.83,11.67,2592200
2000-06-15,17.83,18.05,17.71,17.83,11.67,2809900
2000-06-16,17.99,18.05,17.6,17.88,11.7,3592700
2000-06-19,17.83,17.94,17.6,17.83,11.67,1431100
2000-06-20,17.71,17.88,16.54,16.77,10.97,3278500
2000-06-21,16.77,17.05,16.15,16.49,10.79,2741600
2000-06-22,16.66,17.38,16.49,17.1,11.19,2202800
2000-06-23,16.93,17.38,16.71,17.21,11.27,2425300
2000-06-26,17.83,17.94,17.05,17.1,11.19,1898000
2000-06-27,17.32,18.27,17.1,17.71,11.59,2291400
2000-06-28,18.05,18.22,17.27,17.49,11.45,3952600
2000-06-29,17.71,19.22,17.49,19.0,12.43,5514200
2000-06-30,19.39,19.55,16.93,18.69,12.23,4954000
2000-07-03,18.49,19.16,18.44,19.05,12.47,922200
2000-07-05,18.94,18.94,18.27,18.83,12.32,2297800
2000-07-06,18.38,19.61,18.33,19.5,12.76,1764100
2000-07-07,19.39,19.66,19.33,19.5,12.76,1672300
2000-07-10,19.39,19.5,19.11,19.11,12.5,923000
2000-07-11,19.0,19.05,18.27,18.55,12.14,1630800
2000-07-12,18.49,18.61,17.88,18.22,11.92,2226300
2000-07-13,18.22,18.22,17.66,17.66,11.56,2124300
2000-07-14,17.66,18.83,17.66,18.61,12.18,1449000
2000-07-17,18.49,18.49,17.99,18.1,11.85,626400
2000-07-18,17.88,18.22,17.88,18.16,11.89,2688600
2000-07-19,18.22,18.55,17.94,18.22,11.92,1516800
2000-07-20,18.33,18.88,18.33,18.33,11.99,2468100
2000-07-21,18.49,18.72,18.33,18.49,12.1,890300
2000-07-24,18.1,18.27,17.83,18.27,11.96,860000
2000-07-25,18.16,18.88,18.05,18.72,12.25,1466700
2000-07-26,18.72,18.94,18.44,18.55,12.14,1390900
2000-07-27,18.55,18.94,18.05,18.22,11.92,1563100
2000-07-28,17.88,18.22,17.83,18.1,11.85,911900
2000-07-31,18.27,18.83,17.99,18.72,12.25,2730000
2000-08-01,18.66,18.94,18.49,18.83,12.32,2287500
2000-08-02,18.72,18.83,18.44,18.61,12.18,1530700
2000-08-03,18.61,18.66,17.66,17.94,11.74,3767700
2000-08-04,17.94,18.1,17.27,18.1,11.85,4718200
2000-08-07,18.44,19.94,18.38,19.94,13.05,4259500
2000-08-08,21.28,21.72,20.72,20.78,13.6,11405100
2000-08-09,20.72,21.17,20.16,20.28,13.27,3920700
2000-08-10,20.5,21.39,20.28,20.5,13.42,4870800
2000-08-11,21.39,21.61,20.89,21.39,14.0,2556300
2000-08-14,21.39,21.5,20.5,20.5,13.42,1473900
2000-08-15,21.33,21.45,21.0,21.22,13.89,1746600
2000-08-16,21.33,21.39,20.67,20.94,13.71,907100
2000-08-17,21.28,21.5,20.94,21.33,13.96,1054000
2000-08-18,21.0,21.45,20.94,21.33,13.96,1191200
2000-08-21,21.22,21.45,20.61,20.94,13.71,1030600
2000-08-22,21.28,21.56,20.83,21.39,14.0,2063400
2000-08-23,21.17,22.28,21.11,22.23,14.55,1526500
2000-08-24,22.17,22.39,21.5,21.61,14.15,1665000
2000-08-25,21.67,21.67,21.0,21.06,13.78,808500
2000-08-28,20.94,21.17,20.83,20.94,13.71,1019600
2000-08-29,21.06,21.61,20.94,21.39,14.0,1391500
2000-08-30,21.39,22.17,21.33,22.11,14.47,2070800
2000-08-31,22.11,22.23,21.56,21.67,14.18,1320300
