Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.03,48.25,47.03,47.19,29.1,2173400
2000-01-04,46.44,47.41,45.31,45.31,27.95,2713800
2000-01-05,45.56,48.12,45.56,46.62,28.75,3699400
2000-01-06,47.16,51.25,47.16,50.38,31.07,5975800
2000-01-07,50.56,51.91,49.97,51.38,31.68,4101200
2000-01-10,50.22,51.75,50.0,51.12,31.53,3863800
2000-01-11,50.38,51.25,50.25,50.25,30.99,2357600
2000-01-12,50.97,51.81,50.38,50.38,31.07,2868400
2000-01-13,50.66,50.94,50.19,50.38,31.07,2244400
2000-01-14,50.38,50.47,49.47,49.66,30.62,2541800
2000-01-18,48.62,49.62,48.56,48.56,29.95,2114800
2000-01-19,48.88,49.97,48.88,49.41,30.47,2628200
2000-01-20,49.53,49.69,47.25,47.56,29.33,3104600
2000-01-21,47.62,48.28,47.28,47.47,29.27,4491800
2000-01-24,47.91,47.91,45.81,46.38,28.6,2971000
2000-01-25,47.44,47.44,45.12,45.69,28.18,3691200
2000-01-26,47.94,48.75,47.66,48.16,29.7,7020800
2000-01-27,48.59,49.16,48.03,48.12,29.68,2914800
2000-01-28,47.88,47.91,46.12,46.12,28.45,3747400
2000-01-31,46.12,48.69,46.03,46.81,28.87,3282800
2000-02-01,47.19,48.09,46.88,47.06,29.02,2642200
2000-02-02,46.59,47.0,46.0,46.25,28.52,2924200
2000-02-03,45.97,46.06,45.0,45.84,28.27,3520600
2000-02-04,45.97,46.22,44.53,44.53,27.46,3293400
2000-02-07,44.62,44.69,43.31,43.81,27.02,3935400
2000-02-08,43.81,45.09,43.72,43.84,27.04,2884000
2000-02-09,44.31,44.5,43.75,43.81,27.02,2600400
2000-02-10,43.62,43.62,42.66,43.0,26.52,4020000
2000-02-11,42.69,43.25,40.66,41.47,25.57,4491600
2000-02-14,41.62,42.38,41.19,41.44,25.56,3356400
2000-02-15,41.88,45.28,41.75,44.56,27.48,3736000
2000-02-16,44.19,45.19,43.78,44.16,27.23,2581800
2000-02-17,44.5,45.94,44.47,44.81,27.64,3405400
2000-02-18,44.94,45.34,43.19,43.78,27.0,2864200
2000-02-22,43.88,45.22,43.25,45.06,27.79,2884600
2000-02-23,45.69,46.97,45.41,46.16,28.65,4460800
2000-02-24,45.94,46.06,44.78,45.5,28.24,3800200
2000-02-25,44.06,44.66,42.59,42.88,26.61,3627200
2000-02-28,43.47,44.44,42.5,43.22,26.83,3076600
2000-02-29,42.66,44.59,42.31,44.09,27.37,2765400
2000-03-01,43.59,43.88,42.53,43.06,26.73,2891600
2000-03-02,43.06,43.88,42.84,43.03,26.71,2186000
2000-03-03,43.88,47.31,43.75,44.75,27.78,4581000
2000-03-06,44.66,45.62,43.62,43.62,27.08,2052600
2000-03-07,44.12,44.44,41.0,41.38,25.68,5195600
2000-03-08,41.44,42.12,40.5,41.28,25.62,4693200
2000-03-09,40.41,40.97,40.25,40.47,25.12,3258200
2000-03-10,40.31,41.34,40.19,40.75,25.29,5751600
2000-03-13,39.5,40.25,39.38,39.5,24.52,3787800
2000-03-14,39.59,40.0,39.28,39.56,24.56,3156600
2000-03-15,39.09,41.88,39.09,41.25,25.6,4240000
2000-03-16,42.38,44.62,41.97,44.03,27.33,4804800
2000-03-17,43.47,44.59,42.94,42.94,26.65,4068200
2000-03-20,42.97,43.91,42.69,43.5,27.0,2727600
2000-03-21,43.41,45.75,43.28,45.22,28.07,3827600
2000-03-22,44.5,44.69,42.5,43.0,26.69,4404800
2000-03-23,42.38,43.62,42.38,43.5,27.0,4972000
2000-03-24,45.0,46.62,44.84,45.44,28.2,5925000
2000-03-27,45.47,45.97,44.06,44.31,27.51,3254200
2000-03-28,44.0,45.28,43.81,44.44,27.58,2448000
2000-03-29,44.5,44.5,43.69,43.81,27.19,3280800
2000-03-30,44.03,45.88,43.81,44.5,27.62,3155800
2000-03-31,45.19,46.0,44.28,44.28,27.49,2459200
2000-04-03,44.69,46.19,44.62,45.94,28.51,2871400
2000-04-04,46.0,47.78,44.75,46.47,28.84,4841000
2000-04-05,46.44,47.41,45.53,45.56,28.28,2875800
2000-04-06,45.66,47.44,45.66,46.69,28.98,1756400
2000-04-07,46.81,47.56,45.81,45.81,28.44,2501200
2000-04-10,45.94,47.44,45.88,46.38,28.79,2110600
2000-04-11,46.38,48.53,46.38,47.72,29.62,2952200
2000-04-12,48.66,49.16,47.31,47.31,29.37,2454600
2000-04-13,47.31,48.19,45.88,47.38,29.41,4152200
2000-04-14,47.03,47.16,44.16,45.41,28.18,6141600
2000-04-17,44.59,45.28,44.03,44.94,27.89,2893600
2000-04-18,45.06,45.06,44.0,44.94,27.89,2419200
2000-04-19,44.81,45.94,44.56,45.22,28.07,1665200
2000-04-20,45.22,46.16,45.0,46.12,28.63,1983800
2000-04-24,45.62,48.81,45.62,48.69,30.22,3558200
2000-04-25,48.06,48.16,44.25,46.91,29.12,9044200
2000-04-26,46.75,46.75,43.69,44.47,27.6,6956600
2000-04-27,44.25,44.94,42.66,43.72,27.14,4835200
2000-04-28,43.72,43.78,43.0,43.31,26.88,2947000
2000-05-01,43.34,44.28,42.53,43.47,26.98,3476400
2000-05-02,43.0,43.78,42.81,43.47,26.98,2459200
2000-05-03,43.47,44.12,42.66,42.91,26.63,2445200
2000-05-04,43.09,43.84,42.38,42.72,26.52,2766200
2000-05-05,42.59,43.62,42.41,43.34,26.9,2376400
2000-05-08,43.88,43.88,42.75,43.66,27.1,1760000
2000-05-09,43.5,43.94,42.75,43.0,26.69,1949200
2000-05-10,43.12,43.25,42.41,42.97,26.67,1998400
2000-05-11,43.16,43.44,42.78,42.97,26.67,2347400
2000-05-12,42.62,43.0,42.25,42.44,26.34,1838400
2000-05-15,42.69,43.47,42.66,42.97,26.67,2635000
2000-05-16,43.09,45.66,42.78,45.03,27.95,4051400
2000-05-17,44.19,44.56,43.81,44.0,27.49,2193000
2000-05-18,44.09,44.31,43.5,43.53,27.2,1599600
2000-05-19,43.09,43.31,41.88,42.25,26.4,2749400
2000-05-22,42.38,42.69,41.69,42.09,26.3,2568600
2000-05-23,42.09,42.34,41.62,42.06,26.28,1528400
2000-05-24,42.5,44.38,42.5,44.09,27.55,3241000
2000-05-25,43.66,44.12,42.0,42.47,26.53,2512800
2000-05-26,42.59,43.19,42.0,42.0,26.24,1784600
2000-05-30,42.31,43.28,42.22,42.56,26.59,1573200
2000-05-31,43.06,43.66,42.88,42.88,26.79,2137000
2000-06-01,43.03,43.03,42.19,42.44,26.51,2034000
2000-06-02,43.25,43.38,42.0,42.16,26.34,3331600
2000-06-05,42.31,42.53,42.06,42.53,26.57,2704600
2000-06-06,42.5,42.5,41.03,41.16,25.71,3139200
2000-06-07,41.16,41.59,40.75,40.88,25.54,3176600
2000-06-08,40.97,41.0,40.22,40.88,25.54,2483200
2000-06-09,40.97,41.09,40.59,40.97,25.59,2146200
2000-06-12,41.0,41.91,40.94,40.98,25.6,2021400
2000-06-13,40.81,41.66,40.81,40.94,25.58,2151200
2000-06-14,42.0,42.47,41.75,42.09,26.3,2748600
2000-06-15,42.16,43.69,42.12,43.22,27.0,4171400
2000-06-16,43.22,43.22,42.22,42.22,26.38,3842800
2000-06-19,42.44,42.75,41.47,41.75,26.08,2423400
2000-06-20,41.81,42.5,40.53,41.09,25.67,2799400
2000-06-21,42.25,43.25,42.03,43.12,26.94,3272600
2000-06-22,43.16,43.88,42.47,43.03,26.88,2798200
2000-06-23,42.44,42.44,42.03,42.22,26.38,1579600
2000-06-26,42.19,42.97,42.16,42.75,26.71,2224800
2000-06-27,43.25,43.94,43.09,43.31,27.06,3072800
2000-06-28,43.34,43.44,42.72,43.04,26.89,2110400
2000-06-29,42.25,43.41,42.09,42.78,26.73,2552800
2000-06-30,42.66,43.0,41.24,41.5,25.93,3603600
2000-07-03,41.5,42.19,41.5,42.03,26.26,1629400
2000-07-05,42.97,44.69,42.44,44.25,27.64,3385400
2000-07-06,43.72,44.06,43.25,43.28,27.04,2555800
2000-07-07,43.31,43.88,43.0,43.06,26.9,2649200
2000-07-10,42.62,43.81,42.56,43.59,27.23,2613800
2000-07-11,43.59,44.97,43.38,44.47,27.78,3193600
2000-07-12,45.12,45.28,44.53,45.03,28.13,3123000
2000-07-13,45.44,45.44,44.75,44.78,27.98,1662400
2000-07-14,44.66,44.66,43.31,43.94,27.45,2259000
2000-07-17,43.5,43.75,43.09,43.62,27.25,1871400
2000-07-18,43.56,44.28,43.53,44.0,27.49,1502000
2000-07-19,44.5,44.53,43.12,43.25,27.02,3098800
2000-07-20,43.38,43.44,43.0,43.25,27.02,2226600
2000-07-21,43.16,43.19,42.66,43.19,26.98,1425800
2000-07-24,43.0,45.19,43.0,44.53,27.82,2589800
2000-07-25,44.25,44.84,44.09,44.16,27.59,2013800
2000-07-26,44.47,45.72,44.28,44.28,27.66,3960400
2000-07-27,44.88,45.19,44.28,44.5,27.8,2069400
2000-07-28,44.62,45.81,44.44,45.5,28.43,2395000
2000-07-31,45.47,45.66,45.03,45.03,28.13,2240400
2000-08-01,45.25,45.59,44.62,44.69,27.92,2711400
2000-08-02,44.78,45.31,44.44,45.12,28.19,2003400
2000-08-03,45.34,45.47,44.97,44.97,28.09,2093400
2000-08-04,44.97,45.34,44.81,45.0,28.11,2032800
2000-08-07,45.0,45.47,45.0,45.44,28.39,1593400
2000-08-08,45.47,46.09,45.09,45.69,28.54,2862400
2000-08-09,46.12,46.72,45.81,46.25,28.89,3140600
2000-08-10,46.47,47.75,46.47,47.44,29.64,3862000
2000-08-11,47.47,48.72,47.47,48.38,30.22,3663800
2000-08-14,48.12,48.12,46.91,47.84,29.89,2292200
2000-08-15,47.91,47.94,47.12,47.44,29.64,1630800
2000-08-16,47.5,47.5,47.0,47.28,29.54,1871000
2000-08-17,47.41,47.81,47.16,47.62,29.75,1728200
2000-08-18,47.75,47.75,47.38,47.56,29.71,1513000
2000-08-21,47.69,47.91,47.28,47.47,29.66,1057200
2000-08-22,47.44,48.5,47.38,48.16,30.08,1498800
2000-08-23,48.09,48.41,47.66,47.97,30.15,1747200
2000-08-24,47.84,47.94,47.25,47.41,29.8,1656600
2000-08-25,47.53,47.88,47.53,47.88,30.09,1572800
2000-08-28,48.0,48.72,47.56,47.56,29.89,1608000
2000-08-29,47.69,47.81,47.31,47.31,29.74,1900600
2000-08-30,47.31,47.56,46.62,46.69,29.34,1784400
2000-08-31,46.59,47.78,46.5,46.51,29.23,2093200
2000-09-01,46.97,47.28,46.25,46.25,29.07,3204400
2000-09-05,46.22,46.44,45.78,46.12,28.99,2271600
2000-09-06,46.78,47.97,46.75,47.06,29.58,2737800
2000-09-07,46.5,46.62,45.81,45.81,28.79,3829800
2000-09-08,45.12,45.69,44.5,44.97,28.26,3726800
2000-09-11,45.25,45.28,44.19,44.47,27.95,2630800
2000-09-12,44.22,44.84,44.0,44.03,27.67,2537400
2000-09-13,44.31,44.97,43.09,43.25,27.18,2644000
2000-09-14,43.12,43.22,42.06,42.5,26.71,3947600
2000-09-15,43.12,43.12,42.06,42.56,26.75,4802000
2000-09-18,42.19,42.31,41.0,41.59,26.14,4220200
2000-09-19,42.09,42.34,41.53,41.94,26.36,3305400
2000-09-20,41.88,42.34,40.25,40.88,25.69,4520000
