Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,23.56,23.94,23.19,23.44,1.9,7386600.0
2000-01-04,23.25,24.25,23.25,23.62,1.92,10538200.0
2000-01-05,23.81,24.06,23.44,23.5,1.91,11697300.0
2000-01-06,23.5,23.69,23.0,23.06,1.87,7152800.0
2000-01-07,23.25,23.81,23.12,23.69,1.92,7972100.0
2000-01-10,23.75,24.06,23.75,24.0,1.95,7711300.0
2000-01-11,24.12,24.62,24.06,24.12,1.96,7451400.0
2000-01-12,24.25,24.56,24.0,24.25,1.97,9609400.0
2000-01-13,24.5,24.56,24.25,24.5,1.99,6263900.0
2000-01-14,24.56,24.62,23.75,24.25,1.97,7813300.0
2000-01-18,24.06,24.19,23.0,23.0,1.87,7998600.0
2000-01-19,23.12,23.5,23.0,23.38,1.9,8731100.0
2000-01-20,23.38,23.38,22.06,22.58,1.83,9977700.0
2000-01-21,22.19,22.5,21.81,22.0,1.78,13976300.0
2000-01-24,22.75,23.0,21.88,22.0,1.78,15344200.0
2000-01-25,22.0,22.88,21.38,21.94,1.78,11046800.0
2000-01-26,21.75,21.81,20.88,21.06,1.71,18969200.0
2000-01-27,21.5,21.88,20.81,21.0,1.7,14734700.0
2000-01-28,21.12,21.31,20.75,20.75,1.68,12021300.0
2000-01-31,20.94,21.12,20.84,20.88,1.69,11594900.0
2000-02-01,21.12,21.12,20.75,21.0,1.7,13301800.0
2000-02-02,20.94,21.11,20.56,20.62,1.67,13933200.0
2000-02-03,20.94,21.44,20.88,21.0,1.7,20018200.0
2000-02-04,21.12,21.12,20.38,20.62,1.67,16675500.0
2000-02-07,20.88,20.94,20.38,20.56,1.67,12752400.0
2000-02-08,20.25,20.31,19.12,19.5,1.58,26653500.0
2000-02-09,19.44,20.0,19.44,19.62,1.59,18374200.0
2000-02-10,20.0,20.31,19.81,19.88,1.61,15253200.0
2000-02-11,19.94,20.12,19.06,19.06,1.55,15365500.0
2000-02-14,19.31,19.44,18.75,18.94,1.54,21123700.0
2000-02-15,19.06,19.12,18.69,19.12,1.55,15218000.0
2000-02-16,19.06,19.25,18.81,19.0,1.54,13799900.0
2000-02-17,19.88,20.0,19.31,19.5,1.58,16060300.0
2000-02-18,19.5,19.88,19.38,19.62,1.59,11121500.0
2000-02-22,19.94,21.19,19.88,20.88,1.69,17008800.0
2000-02-23,21.25,21.69,20.19,20.31,1.65,14797000.0
2000-02-24,20.5,20.56,19.75,20.06,1.63,12097700.0
2000-02-25,20.12,20.19,19.62,19.62,1.59,11480500.0
2000-02-28,19.81,20.31,19.81,20.06,1.63,10884600.0
2000-02-29,20.06,20.44,20.06,20.19,1.64,13524800.0
2000-03-01,20.19,21.5,19.62,20.44,1.66,21707100.0
2000-03-02,20.44,20.81,20.0,20.12,1.63,11165200.0
2000-03-03,20.0,20.62,19.75,20.31,1.65,13358800.0
2000-03-06,20.75,20.88,19.56,19.88,1.61,13047100.0
2000-03-07,19.88,20.0,19.5,19.56,1.59,12009900.0
2000-03-08,19.62,19.75,19.19,19.25,1.56,11810100.0
2000-03-09,19.25,19.5,19.12,19.5,1.58,8739200.0
2000-03-10,19.38,19.44,19.06,19.06,1.55,10848100.0
2000-03-13,19.25,20.0,19.12,19.88,1.61,10914000.0
2000-03-14,19.81,19.81,19.25,19.47,1.58,11983600.0
2000-03-15,19.31,20.38,19.25,20.12,1.63,13071300.0
2000-03-16,20.12,20.5,20.06,20.25,1.68,13253000.0
2000-03-17,20.38,20.38,19.5,20.25,1.68,16220400.0
2000-03-20,19.88,20.25,19.81,19.94,1.66,14039000.0
2000-03-21,19.5,22.12,19.0,20.31,1.69,34490700.0
2000-03-22,20.31,20.56,19.31,19.44,1.61,16078100.0
2000-03-23,19.5,19.69,19.31,19.5,1.62,13839800.0
2000-03-24,19.56,19.88,19.5,19.81,1.65,10308500.0
2000-03-27,19.81,19.88,19.5,19.61,1.63,8924600.0
2000-03-28,19.5,19.75,19.31,19.56,1.63,12453400.0
2000-03-29,19.56,19.62,19.12,19.12,1.59,11687300.0
2000-03-30,20.0,21.56,19.73,21.5,1.79,27460700.0
2000-03-31,21.94,22.06,20.75,20.75,1.72,15234000.0
2000-04-03,21.75,23.0,21.5,22.81,1.9,16940200.0
2000-04-04,23.0,23.75,21.19,22.19,1.84,17620000.0
2000-04-05,22.06,22.56,22.0,22.38,1.86,10017900.0
