Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1.32,1.33,1.28,1.33,0.44,277600
2000-01-04,1.32,1.33,1.32,1.32,0.44,131800
2000-01-05,1.32,1.33,1.31,1.32,0.44,355600
2000-01-06,1.32,1.33,1.32,1.33,0.44,246300
2000-01-07,1.34,1.34,1.33,1.34,0.44,56700
2000-01-10,1.34,1.35,1.33,1.35,0.45,70200
2000-01-11,1.34,1.36,1.34,1.34,0.45,47400
2000-01-12,1.34,1.35,1.34,1.34,0.45,58900
2000-01-13,1.35,1.35,1.34,1.34,0.44,47400
2000-01-14,1.34,1.36,1.34,1.34,0.45,360400
2000-01-18,1.34,1.34,1.32,1.33,0.44,170200
2000-01-19,1.33,1.34,1.32,1.32,0.44,227700
2000-01-20,1.32,1.33,1.32,1.33,0.44,52800
2000-01-21,1.33,1.33,1.32,1.32,0.44,73000
2000-01-24,1.32,1.32,1.28,1.28,0.42,65700
2000-01-25,1.31,1.35,1.29,1.29,0.43,588100
2000-01-26,1.31,1.32,1.29,1.3,0.43,182400
2000-01-27,1.31,1.32,1.28,1.28,0.43,168300
2000-01-28,1.29,1.29,1.26,1.26,0.42,226000
2000-01-31,1.25,1.36,1.24,1.36,0.45,501000
2000-02-01,1.36,1.36,1.34,1.34,0.45,120300
2000-02-02,1.35,1.36,1.34,1.36,0.45,105300
2000-02-03,1.36,1.37,1.35,1.37,0.46,152100
2000-02-04,1.38,1.38,1.37,1.38,0.46,36600
2000-02-07,1.37,1.38,1.36,1.38,0.46,77100
2000-02-08,1.37,1.4,1.37,1.4,0.48,113500
2000-02-09,1.4,1.4,1.39,1.39,0.48,77800
2000-02-10,1.39,1.4,1.38,1.4,0.48,194400
2000-02-11,1.4,1.44,1.4,1.44,0.5,141000
2000-02-14,1.44,1.44,1.4,1.42,0.49,182200
2000-02-15,1.41,1.42,1.4,1.42,0.49,136900
2000-02-16,1.41,1.42,1.4,1.42,0.49,94000
2000-02-17,1.4,1.43,1.4,1.43,0.49,54900
2000-02-18,1.42,1.43,1.42,1.42,0.49,253300
2000-02-22,1.41,1.42,1.4,1.42,0.49,255300
2000-02-23,1.42,1.42,1.41,1.42,0.49,64000
2000-02-24,1.42,1.42,1.39,1.39,0.48,646800
2000-02-25,1.39,1.4,1.36,1.37,0.47,463000
2000-02-28,1.36,1.36,1.34,1.36,0.47,86400
2000-02-29,1.35,1.42,1.35,1.42,0.49,185100
2000-03-01,1.42,1.42,1.4,1.42,0.49,690700
2000-03-02,1.42,1.42,1.4,1.41,0.49,150700
2000-03-03,1.4,1.4,1.39,1.39,0.48,100500
2000-03-06,1.39,1.39,1.33,1.33,0.46,200400
2000-03-07,1.33,1.34,1.32,1.33,0.46,102100
2000-03-08,1.33,1.35,1.33,1.34,0.46,133800
2000-03-09,1.33,1.36,1.33,1.36,0.47,36600
2000-03-10,1.36,1.36,1.34,1.35,0.47,166000
2000-03-13,1.34,1.35,1.33,1.34,0.46,56700
2000-03-14,1.33,1.35,1.33,1.35,0.47,297900
2000-03-15,1.35,1.35,1.33,1.34,0.46,87000
2000-03-16,1.33,1.38,1.33,1.38,0.48,276300
2000-03-17,1.32,1.34,1.32,1.34,0.46,318700
2000-03-20,1.34,1.36,1.34,1.36,0.47,100000
2000-03-21,1.36,1.36,1.34,1.35,0.47,422100
2000-03-22,1.35,1.36,1.35,1.36,0.47,179500
2000-03-23,1.34,1.34,1.29,1.29,0.44,269200
2000-03-24,1.28,1.28,1.25,1.25,0.43,71100
2000-03-27,1.25,1.25,1.14,1.14,0.39,113500
2000-03-28,1.14,1.15,1.13,1.14,0.39,373500
2000-03-29,1.15,1.15,1.14,1.15,0.4,209800
2000-03-30,1.16,1.28,1.16,1.27,0.44,220600
2000-03-31,1.27,1.32,1.26,1.31,0.45,957100
2000-04-03,1.29,1.32,1.25,1.27,0.44,1057200
