Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.56,49.0,46.62,47.0,17.82,5791900
2000-01-04,47.06,47.75,43.5,44.25,16.78,7173600
2000-01-05,45.0,45.25,44.44,44.94,17.04,9090000
2000-01-06,44.56,45.0,43.12,43.75,16.68,7153600
2000-01-07,44.56,44.75,43.38,44.12,16.82,5885600
2000-01-10,44.75,45.0,44.25,44.75,17.06,7118700
2000-01-11,44.69,44.94,43.81,44.12,16.82,6472800
2000-01-12,43.5,43.56,41.5,41.81,15.94,8920000
2000-01-13,42.38,42.94,40.75,40.81,15.56,8250000
2000-01-14,41.25,42.0,40.0,42.0,16.01,9888300
2000-01-18,42.12,43.06,40.88,41.12,15.68,9824500
2000-01-19,41.0,41.0,40.0,40.56,15.46,10212300
2000-01-20,40.81,41.56,40.06,41.0,15.63,10080400
2000-01-21,42.88,43.38,42.0,43.0,16.39,15950400
2000-01-24,43.44,43.5,40.94,42.0,16.01,9980400
2000-01-25,41.0,41.12,38.56,40.0,15.25,15943100
2000-01-26,40.5,40.5,39.69,40.0,15.25,7662100
2000-01-27,40.06,40.31,39.0,39.0,14.87,6920100
2000-01-28,39.31,40.44,39.0,39.25,14.96,8650600
2000-01-31,39.5,43.5,39.06,42.88,16.35,11255300
2000-02-01,43.0,43.0,41.75,42.38,16.16,8949600
2000-02-02,43.0,43.12,42.5,42.5,16.2,6675100
2000-02-03,43.0,43.19,41.31,42.0,16.01,7703800
2000-02-04,42.0,42.38,41.56,42.0,16.01,6773000
2000-02-07,41.38,42.31,41.06,41.88,15.97,5804500
2000-02-08,42.5,43.0,42.0,42.06,16.04,5669800
2000-02-09,42.31,42.81,42.0,42.62,16.25,6809500
2000-02-10,42.38,42.44,41.94,42.12,16.06,5151200
2000-02-11,42.0,42.06,39.75,40.44,15.42,5575700
2000-02-14,39.5,41.5,39.44,40.88,15.58,8459100
2000-02-15,40.0,41.0,39.56,40.69,15.51,8191900
2000-02-16,40.38,40.69,38.75,39.06,14.89,8475100
2000-02-17,38.94,40.0,38.0,40.0,15.25,9273600
2000-02-18,38.06,38.25,36.0,38.25,14.58,13922400
2000-02-22,37.25,37.31,35.56,36.5,13.92,14056000
2000-02-23,36.0,36.5,34.81,35.75,13.63,12876300
2000-02-24,35.44,35.88,34.81,35.5,13.53,12888000
2000-02-25,36.0,36.69,34.94,35.44,13.51,11357400
2000-02-28,35.75,37.5,35.75,37.0,14.11,11264900
2000-02-29,37.19,38.12,37.12,37.75,14.39,8579000
2000-03-01,40.06,42.0,39.75,42.0,16.01,15273600
2000-03-02,43.0,46.0,42.81,45.25,17.25,14977200
2000-03-03,45.5,46.0,44.19,45.56,17.37,8890700
2000-03-06,44.56,44.56,42.75,43.38,16.54,6434200
2000-03-07,43.56,44.5,41.88,41.88,15.97,6848900
2000-03-08,41.88,42.06,41.38,41.62,15.87,6801600
2000-03-09,41.38,41.62,40.62,41.56,15.85,5970700
2000-03-10,41.56,42.5,41.44,42.0,16.01,7409900
2000-03-13,41.25,44.0,41.06,43.69,16.66,6477800
2000-03-14,43.75,43.75,42.0,42.12,16.06,6635300
2000-03-15,42.62,43.0,42.31,42.5,16.2,7035600
2000-03-16,43.94,45.5,42.94,45.12,17.2,9511100
2000-03-17,45.38,46.81,45.12,45.75,17.44,9068200
2000-03-20,45.12,45.75,44.19,44.44,16.94,4634400
2000-03-21,44.56,45.38,43.81,45.25,17.25,4397500
2000-03-22,44.38,44.94,43.0,43.31,16.51,5046800
2000-03-23,42.44,44.0,42.38,43.56,16.61,5530300
2000-03-24,43.06,43.69,42.56,43.0,16.39,5129800
2000-03-27,43.12,43.62,42.44,43.19,16.47,5878800
2000-03-28,42.69,43.38,42.44,42.5,16.2,6264600
2000-03-29,42.94,43.88,41.94,42.25,16.11,6818400
2000-03-30,43.0,43.38,41.56,41.62,15.87,8871800
2000-03-31,42.5,43.0,42.0,42.12,16.06,7637900
2000-04-03,42.5,44.88,42.44,44.75,17.06,7712000
2000-04-04,45.0,47.19,44.75,46.0,17.54,10787700
2000-04-05,46.0,47.12,45.88,46.31,17.66,8541900
2000-04-06,46.06,47.31,46.0,46.61,17.87,5801500
2000-04-07,47.0,47.19,45.31,46.38,17.78,5166700
2000-04-10,46.0,46.44,45.56,46.25,17.73,4222800
2000-04-11,46.31,48.25,46.06,47.25,18.11,6522900
2000-04-12,47.94,49.0,47.0,47.0,18.02,7787600
2000-04-13,47.31,47.31,46.0,47.0,18.02,5746000
2000-04-14,45.62,46.62,42.0,42.62,16.34,7487000
2000-04-17,43.5,43.56,40.88,41.88,16.05,7506700
2000-04-18,41.12,41.94,40.44,41.5,15.91,6746600
2000-04-19,41.44,42.62,41.12,41.94,16.08,7169800
2000-04-20,42.0,42.38,40.94,41.19,15.79,3875900
2000-04-24,41.19,42.44,41.0,42.25,16.2,4906400
2000-04-25,42.81,45.44,42.44,44.94,17.23,9328400
2000-04-26,45.0,45.19,43.5,44.0,16.87,7447300
2000-04-27,43.75,44.25,43.0,43.25,16.58,7162000
2000-04-28,43.5,44.31,43.25,43.81,16.8,7246500
2000-05-01,44.12,45.12,43.69,44.62,17.11,7139300
2000-05-02,44.5,44.5,41.75,42.38,16.24,7203000
2000-05-03,42.31,42.69,41.69,41.94,16.08,4745300
2000-05-04,42.0,42.0,40.81,41.06,15.74,4526200
2000-05-05,41.06,43.19,41.06,43.0,16.48,4670100
2000-05-08,42.62,42.94,41.88,42.88,16.44,3999300
2000-05-09,42.38,43.5,41.88,42.31,16.22,4813900
2000-05-10,42.5,46.0,42.25,45.12,17.3,8298300
2000-05-11,45.31,45.94,45.19,45.56,17.47,5161300
2000-05-12,44.69,45.0,44.19,44.84,17.19,3479800
2000-05-15,44.38,46.75,44.0,46.0,17.63,4819000
2000-05-16,46.5,46.94,45.31,45.69,17.51,4458800
2000-05-17,45.19,45.44,44.81,45.31,17.37,3362500
2000-05-18,45.06,45.56,43.94,44.25,16.96,3673600
2000-05-19,42.88,43.69,42.38,42.69,16.36,5748300
2000-05-22,43.62,43.62,41.75,42.5,16.29,4492800
2000-05-23,42.25,42.44,41.75,41.81,16.03,4506800
2000-05-24,42.06,43.31,42.06,43.12,16.53,4963900
2000-05-25,42.5,43.19,41.56,42.06,16.13,4467500
2000-05-26,42.06,43.06,42.06,42.62,16.34,3364600
2000-05-30,43.25,44.25,42.75,44.25,16.96,4185900
2000-05-31,44.0,44.31,43.25,43.69,16.75,4418000
2000-06-01,44.12,44.88,44.0,44.0,16.87,4145300
2000-06-02,45.0,45.44,44.75,45.0,17.25,5281100
2000-06-05,45.31,45.31,44.31,44.31,16.99,3314100
2000-06-06,44.69,46.38,44.62,45.31,17.37,5289900
2000-06-07,45.25,46.75,45.06,46.38,17.78,4645500
2000-06-08,46.38,47.31,46.31,47.0,18.02,4517900
2000-06-09,47.25,48.12,47.12,48.12,18.45,5086400
2000-06-12,47.38,47.69,46.62,46.81,17.95,3894000
2000-06-13,46.5,48.06,46.5,48.0,18.4,4192000
2000-06-14,48.88,50.31,48.56,50.0,19.17,8273000
2000-06-15,49.38,49.94,48.12,48.69,18.66,6229700
2000-06-16,48.62,48.88,47.19,47.25,18.11,8192900
2000-06-19,47.25,48.69,47.25,47.5,18.21,5087700
2000-06-20,47.88,47.94,47.0,47.19,18.09,3829000
2000-06-21,47.25,48.81,47.12,48.12,18.45,4606800
